Pixel,Ladder,1a,1b,1c,2a,2b,2c,3a,3b,3c,4a,4b,4c,5a,5b,5c,6a,6b,6c,7a,7b,7c,8a,8b,8c,9a,9b,9c
106,50.11398255,21,15,9,11,23,19,14,6,11,10,12,10,11,13,9,9,7,9,15,14,10,9,11,12,8,13,15
107,49.01196399,20,19,13,12,20,20,14,13,13,8,15,10,8,7,10,11,8,8,16,13,8,12,11,12,13,13,12
108,47.94014516,16,16,12,14,20,19,15,12,10,10,14,13,10,9,8,13,11,9,17,15,12,11,10,15,14,14,9
109,46.89758175,16,17,8,16,28,24,17,9,8,10,9,6,8,14,9,12,11,11,8,17,15,12,12,17,9,13,9
110,45.88336215,17,17,12,13,28,21,17,11,10,12,12,7,11,11,10,14,6,8,11,14,11,13,7,8,12,14,9
111,44.89660623,16,15,11,12,30,20,16,7,11,11,11,11,9,12,12,13,9,7,16,12,13,12,7,15,13,13,8
112,43.93646413,20,16,10,15,27,25,19,7,9,8,15,11,5,17,9,12,10,10,16,16,9,14,8,14,11,11,10
113,43.00211515,19,18,9,19,26,25,21,11,10,9,13,9,8,15,9,11,6,13,18,14,11,11,11,12,11,9,16
114,42.09276667,19,17,13,16,26,28,19,10,10,9,10,11,11,9,10,14,8,14,14,9,7,10,14,19,13,14,14
115,41.20765308,20,15,12,18,26,33,19,5,9,9,13,10,11,10,9,13,10,12,14,14,12,10,13,27,17,14,18
116,40.34603478,19,14,9,19,27,30,16,8,7,8,10,10,8,10,12,14,8,9,14,17,8,9,12,27,14,10,12
117,39.50719724,21,14,11,11,25,21,19,14,10,10,8,9,10,16,10,15,7,9,17,17,8,9,9,22,15,9,11
118,38.69045006,23,12,12,7,21,17,18,12,11,11,13,10,10,13,12,12,6,15,18,15,13,11,9,19,17,9,18
119,37.89512609,23,17,9,11,20,20,16,10,8,12,15,15,8,12,11,14,9,12,14,14,14,14,11,10,16,8,14
120,37.12058056,20,17,11,15,22,23,20,7,8,15,12,15,11,13,12,13,15,10,12,13,11,17,14,17,16,11,11
121,36.36619029,16,16,7,14,21,22,18,8,11,9,11,13,11,10,10,11,10,10,15,13,13,14,11,15,14,9,12
122,35.63135287,21,16,9,17,18,18,16,13,10,13,14,13,14,8,8,16,6,12,20,14,11,13,8,9,17,13,13
123,34.91548593,24,15,12,14,22,19,17,13,13,14,14,11,13,13,9,15,12,12,15,18,13,11,9,11,16,13,15
124,34.21802641,25,17,12,13,21,19,19,9,15,10,10,11,8,11,12,11,10,12,15,16,17,7,14,13,13,13,10
125,33.53842984,26,18,11,14,21,18,17,11,12,12,13,9,10,10,13,16,11,13,18,15,17,13,13,7,14,16,12
126,32.87616969,22,14,9,17,21,17,19,10,10,10,12,12,12,14,11,14,9,8,18,14,18,15,5,10,14,14,11
127,32.23073674,23,17,9,16,22,17,22,9,11,13,10,14,11,15,10,11,7,7,14,16,21,14,8,15,12,13,11
