Name	RNAi_1	RNAi_3	RNAi_4	Untreated_1	Untreated_3	Untreated_4
FBgn0053929	0	0	0	0	0	0
FBgn0267873	0	0	0	0	0	0
FBgn0267896	0.544	0.008	0.001	0.136	0.001	0.005
FBgn0260225	0.328	0	0.268	1.416	0	0.497
FBgn0040928	118	21	29	99	26	21
FBgn0262789	5	1	2	3	2	0
FBgn0058461	3.689	1.375	1.192	9.366	0.001	2.187
FBgn0042701	17.939	2.6	1.169	17.631	0.021	6.379
FBgn0263493	159.645	0.001	0	48.168	0.001	0
FBgn0265917	0	0	0	0	0	0
FBgn0262163	4	0	1	2	2	0
FBgn0085831	0	0	0	0	0	0
FBgn0267108	74.666	14.605	0.001	35.322	0.001	5.437
FBgn0051032	106	57	70	91	52	44
FBgn0266102	21.941	4.986	4.23	11.838	0.006	0.009
FBgn0053867	0.05	0.055	0.049	0.038	2.313	2.437
FBgn0267026	0	0	0	3.261	0	0
FBgn0267519	234063	46246.8	41030.6	212254	59974.8	44490.7
FBgn0058005	287.006	1.592	0.927	10.222	1.219	4.741
FBgn0039979	131.139	39.713	42.684	89.76	29.522	36.98
FBgn0053318	10.036	3.159	1	6.408	0	2
FBgn0053805	2.254	1.747	0.009	0.008	0.011	0.015
FBgn0267419	0	0	0	0	0	0
FBgn0267892	0.364	0	0.001	0.196	0	0.001
FBgn0267902	1.016	0.001	0	0	0	0.001
FBgn0262964	7.31	4	1	5.008	2	1
FBgn0085790	17.206	1.351	3.688	32.79	1.93	1.101
FBgn0267879	0.002	0.002	0	0.002	0	0.001
FBgn0085291	1.696	1.851	0.68	2.157	0.923	0.821
FBgn0263093	733.87	268.425	266.236	534.801	170.39	144.556
FBgn0267952	0	0	0	1	0	1
FBgn0030117	0.674	0.126	0.273	5.183	0.274	0.179
FBgn0058182	0	0	0	0	0	1.032
FBgn0052518	6	1	0	3	1	0
FBgn0027934	0	0	0	0	0	0
FBgn0085340	0	0	0	0	0	0
FBgn0263744	2	1	0	2	0	1
FBgn0263210	30.424	1.947	0	0	0	1.525
FBtr0346869	43.98	7.1	1.18	8.956	1.22	9.949
FBgn0267427	0	0	0	0	0	0
FBgn0263975	83	20	21	76	23	20
FBgn0267869	0.011	0.001	0.001	0.014	0	0.001
FBgn0037560	1515	285	319	1161	251	326
FBgn0263212	0	0	0	0	0	0
FBgn0085732	3465.14	690.139	920.482	2229.67	627.959	619.788
FBgn0267593	0	0	0	0	0	0
FBgn0058100	81.557	12.934	9.718	49.599	11.069	8.045
FBgn0264888	0	0	0	1	2	1
FBgn0037143	4	0	1	0	2	0
FBgn0262510	144.933	5.356	4.848	521.582	10.922	7.399
FBgn0263771	1	0	0	0	0	0
FBgn0053315	0.006	1	0	0	1	0
FBgn0050029	0	0	0	0	0	0
FBgn0085791	10.797	1.104	0.273	8.169	0.219	0.969
FBgn0085804	2	0	0	0	0	0
FBgn0267876	0.364	0	0.001	0.197	0	0.001
FBgn0267494	0	0	0	0	0	0
FBgn0085792	88.585	25.607	12.982	43.649	12.398	16.721
FBgn0053013	1	0	0	3	0	0
FBgn0266211	55	22	23	38	13	12
FBgn0265141	0	0	0	0	0	0
FBgn0051292	27.531	0.038	0.043	121.29	5.14	0.046
FBgn0053294	190	20	43	153	34	35
FBgn0000280	0	2	0	0	1	0
FBgn0262885	0	0	0	0	0	0
FBgn0011812	0	1	0	0	0	0
FBgn0265533	4.104	0	0	1.047	0.001	0.001
FBgn0052496	21.223	7.549	9.142	14.241	4.239	10.192
FBgn0052009	149.366	12.63	20.324	90.79	24.787	12.069
FBtr0347033	0	0	0	1.285	0	0
FBgn0262688	1	1	0	1	1	1
FBgn0053222	26.103	0.276	10.106	40.835	3.84	6.724
FBgn0266940	2	0	0	0	0	0
FBgn0262565	4.168	4.969	1	1.15	0	0
FBgn0263002	2	0	0	1	1	0
FBgn0084049	140.543	54.139	49.278	115.762	37.497	46.411
FBgn0263211	0.001	0.002	0.001	12.405	0.001	2.239
FBgn0267872	0.009	0.005	0.001	0.136	0	0.003
FBgn0262031	112.832	48.049	52.426	137.68	31.367	41.458
FBgn0267014	182.376	11.216	6.152	68.851	4.026	4.042
FBgn0039987	0	0	0	0	0	0
FBgn0261640	162.251	1.97	3.438	678.077	5.989	3.017
FBgn0052761	0	0	0	0	0	0
FBgn0267863	0	0	0	0	0	0
FBgn0052034	0	0	0	0.85	0	0
FBgn0262795	0	0	0	0	0	0
FBgn0261856	2.018	2	0.017	3.106	2	1
FBgn0051485	0	0	0	0	0	0
FBgn0267610	0	0	0	0	0	0
FBgn0262851	149.292	113.533	81.624	380.415	85.288	49.277
FBgn0053416	382.774	9	0	44.418	2.881	0
FBgn0267520	25405	12.691	2.489	23901	5.125	4.418
FBgn0085765	2	1	0	1	0	0
FBgn0267424	0	0	0	0	0	0
FBgn0030116	5	0	0	2	1	0
FBgn0031135	1	0	0	2	0	1
FBgn0263213	159.005	1.819	0	34.131	0	0
FBgn0267878	0	0	0	0	0	0
FBgn0058441	0	0	0	0	0	0
FBgn0267864	0.012	0	0	0.05	0	0
FBgn0085500	0.265	0	0	0.002	0	0.001
FBgn0085784	0.007	0.008	0.009	1.587	0.005	0.005
FBgn0262848	474.888	22.404	82.141	178.225	38.948	136.813
FBgn0063924	2.042	2.507	1.693	0	0	0.001
FBgn0262616	0	0	0	0	0	1
FBgn0267891	0.532	0.006	0.002	0.006	0.001	0.004
FBgn0053491	236.582	0.005	0.004	224.152	0.004	16.555
FBgn0050374	2	1	6	4	0	1
FBtr0347034	0	0	0	0	0	0
FBgn0267898	2.389	0.001	0.001	1.103	0	0.001
FBgn0260469	4.917	8.144	3.627	9.832	5.472	2.643
FBgn0267874	0	0	0	0	0	0
FBgn0030243	3039.95	1402.1	1389	3792.63	1549.29	1436.91
FBgn0032269	1	0	1	0	0	0
FBgn0266369	1322	451	500	1087	337	394
FBgn0032596	2748	897	982	2251	536	764
FBgn0033770	3	1	0	3	1	1
FBgn0259237	0	0	0	1	0	0
FBgn0013685	123.706	2	6	10	3	0
FBgn0031021	657.814	292.368	307	859.842	331	360.736
FBgn0033491	555.61	169.79	167.57	584.483	160.575	174
FBgn0051141	3	1	0	5	0	1
FBgn0284082	0	0	0	1	0	1
FBgn0036396	191.898	63	87.525	190.411	63	70
FBgn0036641	555	201	242	300	117	151
FBgn0027594	9453.94	4474	5043	14372	6158	5869
FBgn0261954	7963.72	3159.04	3245.88	8705.6	3088	2744
FBgn0029987	5	6	4	4	2	1
FBgn0031660	2852	1070	1280	2114	806	1066
FBgn0038619	242	101	135	250	84	137
FBgn0001341	675	262	254	678	206	220
FBgn0037541	4277.91	1713.48	1685.3	3961.15	1424.53	1445.57
FBgn0016701	1439	484	528	1568	430	524
FBgn0039110	1383.29	837	942	1435.16	583	720.307
FBgn0038839	1	1	0	1.002	0	0
FBgn0264307	679.127	214.937	261.78	765.515	272.067	269.93
FBgn0263355	2728.47	1204.52	1161.7	3565.9	1295.57	1252.1
FBgn0032482	6816.86	2295.99	2741	8311.13	2580.99	3097.98
FBgn0050082	11	3	0	8	5	2
FBgn0033698	2389	887	1015	1963	797	773
FBgn0032240	1024.8	404.541	436.822	999.918	317.471	422.042
FBgn0029925	518	175	198	428	131	175
FBgn0039017	309.136	98.382	111	295	79	84
FBgn0259711	282.058	80	81	289.381	55	59
FBgn0051140	815.276	324	373.001	770.009	333.998	281.012
FBgn0036813	901	328	450	1036	371	408
FBgn0004379	1414	555.998	600	1335	420	480.001
FBgn0036158	0	0	0	0	0	0
FBgn0031816	369.086	176	203	247	92	109
FBgn0034923	788.265	302.482	408.512	839.38	243	290
FBgn0039582	0	0	0	0	0	0
FBgn0051635	1352.64	493	536	1562.59	520.409	498.48
FBgn0263117	0.192	2.279	2.345	3.155	1.692	2.429
FBgn0030259	0.004	0	1	1	0	0
FBgn0029858	369.465	182.072	206.1	284.342	154.686	151.593
FBgn0260745	7875.01	3757	4350	12787	4644	5296
FBgn0015791	2752.82	872.999	1171	3146.7	872.999	953.999
FBgn0051453	1690	662	829	1401	499	563
FBgn0025574	1056	353	355	789	227	230
FBgn0039637	4312.64	1824	2061	6149	2155	2579
FBgn0023095	184	67	60	211.104	59	58
FBgn0014022	583	186	183	658	141	156
FBgn0035134	11	5	11	15	2	4
FBgn0044826	6088.64	1883	2116	6096	1804	1777
FBgn0030937	0	0	0	0	0	0
FBgn0085213	3	1	1	3	0	1
FBgn0039875	3012.26	1207.57	1379	3221	1052	1171
FBgn0037736	11	7	8	9	3	1
FBgn0024732	1092	318	366	896	259	268
FBgn0053700	1	0	0	0	0	0
FBgn0260747	4628.81	1520	1666	5446	1615	1662
FBgn0038011	1	0	0	0	0	0
FBgn0066365	6	0.003	1	6.001	1.011	4
FBgn0039863	4712.49	1648	1837	5127	1467	1452
FBgn0037721	15	9	8	11	4	4
FBgn0036459	1	0	0	1	0	0
FBgn0038291	530	174	204	772	208	215
FBgn0001114	49802.2	24223	27850.9	91849	29582	32345
FBgn0262894	0	0	0	0	0	0
FBgn0015772	1502.76	512.001	558	1596.08	487.001	542.902
FBgn0030873	2620.81	1105.95	1304	2935.15	928.001	1143
FBgn0086675	100.128	11.981	7.823	96.456	11.897	8.656
FBgn0038223	1099.97	352.148	390.817	1169.19	370	308.694
FBgn0027081	8774.45	3592	4397	8439.2	3255	3720.28
FBgn0043458	3296.1	1482.75	1584.5	3115.95	1289.1	1369.41
FBgn0262010	0	0	0	1	3	1
FBgn0259963	0	0	0	0	0	0
FBgn0010238	3914	1636	2009	3981	1238	1230
FBgn0034184	1959	716	882	1908.36	616	676
FBgn0000018	798.111	285	305	792.012	241	294
FBgn0032809	10	6	8	15	7	6
FBgn0036605	4.796	0	1.723	11.996	2	1
FBgn0052280	1040.99	268.935	350	584.506	212	234
FBgn0000055	5.959	1.293	1.596	7.251	0	4.678
FBgn0033657	2	2	4	4	4	3
FBgn0035421	603	258	287	539	195	208
FBgn0030666	17.84	13.024	9.093	30.746	17.624	19.114
FBgn0011202	3281	1177	1289	3239	1115	1075
FBgn0050091	2	0	1	2	0	0
FBgn0033260	2744	883	961	2768	808	820
FBgn0283427	135701	61413	62210	115715	45545	42400
