Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0003360	14882	3935	4763	1492	576	640	7496	6150	6787	761	806	784	3797.15	6811	784	0.115	-3.123	-33.91	4.80442189068149e-252	4.29034874837857e-248	0.0056	0.0052	0.0054	0.0054	TRUE	NA
FBgn0026562	102439	47109	59862	18039	10108	12172	51595	73623	85297	9199	14138	14919	41461.69	70172	12752	0.181	-2.463	-31.276	9.91693865662181e-215	2.95194207345443e-211	0.0041	0.0046	0.0044	0.0044	TRUE	NA
FBgn0039155	2490	751	893	81	37	54	1254	1174	1272	41	52	66	643.25	1233	53	0.041	-4.593	-27.598	1.1694832176252e-167	2.61087128334827e-164	0.0165	0.0086	0.0102	0.0102	TRUE	NA
FBgn0029167	10401	3816	3822	2347	937	924	5239	5964	5446	1197	1311	1133	3381.36	5550	1214	0.219	-2.191	-24.993	7.32959905300916e-138	1.30906639086744e-134	0.0044	0.0053	0.005	0.005	TRUE	NA
FBgn0035085	1895	671	787	314	133	150	954	1049	1121	160	186	184	609.08	1041	177	0.169	-2.562	-22.337	1.62615021514485e-110	2.42025357020725e-107	0	0.0088	0.0062	0.0062	TRUE	NA
FBgn0039827	767	320	331	46	14	28	386	500	472	23	20	34	239.24	453	26	0.058	-4.104	-19.367	1.45224183472662e-83	1.85264565487267e-80	0.0012	0.0154	0.0131	0.0131	TRUE	NA
FBgn0034897	2877	964	982	725	274	263	1449	1507	1399	370	383	322	905.02	1452	358	0.247	-2.017	-19.225	2.29339104010442e-82	2.55999774851656e-79	0.0025	0.0074	0.0061	0.0061	TRUE	NA
FBgn0029896	1627	531	501	302	100	116	819	830	714	154	140	142	466.54	788	145	0.185	-2.435	-18.673	8.25701610044167e-78	8.1927948641049e-75	0	0.0101	0.0081	0.0081	TRUE	NA
FBgn0023479	9584	3082	2984	3053	1145	1175	4827	4817	4252	1557	1601	1440	3082.35	4632	1533	0.331	-1.596	-18.45	5.25409577481641e-76	4.69190752691106e-73	0.0041	0.0054	0.0049	0.0049	TRUE	NA
FBgn0261552	22518	5916	5184	6734	1604	1703	11342	9246	7387	3434	2243	2087	5956.42	9325	2588	0.274	-1.867	-18.372	2.18998417453966e-75	1.77786897078538e-72	0.0116	0.005	0.0072	0.0072	TRUE	NA
FBgn0259715	2277	879	1073	492	294	283	1147	1374	1529	251	411	347	843.07	1350	336	0.245	-2.03	-17.651	9.92292027961354e-70	6.81628293053453e-67	0.0077	0.0076	0.0076	0.0076	TRUE	NA
FBgn0034736	712	282	257	51	25	28	359	441	366	26	35	34	210.14	389	32	0.08	-3.643	-17.368	1.44900480962079e-67	9.24258067850973e-65	0.0093	0.017	0.015	0.015	TRUE	NA
FBgn0027279	8234	2595	2639	3505	1242	1379	4147	4056	3760	1787	1737	1690	2862.95	3988	1738	0.436	-1.198	-15.852	1.35891370309561e-56	8.09006624576255e-54	8e-04	0.0054	0.0037	0.0037	TRUE	NA
FBgn0040099	3002	785	942	952	221	268	1512	1227	1342	485	309	328	867.35	1360	374	0.274	-1.87	-15.605	6.68326840582512e-55	3.73009917900115e-52	0	0.0075	0.0085	0.0085	TRUE	NA
FBgn0038832	853	252	289	129	52	65	430	394	412	66	73	80	242.24	412	73	0.174	-2.525	-15.124	1.13286484935201e-51	5.32446479195445e-49	0	0.0153	0.012	0.012	TRUE	NA
FBgn0035147	39912	16882	20966	17919	9336	10829	20102	26383	29874	9138	13058	13273	18638.08	25453	11823	0.463	-1.109	-15	7.32609893336701e-51	3.27110317374837e-48	0.0027	0.0047	0.0039	0.0039	TRUE	NA
FBgn0036821	1441	498	457	382	112	147	726	778	651	195	157	180	447.81	718	177	0.248	-2.009	-14.874	4.85522628325871e-50	2.06462717664287e-47	0.0072	0.0104	0.0095	0.0095	TRUE	NA
FBgn0039419	4979	1572	1589	2245	743	850	2508	2457	2264	1145	1039	1042	1742.42	2410	1075	0.447	-1.163	-14.151	1.84741415184089e-45	6.8739201566413e-43	0	0.006	0.0042	0.0042	TRUE	NA
FBgn0053307	3608	742	989	1277	301	374	1817	1160	1409	651	421	458	986.11	1462	510	0.348	-1.522	-14.011	1.3280329171405e-44	4.74373358002585e-42	0.0066	0.0072	0.007	0.007	TRUE	NA
FBgn0033913	13209	4465	4508	5371	2328	2614	6653	6978	6423	2739	3256	3204	4875.54	6685	3066	0.457	-1.131	-13.776	3.53413806417504e-43	1.21384049665704e-40	0.0038	0.0051	0.0046	0.0046	TRUE	NA
FBgn0040091	2714	899	1211	1002	388	416	1367	1405	1726	511	543	510	1010.16	1499	521	0.349	-1.518	-13.726	7.04927061510416e-43	2.33148098492149e-40	0.0083	0.0071	0.0075	0.0075	TRUE	NA
FBgn0043364	4460	906	977	1689	412	514	2246	1416	1392	861	576	630	1186.99	1685	689	0.412	-1.28	-13.706	9.36730034386348e-43	2.98749971681075e-40	0.0019	0.0067	0.0051	0.0051	TRUE	NA
FBgn0283658	3020	1219	1308	1361	599	719	1521	1905	1864	694	838	881	1283.83	1763	804	0.456	-1.132	-13.45	3.06366492223719e-41	9.11950925185936e-39	0	0.0066	0.0042	0.0042	TRUE	NA
