Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0013687	1	0	0	7	0	1	1	0	0	4	0	1	0.89	0	2	3.557	1.831	0.604	0.545781362433015	NA	0	7.3573	5.3202	5.3202	TRUE	NA
FBtr0005088	10274	3376	3547	10798	3489	3754	5317	5058	4997	5514	4791	4657	5055.66	5124	4987	0.971	-0.042	-0.349	0.726871467367226	0.93496165535927	0.0011	0.0272	0.0101	0.0101	TRUE	NA
FBtr0006151	3	0	1	3	1	1	2	0	1	2	1	1	1.18	1	1	1.408	0.493	0.24	0.810613535373319	NA	0	5.5271	2.0852	2.0852	TRUE	NA
FBtr0070000	6	3	4	6	3	3	3	4	6	3	4	4	4.02	4	4	0.846	-0.241	-0.219	0.826315375430936	NA	0	1.6455	0.6144	0.6144	TRUE	NA
FBtr0070002	11	1	1	7	1	0	6	1	1	4	1	0	2.26	3	2	0.535	-0.902	-0.524	0.600197941826888	NA	0	2.9119	1.3452	1.3452	TRUE	NA
FBtr0070003	56	14	13	62	30	35	29	21	18	32	41	43	30.76	23	39	1.667	0.737	1.511	0.130847932797011	0.485798694462104	0	0.2378	0.1343	0.1343	TRUE	NA
FBtr0070006	184	157	108	171	116	121	95	235	152	87	159	150	146.55	161	132	0.838	-0.255	-0.927	0.353799098477787	0.746726300545278	0.0261	0.0704	0.0474	0.0474	TRUE	NA
FBtr0070007	1120	352	402	1054	412	435	580	527	566	538	566	540	552.82	558	548	0.981	-0.028	-0.182	0.855833302300185	0.969216844489251	0	0.0377	0.0154	0.0154	TRUE	NA
FBtr0070008	379	130	151	434	174	211	196	195	213	222	239	262	220.99	201	241	1.192	0.253	1.268	0.204740970512098	0.606091627431254	0	0.0554	0.024	0.024	TRUE	NA
FBtr0070025	1807	1107	1134	1643	1150	1068	935	1659	1598	839	1579	1325	1322.38	1397	1248	0.894	-0.162	-1.101	0.271077629585305	0.680811235802616	0.0043	0.0309	0.0149	0.0149	TRUE	NA
FBtr0070026	673	271	304	681	350	382	348	406	428	348	481	474	414.14	394	434	1.09	0.125	0.748	0.454286846580348	0.820164159899269	0	0.0417	0.0176	0.0176	TRUE	NA
FBtr0070027	640	239	263	817	325	295	331	358	371	417	446	366	381.54	353	410	1.164	0.219	1.179	0.238266317985023	0.64539049689579	0.0056	0.043	0.0219	0.0219	TRUE	NA
FBtr0070028	124	27	40	226	22	26	64	40	56	115	30	32	56.47	53	59	0.944	-0.082	-0.177	0.859235914690272	0.970487299162715	0.1225	0.1413	0.1318	0.1318	TRUE	NA
FBtr0070029	4	3	2	3	1	2	2	4	3	2	1	2	2.46	3	2	0.601	-0.734	-0.525	0.599639255690946	NA	0	2.6733	0.969	0.969	TRUE	NA
FBtr0070032	8	5	2	8	6	6	4	7	3	4	8	7	5.7	5	6	1.302	0.381	0.386	0.699359203487938	NA	0	1.1686	0.516	0.516	TRUE	NA
FBtr0070034	1	1	0	2	1	1	1	1	0	1	1	1	0.94	1	1	1.859	0.894	0.397	0.691562767954347	NA	0	6.9448	2.4601	2.4601	TRUE	NA
FBtr0070035	0	1	0	4	0	1	0	1	0	2	0	1	0.8	0	1	2.855	1.513	0.469	0.638723299814049	NA	0	8.2027	6.1677	6.1677	TRUE	NA
FBtr0070036	2163	839	1079	2259	1056	1290	1119	1257	1520	1154	1450	1600	1350.07	1299	1401	1.075	0.104	0.668	0.504186649106987	0.847186378257832	0.0068	0.0308	0.0167	0.0167	TRUE	NA
FBtr0070038	3378	967	923	4638	980	927	1748	1449	1300	2369	1346	1150	1560.23	1499	1622	1.04	0.056	0.29	0.771954868013591	0.946804239872952	0.0263	0.0301	0.0264	0.0264	TRUE	NA
FBtr0070040	13	28	9	49	23	33	7	42	13	25	32	41	26.48	21	33	1.865	0.899	1.364	0.172716380944334	0.558265672871656	0.2669	0.272	0.2696	0.2696	TRUE	NA
FBtr0070041	1669	296	385	1545	323	374	864	443	542	789	444	464	591.01	616	566	0.918	-0.124	-0.734	0.463234699618497	0.825757660525134	0.0036	0.037	0.0184	0.0184	TRUE	NA
FBtr0070042	691	112	20	427	43	161	358	168	28	218	59	200	171.73	185	159	1.019	0.027	0.041	0.967157940074852	0.992343188514469	0.627	0.0639	0.294	0.294	TRUE	NA
FBtr0070043	76	16	25	38	23	15	39	24	35	19	32	19	28.02	33	23	0.692	-0.531	-1.016	0.309393372182963	0.714180342809082	0.0553	0.2585	0.1574	0.1574	TRUE	NA
FBtr0070044	667	284	382	1324	364	269	345	425	538	676	500	334	469.75	436	503	1.137	0.186	0.586	0.558001984294656	0.873130470914271	0.1045	0.0398	0.0701	0.0701	TRUE	NA
FBtr0070045	165	43	65	518	66	67	85	64	92	265	91	83	113.28	80	146	1.597	0.675	1.679	0.0931573967871703	0.402158981591466	0.1263	0.0835	0.1044	0.1044	TRUE	NA
FBtr0070046	458	111	119	681	94	110	237	166	168	348	129	136	197.38	190	204	0.993	-0.01	-0.037	0.97029787056768	0.99307684250264	0.0401	0.0589	0.049	0.049	TRUE	NA
FBtr0070050	5	2	2	3	2	2	3	3	3	2	3	2	2.53	3	2	0.769	-0.38	-0.281	0.778947474581164	NA	0	2.6047	0.9099	0.9099	TRUE	NA
FBtr0070052	1465	348	551	1408	499	764	758	521	776	719	685	948	734.63	685	784	1.143	0.193	0.785	0.432544938900689	0.807626369222088	0.0497	0.0348	0.0422	0.0422	TRUE	NA
FBtr0070053	10	4	4	6	2	1	5	6	6	3	3	1	3.98	6	2	0.426	-1.23	-1.047	0.295220188412728	NA	0	1.6649	0.685	0.685	TRUE	NA
FBtr0070054	5	3	2	2	2	2	3	4	3	1	3	2	2.69	3	2	0.581	-0.784	-0.584	0.559002469659865	NA	0	2.447	0.8913	0.8913	TRUE	NA
