Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0342811	14657	4679	4084	697	184	220	7585	7010	5753	356	253	273	3538.35	6783	294	0.043	-4.535	-27.734	2.7250204389144e-169	4.82083365848346e-165	0.0097	0.0278	0.0174	0.0174	TRUE	NA
FBtr0100457	3087	886	832	236	55	53	1598	1327	1172	121	76	66	726.47	1366	88	0.063	-3.983	-19.484	1.49791517376346e-84	4.41660288984157e-81	0.013	0.0349	0.0235	0.0235	TRUE	NA
FBtr0300190	2405	797	746	111	24	47	1245	1194	1051	57	33	58	606.26	1163	49	0.043	-4.55	-19.241	1.6672173006273e-82	3.68684265817469e-79	0.0132	0.0367	0.0296	0.0296	TRUE	NA
FBtr0084549	2490	751	893	81	37	54	1289	1125	1258	41	51	67	638.49	1224	53	0.042	-4.563	-19.048	6.84387829502727e-81	1.34527834352586e-77	0.0256	0.0361	0.0313	0.0313	TRUE	NA
FBtr0085094	101410	46896	59580	17936	10031	12131	52480	70260	83934	9160	13774	15049	40776.15	68891	12661	0.183	-2.452	-17.288	5.79462585502071e-67	9.31933872737922e-64	0.0071	0.0261	0.0145	0.0145	TRUE	NA
FBtr0074337	2035	1505	1137	148	85	70	1053	2255	1602	76	117	87	864.81	1637	93	0.059	-4.091	-16.885	5.76241860966506e-64	8.49524563529871e-61	0.0402	0.0335	0.0367	0.0367	TRUE	NA
FBtr0077645	5327	1953	2038	666	157	166	2757	2926	2871	340	216	206	1552.57	2851	254	0.087	-3.516	-16.528	2.32358589971583e-61	2.93618272513377e-58	0.0304	0.0301	0.0303	0.0303	TRUE	NA
FBtr0111030	6171	1226	985	666	132	170	3194	1837	1388	340	181	211	1191.7	2140	244	0.116	-3.107	-16.078	3.6410894151405e-58	4.29430085621671e-55	0.0179	0.0314	0.0242	0.0242	TRUE	NA
FBtr0070985	1416	399	365	105	37	37	733	598	514	54	51	46	332.52	615	50	0.081	-3.624	-16.043	6.41165016839215e-58	7.0892814455641e-55	0.0076	0.0455	0.0256	0.0256	TRUE	NA
FBtr0075753	7338	2708	2390	1327	534	573	3797	4057	3367	678	733	711	2223.89	3740	707	0.189	-2.405	-15.93	3.94370931685398e-57	4.10400950143904e-54	0.0061	0.0289	0.0155	0.0155	TRUE	NA
FBtr0089348	4028	1083	1041	791	192	201	2085	1623	1467	404	264	249	1015.09	1725	306	0.176	-2.51	-15.876	9.34014345657179e-57	9.17980432723398e-54	0.0044	0.0324	0.0158	0.0158	TRUE	NA
FBtr0085755	767	320	331	46	14	28	397	479	466	23	19	35	236.68	447	26	0.058	-4.103	-14.997	7.63082224865656e-51	7.10509875794649e-48	0	0.0535	0.034	0.034	TRUE	NA
FBtr0072393	1894	668	784	266	128	145	980	1001	1104	136	176	180	596.15	1028	164	0.157	-2.667	-14.881	4.39919000824836e-50	3.89130352179609e-47	0	0.0369	0.0195	0.0195	TRUE	NA
FBtr0302694	3011	1194	1189	564	253	314	1558	1789	1675	288	347	390	1007.84	1674	342	0.203	-2.303	-14.876	4.74445963750216e-50	3.99686835462146e-47	0.0032	0.0324	0.0155	0.0155	TRUE	NA
FBtr0310637	676	488	516	74	44	34	350	731	727	38	60	42	324.71	603	47	0.082	-3.609	-13.986	1.90187007402644e-44	1.34583933918407e-41	0.0253	0.046	0.0368	0.0368	TRUE	NA
FBtr0071835	712	282	257	51	25	28	368	422	362	26	34	35	208.02	384	32	0.081	-3.627	-13.903	6.11589466091922e-44	4.16139586332008e-41	0	0.0573	0.032	0.032	TRUE	NA
FBtr0113470	1730	560	550	123	76	61	895	839	775	63	104	76	458.66	836	81	0.095	-3.403	-13.887	7.60322095730681e-44	4.98179933169314e-41	0.0318	0.0401	0.0363	0.0363	TRUE	NA
FBtr0073421	11202	3237	3837	126	32	151	5797	4850	5405	64	44	187	2724.64	5351	98	0.018	-5.809	-13.125	2.35611407849233e-39	1.43731083319337e-36	0.3266	0.0283	0.1358	0.1358	TRUE	NA
FBtr0089484	1395	441	447	213	51	49	722	661	630	109	70	61	375.32	671	80	0.118	-3.087	-12.88	5.80522933617615e-38	3.42334373954307e-35	0	0.0433	0.0338	0.0338	TRUE	NA
FBtr0290019	6546	2254	2494	1907	616	815	3388	3377	3513	974	846	1011	2184.8	3426	944	0.276	-1.859	-12.826	1.17632593569071e-37	6.71302649300142e-35	0.0047	0.0289	0.0144	0.0144	TRUE	NA
FBtr0072956	13495	5758	5088	1100	962	905	6984	8627	7168	562	1321	1123	4297.27	7593	1002	0.125	-3.005	-12.467	1.13632463192826e-35	5.91256443042438e-33	0.0558	0.0275	0.0413	0.0413	TRUE	NA
FBtr0078144	10951	3766	2397	1164	483	449	5667	5642	3377	594	663	557	2750.15	4895	605	0.124	-3.01	-12.43	1.79685711654547e-35	9.08234264251595e-33	0.0547	0.0283	0.0413	0.0413	TRUE	NA
FBtr0332260	1986	872	973	561	304	315	1028	1306	1371	286	417	391	799.94	1235	365	0.294	-1.768	-12.019	2.82812831100958e-33	1.38978938750196e-30	6e-04	0.0341	0.0138	0.0138	TRUE	NA
FBtr0074916	835	373	574	112	42	38	432	559	809	57	58	47	326.93	600	54	0.093	-3.422	-11.648	2.33844753476336e-31	1.06075577788458e-28	0.0592	0.0459	0.0523	0.0523	TRUE	NA
FBtr0299968	2277	879	1073	492	294	283	1178	1317	1512	251	404	351	835.49	1336	335	0.247	-2.018	-11.433	2.85339637269566e-30	1.26198588073397e-27	0.0101	0.0337	0.0205	0.0205	TRUE	NA
FBtr0072087	1737	669	614	434	159	140	899	1002	865	222	218	174	563.31	922	205	0.222	-2.17	-11.342	8.11316832028827e-30	3.41738239890999e-27	0.0107	0.0375	0.0233	0.0233	TRUE	NA
FBtr0335024	11505	3315	2193	1655	561	471	5954	4967	3089	845	770	584	2701.61	4670	733	0.159	-2.655	-11.17	5.7264737645178e-29	2.20232711669749e-26	0.0517	0.0283	0.0398	0.0398	TRUE	NA
FBtr0083967	853	252	289	129	52	65	441	378	407	66	71	81	240.67	409	73	0.176	-2.507	-11.115	1.06578798783123e-28	4.0116713388771e-26	0.0062	0.053	0.0283	0.0283	TRUE	NA
FBtr0076459	537	186	188	51	25	31	278	279	265	26	34	38	153.37	274	33	0.117	-3.093	-11.04	2.44542409621987e-28	9.01291618463036e-26	0	0.0684	0.0393	0.0393	TRUE	NA
FBtr0308065	2958	770	925	935	214	264	1531	1154	1303	477	294	328	847.72	1329	366	0.273	-1.876	-11.008	3.50438139998847e-28	1.26522472137135e-25	0.0081	0.0336	0.019	0.019	TRUE	NA
FBtr0085156	1670	905	987	223	29	44	864	1356	1390	114	40	55	636.47	1203	70	0.055	-4.19	-10.702	9.93098130871287e-27	3.51377980664879e-24	0.1964	0.0362	0.102	0.102	TRUE	NA
FBtr0334282	323	123	139	24	5	10	167	184	196	12	7	12	96.46	182	10	0.06	-4.062	-10.538	5.7781248956888e-26	1.9657847601852e-23	0.0161	0.0935	0.0597	0.0597	TRUE	NA
FBtr0334328	4054	1306	1560	879	484	482	2098	1957	2198	449	665	598	1327.29	2084	571	0.27	-1.89	-10.31	6.35582668473105e-25	2.04438054326504e-22	0.0168	0.0308	0.0231	0.0231	TRUE	NA
FBtr0072864	3477	897	1004	1324	385	448	1799	1344	1414	676	529	556	1053.04	1519	587	0.387	-1.37	-9.957	2.34832374671446e-23	7.18482416792951e-21	2e-04	0.0321	0.0123	0.0123	TRUE	NA
FBtr0087295	2017	574	676	724	217	235	1044	860	952	370	298	292	635.89	952	320	0.335	-1.576	-9.957	2.35554689808327e-23	7.18482416792951e-21	0	0.0362	0.0158	0.0158	TRUE	NA
FBtr0073423	3319	583	819	387	113	51	1718	873	1154	198	155	63	693.48	1248	139	0.11	-3.184	-9.938	2.843729133972e-23	8.38473535151643e-21	0.1206	0.0353	0.0691	0.0691	TRUE	NA
FBtr0071934	2632	870	1155	680	347	348	1362	1303	1627	347	476	432	924.68	1431	418	0.29	-1.787	-9.928	3.13896721620632e-23	9.10351951178788e-21	0.013	0.033	0.0218	0.0218	TRUE	NA
FBtr0112878	1457	182	199	153	38	41	754	273	280	78	52	51	248.03	436	60	0.149	-2.749	-9.869	5.67990556700879e-23	1.5949715775548e-20	0.0369	0.0522	0.0445	0.0445	TRUE	NA
FBtr0112851	2172	620	628	735	213	187	1124	929	885	375	292	232	639.57	979	300	0.304	-1.717	-9.637	5.57313203095833e-22	1.51683505784129e-19	0.0065	0.0361	0.0205	0.0205	TRUE	NA
FBtr0344980	3769	1765	1589	1402	538	520	1950	2644	2239	716	739	645	1488.86	2278	700	0.309	-1.692	-9.625	6.29284041371179e-22	1.68676726907538e-19	0.0143	0.0303	0.0213	0.0213	TRUE	NA
FBtr0302938	672	245	279	175	49	55	348	367	393	89	67	68	222.13	369	75	0.205	-2.289	-9.622	6.46358239453953e-22	1.70667516629551e-19	0.0118	0.0553	0.0325	0.0325	TRUE	NA
FBtr0334867	2134	498	661	115	48	111	1104	746	931	59	66	138	507.33	927	88	0.092	-3.441	-9.598	8.17339952090576e-22	2.09558856412092e-19	0.1526	0.0388	0.0861	0.0861	TRUE	NA
FBtr0077234	5787	2197	2096	2058	925	1043	2995	3292	2953	1051	1270	1294	2142.36	3080	1205	0.389	-1.361	-9.594	8.48281165804367e-22	2.14384887203501e-19	0.0045	0.029	0.0139	0.0139	TRUE	NA
FBtr0089963	1929	493	465	457	165	170	998	739	655	233	227	211	510.47	797	224	0.283	-1.823	-9.479	2.57664950334408e-21	6.33104255050836e-19	0.0116	0.0387	0.0235	0.0235	TRUE	NA
