Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0112994	60	23	61	8888	4998	5277	31	34	86	4539	6863	6546	3016.63	50	5983	122.077	6.932	24.124	1.38540326412444e-128	1.22545845728127e-124	0.0992	0.0281	0.0485	0.0485	TRUE	NA
FBtr0073426	549	268	262	4784	2222	2631	284	402	369	2443	3051	3264	1635.47	352	2919	8.336	3.059	21.751	6.77666660299733e-105	3.99620029578753e-101	0.0012	0.0299	0.0125	0.0125	TRUE	NA
FBtr0337020	105	24	35	2749	1051	969	54	36	49	1404	1443	1202	698.12	46	1350	28.717	4.844	21.376	2.21335300138493e-101	9.78910698687521e-98	0.0133	0.0353	0.025	0.025	TRUE	NA
FBtr0342806	149	80	82	2611	2444	2073	77	120	116	1333	3356	2572	1262.25	104	2420	22.074	4.464	20.351	4.59058551661281e-92	1.62424096748794e-88	0.0278	0.0311	0.0294	0.0294	TRUE	NA
FBtr0340240	529	102	102	5508	1146	1067	274	153	144	2813	1574	1324	1046.73	190	1904	9.961	3.316	19.419	5.36833663495709e-84	1.35673204870037e-80	0.0062	0.0322	0.0173	0.0173	TRUE	NA
FBtr0301964	145	145	135	1290	1125	1369	75	217	190	659	1545	1698	730.72	161	1301	8.23	3.041	17.826	4.44572492453563e-71	7.86493196399597e-68	0.0031	0.0349	0.017	0.017	TRUE	NA
FBtr0342810	333	94	91	4643	1452	1093	172	141	128	2371	1994	1356	1027.03	147	1907	12.91	3.69	16.83	1.46900448706806e-63	1.99908910620931e-60	0.0286	0.0323	0.0303	0.0303	TRUE	NA
FBtr0089349	1500	393	451	6426	2612	2788	776	589	635	3282	3587	3459	2054.56	667	3443	5.176	2.372	14.297	2.29878755910106e-46	1.84853866854804e-43	0.0111	0.0291	0.0188	0.0188	TRUE	NA
FBtr0087258	963	265	242	5327	2285	2110	498	397	341	2720	3138	2618	1618.65	412	2825	6.895	2.786	14.258	4.00319290183886e-46	3.07915154897528e-43	0.0224	0.03	0.0259	0.0259	TRUE	NA
FBtr0301487	818	500	372	4779	3392	3781	423	749	524	2441	4658	4691	2247.55	565	3930	6.769	2.759	14.048	7.88493382938492e-45	5.81218184898536e-42	0.0247	0.0288	0.0267	0.0267	TRUE	NA
FBtr0305073	191	92	67	1608	583	696	99	138	94	821	801	863	469.37	110	828	7.57	2.92	13.713	8.46661816819685e-43	5.34939078619895e-40	0.0093	0.0398	0.0271	0.0271	TRUE	NA
FBtr0342814	677	213	248	2927	1631	1739	350	319	349	1495	2240	2157	1151.75	339	1964	5.665	2.502	12.715	4.89944110170017e-37	2.70862539156806e-34	0.0213	0.0316	0.026	0.026	TRUE	NA
FBtr0081619	132	39	60	945	391	516	68	58	85	483	537	640	311.81	70	553	7.768	2.957	12.501	7.34418356037623e-36	3.9371500414126e-33	0.0137	0.0468	0.0318	0.0318	TRUE	NA
FBtr0347567	196	93	160	3728	1160	1341	101	139	225	1904	1593	1664	937.73	155	1720	11.458	3.518	11.958	5.9282822515901e-33	2.83452003548326e-30	0.0908	0.0329	0.0585	0.0585	TRUE	NA
FBtr0076772	948	252	301	3104	1007	1183	491	378	424	1585	1383	1468	954.61	431	1479	3.436	1.781	11.812	3.38391563440634e-32	1.57539082863902e-29	0.0013	0.0328	0.0147	0.0147	TRUE	NA
FBtr0077644	1140	650	596	3773	1967	2209	590	974	840	1927	2701	2740	1628.59	801	2456	3.089	1.627	11.413	3.58999113310887e-30	1.54903739355681e-27	0.0026	0.0299	0.0138	0.0138	TRUE	NA
FBtr0472696	181	98	77	1067	587	912	94	147	108	545	806	1131	471.88	116	827	6.922	2.791	11.315	1.10915251598202e-29	4.56325980470649e-27	0.0375	0.0397	0.0387	0.0387	TRUE	NA
FBtr0332202	609	176	176	3059	697	748	315	264	248	1562	957	928	712.33	276	1149	4.098	2.035	11.297	1.35662267958663e-29	5.45454814194706e-27	0.0098	0.0351	0.0207	0.0207	TRUE	NA
FBtr0080263	221	50	45	1679	1225	1527	114	75	63	857	1682	1894	781.09	84	1478	16.9	4.079	11.198	4.18252840632362e-29	1.64429133413936e-26	0.1636	0.0343	0.0888	0.0888	TRUE	NA
FBtr0085155	990	343	432	2901	1315	1530	512	514	609	1481	1806	1898	1136.67	545	1728	3.152	1.656	10.616	2.52367701892618e-26	8.75419022388688e-24	0.0046	0.0317	0.0162	0.0162	TRUE	NA
FBtr0088136	74	21	49	1084	309	399	38	31	69	554	424	495	268.61	46	491	10.756	3.427	10.464	1.2650169903631e-25	4.22253124085162e-23	0.0879	0.0502	0.0642	0.0642	TRUE	NA
FBtr0081614	153	41	33	875	333	479	79	61	46	447	457	594	280.9	62	499	7.956	2.992	10.396	2.57533134415879e-25	8.43707163139131e-23	0.0503	0.0491	0.0497	0.0497	TRUE	NA
FBtr0089581	538	391	334	4772	1933	1811	278	586	471	2437	2654	2247	1445.44	445	2446	5.737	2.52	10.224	1.54739379054768e-24	4.88838277653196e-22	0.0548	0.0304	0.0423	0.0423	TRUE	NA
FBtr0072635	123	48	34	665	381	334	64	72	48	340	523	414	243.43	61	426	6.803	2.766	9.949	2.54974226129406e-23	7.64533734653445e-21	0.0375	0.0527	0.0458	0.0458	TRUE	NA
FBtr0346714	149	13	13	1173	453	513	77	19	18	599	622	636	328.73	38	619	19.184	4.262	9.896	4.3365806282518e-23	1.23739432087746e-20	0.214	0.0458	0.1142	0.1142	TRUE	NA
FBtr0302291	7097	2315	2578	17634	7581	7047	3673	3468	3632	9005	10410	8742	6488.37	3591	9386	2.612	1.385	9.759	1.68971169569972e-22	4.67073275134745e-20	0.0076	0.0269	0.0143	0.0143	TRUE	NA
FBtr0077247	887	203	220	2401	619	756	459	304	310	1226	850	938	681.18	358	1005	2.822	1.497	9.6	7.99156357755733e-22	2.07909928309657e-19	0.0018	0.0355	0.0153	0.0153	TRUE	NA
