Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0003360	14882	3935	4763	1492	576	640	7496	6150	6787	761	806	784	3797.15	6811	784	0.115	-3.122	-25.955	1.58696770998654e-148	1.41351213928501e-144	0.0055	0.0137	0.0097	0.0097	TRUE	0.0668
FBgn0039155	2490	751	893	81	37	54	1254	1174	1272	41	52	66	643.25	1233	53	0.042	-4.59	-24.519	9.33547175285208e-133	4.15755234513267e-129	0.0051	0.0177	0.0155	0.0155	TRUE	0.5488
FBgn0029167	10401	3816	3822	2347	937	924	5239	5964	5446	1197	1311	1133	3381.36	5550	1214	0.219	-2.194	-18.872	1.9327853922558e-79	4.30382987220561e-76	0.0043	0.0138	0.0092	0.0092	TRUE	0.0562
FBgn0035085	1895	671	787	314	133	150	954	1049	1121	160	186	184	609.08	1041	177	0.169	-2.569	-17.243	1.26985708568067e-66	2.26212341243154e-63	0.0055	0.018	0.0126	0.0126	TRUE	0.0917
FBgn0039827	767	320	331	46	14	28	386	500	472	23	20	34	239.24	453	26	0.057	-4.143	-16.894	4.96601052959846e-64	7.37204263118892e-61	0.0179	0.026	0.0237	0.0237	TRUE	0.3679
FBgn0029896	1627	531	501	302	100	116	819	830	714	154	140	142	466.54	788	145	0.185	-2.431	-15.886	7.98585008410613e-57	1.01614238141619e-53	0	0.0196	0.0128	0.0128	TRUE	0.0764
FBgn0034736	712	282	257	51	25	28	359	441	366	26	35	34	210.14	389	32	0.079	-3.657	-15.705	1.38703843671906e-55	1.54429391948208e-52	0	0.0278	0.0222	0.0222	TRUE	0.3169
FBgn0034897	2877	964	982	725	274	263	1449	1507	1399	370	383	322	905.02	1452	358	0.247	-2.016	-15.696	1.60063497006349e-55	1.58409507537283e-52	8e-04	0.0163	0.0101	0.0101	TRUE	0.0814
FBgn0023479	9584	3082	2984	3053	1145	1175	4827	4817	4252	1557	1601	1440	3082.35	4632	1533	0.331	-1.596	-14.039	8.96673650218492e-45	7.26061109317828e-42	0.0033	0.0139	0.0088	0.0088	TRUE	0.0622
FBgn0038832	853	252	289	129	52	65	430	394	412	66	73	80	242.24	412	73	0.174	-2.522	-13.708	9.10699269217863e-43	6.75966532576959e-40	0	0.0258	0.0163	0.0163	TRUE	0.097
