Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0337020	105	24	35	2749	1051	969	54	36	49	1404	1443	1202	698.12	46	1350	28.382	4.827	18.943	5.02800301300614e-80	9.94287595821965e-76	0.0103	0.0952	0.0352	0.0352	TRUE	0.2438
FBtr0112994	60	23	61	8888	4998	5277	31	34	86	4539	6863	6546	3016.63	50	5983	120.231	6.91	15.464	6.04329776999512e-54	2.39012426803307e-50	0.1596	0.0902	0.1326	0.1326	TRUE	2.6959
FBtr0305073	191	92	67	1608	583	696	99	138	94	821	801	863	469.37	110	828	7.57	2.92	12.621	1.61787996059201e-36	2.66613135172559e-33	0.0037	0.0984	0.0329	0.0329	TRUE	0.4016
FBtr0073426	549	268	262	4784	2222	2631	284	402	369	2443	3051	3264	1635.47	352	2919	8.334	3.059	12.568	3.1481729322503e-36	4.78885536424998e-33	0.0231	0.0915	0.0409	0.0409	TRUE	0.3491
FBtr0089349	1500	393	451	6426	2612	2788	776	589	635	3282	3587	3459	2054.56	667	3443	5.147	2.364	12.333	6.025238614121e-35	7.44681834964017e-32	0.0104	0.0909	0.0255	0.0255	TRUE	0.2548
FBtr0342810	333	94	91	4643	1452	1093	172	141	128	2371	1994	1356	1027.03	147	1907	12.901	3.689	12.157	5.23464810397482e-34	6.08912742682953e-31	0.051	0.0931	0.0623	0.0623	TRUE	0.1138
FBtr0087258	963	265	242	5327	2285	2110	498	397	341	2720	3138	2618	1618.65	412	2825	6.828	2.771	12	3.53973863249146e-33	3.88879619208437e-30	0.0214	0.0915	0.0369	0.0369	TRUE	0.4109
FBtr0081619	132	39	60	945	391	516	68	58	85	483	537	640	311.81	70	553	7.856	2.974	11.43	2.96977648924114e-30	2.93636650373718e-27	0.0171	0.1033	0.0401	0.0401	TRUE	0.1666
FBtr0342806	149	80	82	2611	2444	2073	77	120	116	1333	3356	2572	1262.25	104	2420	23.373	4.547	10.99	4.25372654815997e-28	3.23528624961013e-25	0.1299	0.0923	0.1177	0.1177	TRUE	0.0963
FBtr0342814	677	213	248	2927	1631	1739	350	319	349	1495	2240	2157	1151.75	339	1964	5.774	2.53	10.398	2.53891212608024e-25	1.67356624310789e-22	0.0258	0.0926	0.0407	0.0407	TRUE	0.5358
