Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
FBgn0000008	195	75	64	174	85	69	112	132	103	102	135	96	113.05	116	111	0.95	-0.074	0.687568215205498	0.818701379465151	0.014	0.0141
FBgn0000014	8	2	5	21	3	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000015	12	4	4	11	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000017	285369	68062	49594	276128	36619	38709	163452	119518	79727	161450	57956	53728	105972.06	120899	91045	0.676	-0.564	0.0087316287870908	0.0382568479229267	0.0326	0.0222
FBgn0000018	792	241	294	798	285	305	454	423	473	467	451	423	448.41	450	447	0.996	-0.006	0.955751642092477	0.978905465589722	0.0045	0.0062
FBgn0000022	2	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000024	14	4	3	20	9	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000028	25	7	4	41	8	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000032	1919	611	641	1983	674	759	1099	1073	1030	1159	1067	1053	1080.37	1067	1093	1.026	0.037	0.658055497986005	0.799018681640446	0.0038	0.005
FBgn0000036	29	4	11	24	5	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000037	40	11	8	42	16	24	23	19	13	25	25	33	23.05	18	28	1.407	0.492	0.128153743745972	0.284162478022294	0.0275	0.0247
FBgn0000038	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000039	1	0	0	0	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000042	137948	46027	50826	155693	73446	83437	79013	80824	81708	91033	116242	115810	94105.02	80515	107695	1.329	0.411	0.00856862778110778	0.037710751355302	0.0175	0.0213
FBgn0000043	44136	16052	17308	65571	29782	34401	25280	28188	27824	38339	47136	47748	35752.48	27097	44408	1.633	0.707	2.8471800021709e-08	5.06563348759343e-07	0.0115	0.0147
FBgn0000044	93	17	15	103	25	18	53	30	24	60	40	25	38.67	36	42	1.154	0.206	0.403799373210003	0.599233301803591	0.0154	0.0209
FBgn0000045	51	5	21	62	30	24	29	9	34	36	47	33	31.47	24	39	1.552	0.634	0.0635688940114517	0.17241506708169	0.0464	0.0228
FBgn0000046	80	11	14	129	26	18	46	19	23	75	41	25	38.2	29	47	1.608	0.685	0.00764397275503724	0.0345431760533418	0.0169	0.0208
FBgn0000047	51	8	3	67	20	9	29	14	5	39	32	12	21.9	16	28	1.711	0.775	0.0462201435208396	0.135392006127831	0.0501	0.0242
FBgn0000052	3951	1630	1858	3734	1775	1921	2263	2862	2987	2183	2809	2666	2628.52	2704	2553	0.946	-0.08	0.300682549215529	0.500954350734464	0.0039	0.005
FBgn0000053	3162	1292	1471	3922	1888	2087	1811	2269	2365	2293	2988	2897	2437.12	2148	2726	1.268	0.343	9.24108281073945e-06	0.000102703741481958	0.0038	0.0049
FBgn0000055	7	0	5	6	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000056	8	1	2	8	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000057	1213	442	514	1136	531	588	695	776	826	664	840	816	769.67	766	773	1.003	0.004	0.961591796608422	0.981210015590839	0.0038	0.0052
FBgn0000061	2	1	3	5	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000063	766	213	234	795	306	334	439	374	376	465	484	464	433.61	396	471	1.175	0.232	0.0256287180115241	0.0882109715193121	0.0051	0.0063
FBgn0000064	14102	5007	5231	15720	6619	7916	8077	8792	8409	9191	10476	10987	9322.26	8426	10218	1.21	0.275	0.00346257474916771	0.0183581370993365	0.0062	0.0078
FBgn0000071	204	72	84	1130	477	585	117	126	135	661	755	812	434.32	126	743	5.835	2.545	9.18071614087331e-110	1.0757176255349e-106	0.0048	0.0063
FBgn0000075	5	2	2	4	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000077	407	125	167	398	153	191	233	220	268	233	242	265	243.51	240	247	1.022	0.031	0.808268637941677	0.896245601296544	0.0071	0.0086
FBgn0000078	161	32	78	58	33	24	92	56	125	34	52	33	65.54	91	40	0.426	-1.233	3.48088812656524e-05	0.000336280852933899	0.043	0.0182
FBgn0000079	763	395	389	263	150	217	437	694	625	154	237	301	408.06	585	231	0.388	-1.367	1.25981937862864e-29	1.4975418179003e-27	0.007	0.0065
FBgn0000083	10582	3789	4560	10152	4554	5260	6061	6654	7331	5936	7208	7301	6748.26	6682	6815	1.017	0.025	0.777626092772832	0.879857802858707	0.0054	0.0067
FBgn0000084	4215	1961	2274	3754	2039	2293	2414	3444	3656	2195	3227	3183	3019.7	3171	2868	0.905	-0.144	0.0593233738927008	0.163934690861292	0.0038	0.0051
