Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
FBgn0039155	2490	751	893	81	37	54	1426	1319	1436	47	59	75	726.91	1394	60	0.041	-4.593	2.20965429382439e-253	1.81235845179476e-249	0.006	0.0053
FBgn0003360	14882	3935	4763	1492	576	640	8524	6910	7657	872	912	888	4293.88	7697	891	0.116	-3.113	8.3513016567761e-218	2.28324587296259e-214	0.0055	0.0056
FBgn0035085	1895	671	787	314	133	150	1085	1178	1265	184	210	208	688.53	1176	201	0.17	-2.552	1.63197116510453e-143	3.34635687404685e-140	0.0042	0.0054
FBgn0039827	767	320	331	46	14	28	439	562	532	27	22	39	270.21	511	29	0.059	-4.084	1.43262469766348e-138	2.35007755404718e-135	0.007	0.0082
FBgn0029167	10401	3816	3822	2347	937	924	5957	6701	6144	1372	1483	1283	3823.4	6267	1379	0.22	-2.182	1.23120232387605e-127	1.68305357673855e-124	0.005	0.0054
FBgn0029896	1627	531	501	302	100	116	932	932	805	177	158	161	527.6	890	165	0.186	-2.423	2.03107245081359e-106	2.08235703019663e-103	0.005	0.0058
FBgn0034736	712	282	257	51	25	28	408	495	413	30	40	39	237.4	439	36	0.081	-3.634	4.09986797918032e-102	3.736346351693e-99	0.0086	0.0089
FBgn0034897	2877	964	982	725	274	263	1648	1693	1579	424	434	365	1023.66	1640	408	0.249	-2.006	3.57526262650488e-99	2.93243040625931e-96	0.0046	0.005
FBgn0259715	2277	879	1073	492	294	283	1304	1544	1725	288	465	393	953.08	1524	382	0.246	-2.023	2.40974856805399e-86	1.79679615956171e-83	0.0055	0.0051
FBgn0038832	853	252	289	129	52	65	489	443	465	75	82	90	273.94	466	82	0.174	-2.524	5.79351725514757e-76	3.95986904389337e-73	0.0065	0.008
FBgn0023479	9584	3082	2984	3053	1145	1175	5489	5412	4797	1785	1812	1631	3487.79	5233	1743	0.333	-1.587	1.42114940211251e-73	8.96635953548216e-71	0.0049	0.0053
FBgn0040099	3002	785	942	952	221	268	1719	1378	1514	557	350	372	981.78	1537	426	0.276	-1.855	3.29114478301442e-69	1.92814067930602e-66	0.006	0.005
