Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
FBtr0342811	14657	4679	4084	697	184	220	8589	7898	6444	410	285	305	3988.47	7644	333	0.043	-4.527	2.69836674611644e-108	2.41598266613535e-104	0.0217	0.0255
FBtr0084549	2490	751	893	81	37	54	1459	1268	1409	48	57	75	719.27	1379	60	0.043	-4.551	1.22716253547647e-67	4.39495990455542e-64	0.0323	0.0342
FBtr0300190	2405	797	746	111	24	47	1409	1345	1177	65	37	65	683.22	1310	56	0.043	-4.54	5.51175752141129e-67	1.6449840322652e-63	0.0325	0.0351
FBtr0100457	3087	886	832	236	55	53	1809	1496	1313	139	85	74	819.12	1539	99	0.064	-3.976	7.27540440680953e-64	1.86115238161055e-60	0.0281	0.0323
FBtr0074337	2035	1505	1137	148	85	70	1192	2541	1794	87	132	97	973.8	1842	105	0.059	-4.08	8.94386341373329e-59	1.77953069055247e-55	0.033	0.0302
FBtr0077645	5327	1953	2038	666	157	166	3121	3297	3216	391	243	230	1749.82	3211	288	0.088	-3.505	1.90746779301017e-56	2.84641881411943e-53	0.0275	0.0257
FBtr0111030	6171	1226	985	666	132	170	3616	2070	1554	391	205	236	1345.27	2413	277	0.117	-3.099	2.36290611037604e-49	3.25481228603875e-46	0.0253	0.0272
FBtr0073421	11202	3237	3837	126	32	151	6564	5464	6054	74	50	209	3069.23	6027	111	0.018	-5.802	7.10389198117735e-42	7.48290551217311e-39	0.0847	0.0249
FBtr0075753	7338	2708	2390	1327	534	573	4300	4571	3771	780	828	795	2507.46	4214	801	0.19	-2.396	9.27419699406532e-40	9.22628030959598e-37	0.0208	0.0248
FBtr0078144	10951	3766	2397	1164	483	449	6417	6357	3782	684	749	623	3102	5519	685	0.125	-3.002	2.60283436340481e-39	2.45310289186789e-36	0.0317	0.0249
FBtr0072956	13495	5758	5088	1100	962	905	7908	9720	8028	647	1492	1255	4841.45	8552	1131	0.125	-2.997	9.82366274394045e-38	8.37677755979722e-35	0.0329	0.0263
FBtr0089348	4028	1083	1041	791	192	201	2360	1828	1642	465	298	279	1145.39	1943	347	0.176	-2.503	9.35674414909487e-38	8.37677755979722e-35	0.0229	0.0285
FBtr0070985	1416	399	365	105	37	37	830	674	576	62	57	51	374.93	693	57	0.082	-3.607	1.35526065054442e-37	1.08478148908319e-34	0.0402	0.0476
FBtr0113470	1730	560	550	123	76	61	1014	945	868	72	118	85	516.93	942	92	0.095	-3.391	4.92471645733619e-37	3.67445406672996e-34	0.0382	0.0402
FBtr0085755	767	320	331	46	14	28	449	540	522	27	22	39	266.57	504	29	0.059	-4.091	5.73608652991715e-36	3.95061928812409e-33	0.0504	0.0574
FBtr0072393	1894	668	784	266	128	145	1110	1128	1237	156	198	201	671.73	1158	185	0.159	-2.656	5.83509646444497e-34	3.73175258531486e-31	0.0279	0.0354
FBtr0310637	676	488	516	74	44	34	396	824	814	43	68	47	365.48	678	53	0.083	-3.599	8.75027875049221e-34	5.40314626155393e-31	0.0456	0.0486
FBtr0302694	3011	1194	1189	564	253	314	1764	2016	1876	332	392	436	1135.87	1885	387	0.204	-2.294	3.4221153816711e-33	2.04266067131948e-30	0.0226	0.0286
FBtr0335024	11505	3315	2193	1655	561	471	6742	5596	3460	973	870	653	3048.92	5266	832	0.16	-2.647	1.7687352313175e-32	9.89773180850079e-30	0.0311	0.0249
FBtr0071835	712	282	257	51	25	28	417	476	405	30	39	39	234.39	433	36	0.082	-3.609	2.309708271129e-30	1.21646900032668e-27	0.0489	0.0614
FBtr0089484	1395	441	447	213	51	49	817	744	705	125	79	68	423.23	755	91	0.118	-3.079	4.00404836184559e-30	2.04858554330197e-27	0.04	0.0447
FBtr0085156	1670	905	987	223	29	44	979	1528	1557	131	45	61	716.77	1355	79	0.056	-4.161	1.03505322819045e-28	5.14852726589068e-26	0.0707	0.0343
FBtr0074916	835	373	574	112	42	38	489	630	906	66	65	53	368.04	675	61	0.094	-3.41	8.74817161410693e-28	4.2338786241571e-25	0.0521	0.0483
FBtr0073423	3319	583	819	387	113	51	1945	984	1292	227	175	71	782.43	1407	158	0.111	-3.173	2.12759984217223e-27	9.76895650609694e-25	0.0492	0.0329
FBtr0290019	6546	2254	2494	1907	616	815	3836	3805	3935	1121	955	1130	2463.68	3859	1069	0.277	-1.852	5.77141900530602e-26	2.46068571733369e-23	0.0203	0.0248
FBtr0085094	101410	46896	59580	17936	10031	12131	59423	79163	94004	10543	15554	16825	45918.69	77530	14307	0.184	-2.444	3.42320194717207e-25	1.42556458762815e-22	0.036	0.0455
FBtr0334867	2134	498	661	115	48	111	1250	841	1043	68	74	154	571.67	1045	99	0.092	-3.434	4.70966570394499e-25	1.9167269036487e-22	0.0607	0.0382
FBtr0299968	2277	879	1073	492	294	283	1334	1484	1693	289	456	393	941.43	1504	379	0.249	-2.008	1.04996641891127e-23	3.91703097155084e-21	0.0252	0.0306
FBtr0072087	1737	669	614	434	159	140	1018	1129	969	255	247	194	635.29	1039	232	0.223	-2.162	1.52104640376082e-22	5.55052926573246e-20	0.03	0.0363
FBtr0334282	323	123	139	24	5	10	189	208	219	14	8	14	108.66	205	12	0.061	-4.046	1.77615218351282e-22	6.23638375493415e-20	0.075	0.0871
FBtr0303384	3045	1221	589	552	125	122	1784	2061	929	324	194	169	910.37	1591	229	0.14	-2.84	6.4974135371936e-22	2.1952676266137e-19	0.0523	0.031
FBtr0334328	4054	1306	1560	879	484	482	2376	2205	2461	517	750	669	1496.19	2347	645	0.271	-1.881	8.26342366185964e-22	2.74024310209112e-19	0.0248	0.0265
FBtr0112532	266	48	85	11	1	1	156	81	134	6	2	1	63.4	124	3	0.028	-5.157	1.44544603801029e-21	4.62207182190183e-19	0.0968	0.0978
FBtr0308065	2958	770	925	935	214	264	1733	1300	1459	550	332	366	956.69	1497	416	0.274	-1.868	3.29860966124717e-21	1.03628426673602e-18	0.0247	0.0304
FBtr0344554	450	60	65	15	5	4	264	101	103	9	8	6	81.61	156	8	0.048	-4.383	7.3293082460539e-21	2.26286073727736e-18	0.0799	0.0936
FBtr0085735	202	73	73	7	6	4	118	123	115	4	9	6	62.62	119	6	0.05	-4.316	1.42015924263817e-20	4.23846525965363e-18	0.0783	0.0981
FBtr0076459	537	186	188	51	25	31	315	314	297	30	39	43	172.83	309	37	0.119	-3.075	1.95875998156791e-20	5.75008442457976e-18	0.0568	0.0715
FBtr0332260	1986	872	973	561	304	315	1164	1472	1535	330	471	437	901.49	1390	413	0.296	-1.759	5.15886039616191e-20	1.4899953728076e-17	0.0235	0.0311
FBtr0073269	6532	1621	1471	2434	291	365	3828	2736	2321	1431	451	506	1878.82	2962	796	0.239	-2.066	1.21017659900859e-19	3.43978291403918e-17	0.033	0.0254
FBtr0344981	3763	509	490	273	116	118	2205	859	773	160	180	164	723.56	1279	168	0.147	-2.769	1.84969617284763e-19	5.17539208862227e-17	0.0542	0.0341
FBtr0071934	2632	870	1155	680	347	348	1542	1469	1822	400	538	483	1042.27	1611	474	0.292	-1.778	2.48943361450468e-19	6.85819811306698e-17	0.0252	0.0295
FBtr0333020	3063	1108	1432	1020	403	351	1795	1870	2259	600	625	487	1272.64	1975	571	0.29	-1.787	4.94368286980208e-19	1.30186072278744e-16	0.0261	0.0276
FBtr0112878	1457	182	199	153	38	41	854	307	314	90	59	57	280.11	492	69	0.15	-2.732	5.1977897481703e-19	1.3489394350795e-16	0.0508	0.0554
FBtr0344980	3769	1765	1589	1402	538	520	2209	2979	2507	824	834	721	1679.09	2565	793	0.311	-1.684	9.23958069250461e-19	2.36361673515257e-16	0.0239	0.0259
FBtr0083967	853	252	289	129	52	65	500	425	456	76	81	90	271.3	460	82	0.178	-2.492	1.71713235564999e-18	4.33080128065132e-16	0.0459	0.0567
FBtr0333662	1167	526	369	279	70	85	684	888	582	164	109	118	424.06	718	130	0.181	-2.47	1.82079595759629e-18	4.52847127953845e-16	0.0471	0.0447
FBtr0337056	1895	422	300	302	94	91	1110	712	473	178	146	126	457.6	765	150	0.202	-2.309	7.24637340795084e-18	1.75352444075913e-15	0.0429	0.0428
FBtr0307289	1257	577	579	209	185	131	737	974	914	123	287	182	535.92	875	197	0.217	-2.206	8.42063654444238e-18	2.01051118135106e-15	0.0404	0.0395
FBtr0100375	843	511	550	253	96	101	494	863	868	149	149	140	443.67	742	146	0.205	-2.286	8.99519208827266e-18	2.11943295690393e-15	0.0425	0.0437
FBtr0088774	6303	3418	3042	2674	1024	1020	3693	5770	4800	1572	1588	1415	3139.5	4754	1525	0.325	-1.62	2.30960755248631e-17	5.37118733017823e-15	0.0244	0.0249
FBtr0080838	2191	715	503	467	182	189	1284	1207	794	274	282	262	683.88	1095	273	0.25	-1.998	2.64727260590409e-17	6.07752699409289e-15	0.035	0.035
FBtr0290077	1482	795	772	228	237	282	868	1342	1218	134	367	391	720.18	1143	297	0.239	-2.066	3.84409786253173e-17	8.71345068662731e-15	0.0375	0.0343
FBtr0330730	2611	1792	1715	979	494	381	1530	3025	2706	575	766	528	1521.79	2420	623	0.268	-1.899	5.95084161860171e-17	1.31557680079384e-14	0.0334	0.0264
FBtr0081958	118	26	37	3	3	1	69	44	58	2	5	1	29.87	57	3	0.042	-4.579	1.71099070310772e-16	3.7364281122622e-14	0.0826	0.0894
FBtr0077409	1633	576	600	160	144	195	957	972	947	94	223	270	577.28	959	196	0.187	-2.416	3.51699845514018e-16	7.58781823327654e-14	0.0525	0.0381
FBtr0308254	6184	1033	736	1051	322	287	3624	1744	1161	618	499	398	1340.63	2176	505	0.252	-1.987	5.33912992134859e-16	1.12479764119517e-13	0.0383	0.0272
FBtr0302692	3397	574	578	566	190	228	1991	969	912	333	295	316	802.49	1291	315	0.259	-1.952	6.03412509265485e-16	1.25643113993221e-13	0.0363	0.0326
FBtr0089963	1929	493	465	457	165	170	1130	832	734	269	256	236	576.08	899	254	0.285	-1.812	6.75192823293505e-16	1.38973309042722e-13	0.0314	0.038
FBtr0087307	1934	837	913	707	302	247	1133	1413	1441	416	468	343	868.85	1329	409	0.31	-1.689	1.04657447846208e-15	2.10573136919331e-13	0.0286	0.0316
