Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
FBtr0112994	60	23	61	8888	4998	5277	35	39	96	5224	7750	7319	3410.52	57	6764	122.704	6.939	1.77326998863235e-133	3.17539456864394e-129	0.0314	0.0251
FBtr0337020	105	24	35	2749	1051	969	62	41	55	1616	1630	1344	791.11	53	1530	28.901	4.853	1.23659750444594e-81	7.38125050403781e-78	0.0288	0.0328
FBtr0342806	149	80	82	2611	2444	2073	87	135	129	1535	3790	2875	1425.2	117	2733	22.182	4.471	3.43853887444098e-80	1.53934789061537e-76	0.0277	0.0268
FBtr0073426	549	268	262	4784	2222	2631	322	452	413	2812	3445	3649	1848.98	396	3302	8.378	3.067	8.44848241449533e-62	1.8910871824546e-58	0.0199	0.0255
FBtr0340240	529	102	102	5508	1146	1067	310	172	161	3238	1777	1480	1189.57	214	2165	10.014	3.324	3.10798394899169e-58	5.56546685745942e-55	0.0234	0.0282
FBtr0342810	333	94	91	4643	1452	1093	195	159	144	2729	2251	1516	1165.64	166	2165	12.988	3.699	1.68199491065701e-57	2.73813480592137e-54	0.0288	0.0284
FBtr0301964	145	145	135	1290	1125	1369	85	245	213	758	1744	1899	824.02	181	1467	8.266	3.047	2.35605028094448e-46	3.01355659863378e-43	0.0255	0.0323
FBtr0087258	963	265	242	5327	2285	2110	564	447	382	3131	3543	2926	1832.35	464	3200	6.933	2.794	2.45254692815694e-43	2.92785052283376e-40	0.0246	0.0255
FBtr0301487	818	500	372	4779	3392	3781	479	844	587	2809	5260	5244	2537.15	637	4438	6.804	2.766	1.44303284445417e-42	1.61502432160256e-39	0.0251	0.0248
FBtr0089349	1500	393	451	6426	2612	2788	879	663	712	3777	4050	3867	2324.66	751	3898	5.208	2.381	1.39330844077252e-37	1.08478148908319e-34	0.0217	0.0249
FBtr0347567	196	93	160	3728	1160	1341	115	157	252	2191	1799	1860	1062.35	175	1950	11.537	3.528	6.70665587511926e-37	4.80384347023042e-34	0.0427	0.0292
FBtr0342814	677	213	248	2927	1631	1739	397	360	391	1720	2529	2412	1301.48	383	2220	5.697	2.51	5.50283162888742e-34	3.64960022142544e-31	0.026	0.0275
