Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
FBgn0000008	195	75	64	174	85	69	112	132	103	102	135	96	113.05	116	111	0.955	-0.066	0.796759140145386	0.955132778057944	0.0362	0.0495
FBgn0000014	8	2	5	21	3	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000015	12	4	4	11	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000017	285369	68062	49594	276128	36619	38709	163452	119518	79727	161450	57956	53728	105972.06	120899	91045	0.753	-0.409	0.29862220802501	0.722897011191641	0.1113	0.0399
FBgn0000018	792	241	294	798	285	305	454	423	473	467	451	423	448.41	450	447	0.994	-0.008	0.960903413902546	0.993184929249832	0.017	0.0214
FBgn0000022	2	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000024	14	4	3	20	9	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000028	25	7	4	41	8	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000032	1919	611	641	1983	674	759	1099	1073	1030	1159	1067	1053	1080.37	1067	1093	1.025	0.035	0.801878040152694	0.957282546505485	0.0129	0.0166
FBgn0000036	29	4	11	24	5	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000037	40	11	8	42	16	24	23	19	13	25	25	33	23.05	18	28	1.424	0.51	0.166762816890088	0.571101721975994	0.0495	0.0623
FBgn0000038	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000039	1	0	0	0	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000042	137948	46027	50826	155693	73446	83437	79013	80824	81708	91033	116242	115810	94105.02	80515	107695	1.338	0.42	0.0623345967287099	0.341072956883842	0.0364	0.0394
FBgn0000043	44136	16052	17308	65571	29782	34401	25280	28188	27824	38339	47136	47748	35752.48	27097	44408	1.639	0.713	0.000793252733012799	0.0138137131978152	0.0322	0.0354
FBgn0000044	93	17	15	103	25	18	53	30	24	60	40	25	38.67	36	42	1.147	0.197	0.627022481009495	0.903838029743388	0.0924	0.0621
FBgn0000045	51	5	21	62	30	24	29	9	34	36	47	33	31.47	24	39	1.559	0.64	0.101236751998355	0.454324578964724	0.0727	0.0626
FBgn0000046	80	11	14	129	26	18	46	19	23	75	41	25	38.2	29	47	1.58	0.66	0.139833197028913	0.532209690037656	0.1163	0.0621
FBgn0000047	51	8	3	67	20	9	29	14	5	39	32	12	21.9	16	28	1.626	0.702	0.172093888752268	0.579201508225728	0.1433	0.0624
FBgn0000052	3951	1630	1858	3734	1775	1921	2263	2862	2987	2183	2809	2666	2628.52	2704	2553	0.944	-0.083	0.624082796241048	0.902435196843183	0.02	0.0209
FBgn0000053	3162	1292	1471	3922	1888	2087	1811	2269	2365	2293	2988	2897	2437.12	2148	2726	1.269	0.344	0.0428813677107661	0.269305496143724	0.0202	0.0203
FBgn0000055	7	0	5	6	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000056	8	1	2	8	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000057	1213	442	514	1136	531	588	695	776	826	664	840	816	769.67	766	773	1.009	0.014	0.931744328100791	0.988485097168759	0.0165	0.0173
FBgn0000061	2	1	3	5	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000063	766	213	234	795	306	334	439	374	376	465	484	464	433.61	396	471	1.182	0.241	0.156213521650997	0.555962492068635	0.018	0.0218
FBgn0000064	14102	5007	5231	15720	6619	7916	8077	8792	8409	9191	10476	10987	9322.26	8426	10218	1.213	0.278	0.132085052192102	0.516235442626699	0.0244	0.0299
FBgn0000071	204	72	84	1130	477	585	117	126	135	661	755	812	434.32	126	743	5.917	2.565	8.82376455726699e-41	8.04139076652265e-38	0.0195	0.0218
FBgn0000075	5	2	2	4	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000077	407	125	167	398	153	191	233	220	268	233	242	265	243.51	240	247	1.025	0.036	0.853831420866744	0.968949783972027	0.0219	0.0315
FBgn0000078	161	32	78	58	33	24	92	56	125	34	52	33	65.54	91	40	0.429	-1.221	0.000541367649587268	0.0100232448350221	0.0676	0.0589
FBgn0000079	763	395	389	263	150	217	437	694	625	154	237	301	408.06	585	231	0.392	-1.35	5.04946082014659e-08	2.79835659775962e-06	0.0392	0.0227
FBgn0000083	10582	3789	4560	10152	4554	5260	6061	6654	7331	5936	7208	7301	6748.26	6682	6815	1.02	0.028	0.876466072543662	0.975648168224101	0.0238	0.0281
FBgn0000084	4215	1961	2274	3754	2039	2293	2414	3444	3656	2195	3227	3183	3019.7	3171	2868	0.905	-0.145	0.470162994799047	0.848849453532672	0.0285	0.0221
FBgn0000092	15	8	8	32	13	13	9	14	13	19	21	18	15.47	12	19	1.722	0.784	0.0559846608427724	0.318638224820409	0.0442	0.0612
FBgn0000094	41	27	11	72	15	19	23	47	18	42	24	26	30.13	29	31	1.105	0.145	0.722992331230746	0.935974416435538	0.0821	0.0626
FBgn0000097	6683	2246	2000	6364	2250	2428	3828	3944	3215	3721	3561	3370	3606.53	3662	3551	0.97	-0.045	0.780619637076574	0.952207356231716	0.0182	0.0236
FBgn0000100	48534	17544	21463	40254	19026	20780	27799	30808	34504	23536	30112	28842	29266.92	31037	27497	0.886	-0.175	0.41401933775707	0.81839642780024	0.0329	0.0346
FBgn0000108	131	47	37	110	45	49	75	83	59	64	71	68	70.1	72	68	0.932	-0.102	0.714159650128616	0.930347085250271	0.0394	0.058
FBgn0000109	231	69	105	320	64	85	132	121	169	187	101	118	138.11	141	135	0.98	-0.03	0.915078153335985	0.983922656910142	0.047	0.0444
FBgn0000114	37	7	8	36	3	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000115	1125	332	396	1063	427	534	644	583	637	622	676	741	650.42	621	680	1.09	0.124	0.428898860678459	0.826170284365356	0.0159	0.0181
FBgn0000116	719	302	276	1377	890	877	412	530	444	805	1409	1217	802.8	462	1144	2.476	1.308	1.2320070600618e-10	1.08655074264805e-08	0.027	0.0171
FBgn0000117	19600	6998	7650	19568	9042	10206	11226	12289	12298	11441	14311	14166	12621.83	11938	13306	1.115	0.156	0.423638922429573	0.822605691706287	0.0274	0.0313
FBgn0000119	1130	437	490	1157	443	505	647	767	788	676	701	701	713.48	734	693	0.947	-0.079	0.604300893965369	0.896565734445063	0.0151	0.0176
FBgn0000120	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000121	21	6	5	23	8	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000137	0	1	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000139	1526	416	554	1059	386	469	874	731	891	619	611	651	729.37	832	627	0.752	-0.41	0.00707378103895792	0.0753495481578349	0.015	0.0175
FBgn0000140	1850	575	557	1928	742	702	1060	1010	895	1127	1174	974	1040.13	988	1092	1.104	0.142	0.341594242295848	0.766554302410545	0.0149	0.0166
FBgn0000146	2607	828	983	3839	1342	1477	1493	1454	1580	2245	2124	2050	1824.36	1509	2140	1.419	0.504	0.000158335445971795	0.0037533737799441	0.0121	0.0183
FBgn0000147	553	204	274	841	352	367	317	358	440	492	557	509	445.61	372	519	1.403	0.488	0.00728393356765053	0.0769339691397598	0.0209	0.0215
FBgn0000150	13815	5414	6744	16765	8106	8646	7913	9507	10842	9802	12829	12001	10482.31	9421	11544	1.225	0.293	0.153497394830466	0.55207774538325	0.0303	0.0304
FBgn0000152	769	308	344	900	388	470	440	541	553	526	614	652	554.5	511	597	1.171	0.227	0.175338838882888	0.583200788751545	0.018	0.0193
FBgn0000153	41	15	28	58	18	21	23	26	45	34	28	29	31.06	31	30	1.01	0.014	0.969448575064172	0.993508505689401	0.0568	0.0626
FBgn0000157	4	2	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000158	17	3	2	12	6	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000163	1970	806	675	1785	683	749	1128	1415	1085	1044	1081	1040	1132.18	1209	1055	0.873	-0.196	0.195617819204285	0.610524106968624	0.0154	0.0166
FBgn0000166	9	2	1	5	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000173	2875	884	1167	3508	1156	1320	1647	1552	1876	2051	1830	1832	1797.99	1692	1904	1.127	0.172	0.214600376114404	0.633376137060215	0.0132	0.0183
FBgn0000179	31	4	2	28	5	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000180	34	13	20	38	25	23	19	23	32	22	40	32	28.03	25	31	1.253	0.325	0.391593877537934	0.806402790275167	0.0593	0.0625
FBgn0000181	31481	8485	10339	24391	9151	10572	18032	14900	16621	14261	14483	14674	15495.1	16518	14473	0.876	-0.191	0.325734827394663	0.750489216807907	0.0271	0.0322
FBgn0000182	13	3	6	6	4	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000183	5206	1694	1854	5312	1919	2163	2982	2975	2980	3106	3037	3002	3013.73	2979	3048	1.023	0.033	0.817944550584601	0.958671220905244	0.0147	0.0221
FBgn0000206	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000212	6406	2138	2137	5770	2568	3024	3669	3754	3435	3374	4064	4197	3749.05	3619	3878	1.071	0.099	0.542801122390122	0.873390521110385	0.0187	0.0239
FBgn0000216	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000221	373	141	177	325	140	152	214	248	285	190	222	211	228.06	249	208	0.837	-0.257	0.211508276192244	0.630396109294774	0.0249	0.033
FBgn0000227	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000228	1670	551	557	1286	572	644	957	968	895	752	905	894	895.1	940	850	0.902	-0.149	0.316672862837582	0.742413483111106	0.0145	0.0168
FBgn0000229	1979	567	608	2125	556	587	1134	996	977	1242	880	815	1007.3	1036	979	0.947	-0.078	0.661280527111846	0.917327690836347	0.0216	0.0166
FBgn0000233	8	1	0	2	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000239	4797	1636	1763	5140	1838	1934	2748	2873	2834	3005	2909	2684	2842.22	2818	2866	1.018	0.025	0.863371125057503	0.971658832808662	0.0149	0.0216
FBgn0000241	20	5	6	17	11	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000244	1070	414	327	800	290	363	613	727	526	468	459	504	549.35	622	477	0.767	-0.382	0.0208327275314737	0.166539991435816	0.0174	0.0194
FBgn0000246	441	93	78	513	98	115	253	163	125	300	155	160	192.66	180	205	1.134	0.181	0.558617116285145	0.879757601338472	0.0636	0.0361
FBgn0000247	5402	2092	1951	4378	1998	2155	3094	3674	3136	2560	3162	2991	3102.88	3301	2904	0.88	-0.185	0.247142762527806	0.670769337608558	0.018	0.0223
FBgn0000250	5347	1513	1731	4333	1644	2007	3063	2657	2783	2533	2602	2786	2737.23	2834	2640	0.931	-0.103	0.492037467003621	0.858951620908713	0.0159	0.0213
FBgn0000251	6	4	1	10	2	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000253	25850	5761	6387	27409	7096	8424	14806	10116	10268	16026	11231	11692	12356.58	11730	12983	1.107	0.146	0.524035288609061	0.867393184251943	0.0379	0.0312
FBgn0000256	5316	1771	1683	3260	1323	1523	3045	3110	2706	1906	2094	2114	2495.71	2954	2038	0.69	-0.536	0.00035155888084702	0.00710218211996862	0.0156	0.0205
FBgn0000257	1281	519	578	1215	617	676	734	911	929	710	977	938	866.58	858	875	1.02	0.028	0.870556725099115	0.973569132591752	0.0197	0.0169
FBgn0000259	5825	1163	1316	5120	1304	1527	3336	2042	2116	2994	2064	2119	2445.2	2498	2392	0.957	-0.063	0.766644109429074	0.947686848545018	0.0322	0.0204
FBgn0000261	3595	1451	1423	2910	1277	1641	2059	2548	2288	1701	2021	2278	2149.16	2298	2000	0.87	-0.201	0.181529554517329	0.594373415629194	0.0157	0.0194
FBgn0000273	7437	1946	1726	6584	1781	1994	4260	3417	2775	3850	2819	2768	3314.62	3484	3146	0.903	-0.148	0.453511156322967	0.842364168459565	0.0276	0.0229
FBgn0000274	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000276	200	27	38	263	48	63	115	47	61	154	76	87	90.04	74	106	1.403	0.488	0.184310647613924	0.597536102432346	0.0854	0.0531
FBgn0000277	37	11	15	70	24	16	21	19	24	41	38	22	27.62	21	34	1.594	0.672	0.0652722743547936	0.351658683014035	0.054	0.0626
FBgn0000278	90	28	30	62	23	28	52	49	48	36	36	39	43.41	50	37	0.744	-0.427	0.151007859360032	0.548038257730523	0.0372	0.062
FBgn0000279	90	13	12	126	25	19	52	23	19	74	40	26	38.88	31	47	1.455	0.541	0.231370008301447	0.65350010898642	0.121	0.062
FBgn0000280	0	1	0	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000281	2	0	0	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000283	8289	2284	2337	6554	2496	2665	4748	4011	3757	3832	3950	3699	3999.49	4172	3827	0.917	-0.125	0.444727508015733	0.838543037721495	0.0191	0.0244
FBgn0000286	1208	392	349	744	291	343	692	688	561	435	461	476	552.16	647	457	0.704	-0.506	0.00159268575178581	0.0240574742838808	0.0162	0.0193
FBgn0000287	27	7	14	14	7	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000289	7057	2430	2484	5615	2498	2654	4042	4267	3993	3283	3954	3684	3870.47	4101	3640	0.887	-0.172	0.277859067133142	0.705642700061978	0.0179	0.0242
FBgn0000299	78942	30342	28668	108092	53221	52021	45216	53281	46087	63201	84232	72205	60703.6	48195	73213	1.519	0.603	0.00726589432459069	0.0769339691397598	0.0361	0.0376
FBgn0000303	15	2	2	12	1	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000307	4019	1218	1046	3629	1008	1187	2302	2139	1682	2122	1595	1648	1914.52	2041	1788	0.877	-0.19	0.245755608800329	0.669040145042042	0.0186	0.0186
FBgn0000308	44190	9530	11358	42929	11963	14396	25311	16735	18259	25100	18934	19982	20720.08	20102	21339	1.061	0.086	0.707362639999691	0.929156759750008	0.0378	0.0333
FBgn0000316	621	154	188	685	223	238	356	270	302	401	353	330	335.36	309	361	1.163	0.218	0.243779404892244	0.6676055689236	0.0216	0.0254
FBgn0000317	2808	924	928	2844	1016	1025	1608	1623	1492	1663	1608	1423	1569.39	1574	1565	0.994	-0.008	0.9507901723161	0.991655772296115	0.0122	0.0175
FBgn0000318	1985	544	770	2075	822	1059	1137	955	1238	1213	1301	1470	1219.03	1110	1328	1.194	0.256	0.0989806196835811	0.448034791746541	0.0163	0.0167
FBgn0000319	22839	9334	9768	25076	10954	11483	13082	16391	15703	14662	17337	15938	15518.7	15059	15979	1.061	0.086	0.668982287020885	0.91955634626199	0.0289	0.0322
FBgn0000320	9	2	1	7	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000326	544	175	169	565	213	223	312	307	272	330	337	310	311.26	297	326	1.095	0.13	0.460681237288838	0.846214173321064	0.0187	0.0267
FBgn0000330	485	207	231	510	224	268	278	363	371	298	355	372	339.56	337	342	1.015	0.022	0.910208094006766	0.983558762940109	0.0232	0.0253
FBgn0000337	35	22	21	44	19	19	20	39	34	26	30	26	29.1	31	27	0.929	-0.107	0.772674972421124	0.94821735880086	0.0555	0.0626
FBgn0000339	1269	321	412	1518	355	444	727	564	662	888	562	616	669.76	651	689	1.06	0.084	0.663774892107781	0.917781804630482	0.0253	0.0179
FBgn0000346	152	47	45	205	84	113	87	83	72	120	133	157	108.6	81	137	1.671	0.74	0.00355316646947685	0.0454650099573309	0.0346	0.0502
FBgn0000351	47	21	26	77	30	33	27	37	42	45	47	46	40.65	35	46	1.352	0.435	0.173929874595855	0.582393078001665	0.0436	0.0623
FBgn0000352	1590	599	543	1629	642	687	911	1052	873	952	1016	954	959.6	945	974	1.031	0.044	0.765809881892921	0.947472849589805	0.0147	0.0167
FBgn0000355	3	0	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000356	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000357	8	2	3	5	2	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000358	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000359	3	1	0	4	0	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000360	11	2	1	9	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000370	22392	6441	7758	22214	7208	8172	12826	11311	12472	12988	11408	11343	12057.82	12203	11913	0.976	-0.035	0.855779392574266	0.969223359545327	0.026	0.0311
FBgn0000376	2311	874	937	2253	1070	1084	1324	1535	1506	1317	1693	1505	1480.02	1455	1505	1.034	0.049	0.737574204956433	0.938563333656478	0.0142	0.0173
FBgn0000377	1600	610	626	1618	671	832	916	1071	1006	946	1062	1155	1026.13	998	1054	1.057	0.08	0.590177778364609	0.890698068279232	0.0145	0.0166
FBgn0000382	1767	609	562	1513	511	598	1012	1069	903	885	809	830	918.07	995	841	0.846	-0.241	0.103913427255343	0.456922702583583	0.0145	0.0167
FBgn0000384	2093	672	696	2891	752	777	1199	1180	1119	1690	1190	1078	1242.79	1166	1319	1.135	0.182	0.299088196012844	0.723207955099454	0.0212	0.0168
FBgn0000394	1205	443	503	1079	438	536	690	778	809	631	693	744	724.13	759	689	0.909	-0.138	0.369416932101933	0.789257014092226	0.0153	0.0175
