Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
FBgn0039155	2490	751	893	81	37	54	1426	1319	1436	47	59	75	726.91	1394	60	0.042	-4.574	1.38553259642265e-115	1.13641383558586e-111	0.0172	0.0175
FBgn0003360	14882	3935	4763	1492	576	640	8524	6910	7657	872	912	888	4293.88	7697	891	0.116	-3.112	1.32601155120532e-67	3.62531558099534e-64	0.0192	0.025
FBgn0039827	767	320	331	46	14	28	439	562	532	27	22	39	270.21	511	29	0.057	-4.125	1.43509827030521e-62	2.94266900326083e-59	0.0249	0.0296
FBgn0035085	1895	671	787	314	133	150	1085	1178	1265	184	210	208	688.53	1176	201	0.17	-2.557	4.43593467846474e-53	7.27670724655356e-50	0.0154	0.0178
FBgn0034736	712	282	257	51	25	28	408	495	413	30	40	39	237.4	439	36	0.08	-3.638	4.702068571201e-50	6.42772773683176e-47	0.0257	0.0322
FBgn0029896	1627	531	501	302	100	116	932	932	805	177	158	161	527.6	890	165	0.187	-2.421	9.36900958572302e-47	1.09778023745857e-43	0.0155	0.0198
FBgn0034897	2877	964	982	725	274	263	1648	1693	1579	424	434	365	1023.66	1640	408	0.249	-2.007	3.61559598377912e-41	3.70688978236954e-38	0.0135	0.0166
FBgn0029167	10401	3816	3822	2347	937	924	5957	6701	6144	1372	1483	1283	3823.4	6267	1379	0.22	-2.184	1.34827912760229e-39	1.10585854045939e-36	0.0178	0.0241
FBgn0038832	853	252	289	129	52	65	489	443	465	75	82	90	273.94	466	82	0.176	-2.508	7.43941778460698e-36	5.54710042448604e-33	0.02	0.0291
FBgn0036821	1441	498	457	382	112	147	825	874	735	223	177	204	506.53	811	201	0.251	-1.997	1.12536932319071e-31	7.69189932400853e-29	0.0166	0.0201
FBgn0264753	351	131	146	42	11	19	201	230	235	25	17	26	122.36	222	23	0.105	-3.245	3.37365063904407e-30	1.97647732438853e-27	0.0338	0.0479
FBgn0024288	202	73	73	7	6	4	116	128	117	4	9	6	63.4	120	6	0.049	-4.359	1.49087622087494e-28	8.15211117574416e-26	0.0461	0.0594
FBgn0085359	266	48	85	11	2	1	152	84	137	6	3	1	64.05	124	3	0.035	-4.817	2.37610526758644e-26	1.14640090616141e-23	0.0665	0.0589
FBgn0259715	2277	879	1073	492	294	283	1304	1544	1725	288	465	393	953.08	1524	382	0.249	-2.006	7.2166722415109e-25	3.11532345920381e-22	0.0237	0.0167
FBgn0037754	871	233	223	170	54	61	499	409	358	99	85	85	256.01	422	90	0.214	-2.224	8.98272404515643e-25	3.68381513091865e-22	0.0251	0.0303
FBgn0030041	288	93	117	41	10	15	165	163	188	24	16	21	96.16	172	20	0.123	-3.029	2.02639977733495e-24	7.91453855890537e-22	0.0367	0.053
FBgn0000406	787	261	385	167	60	97	451	458	619	98	95	135	309.21	509	109	0.214	-2.227	5.94277584391013e-24	2.11924554225004e-21	0.027	0.0269
FBgn0023479	9584	3082	2984	3053	1145	1175	5489	5412	4797	1785	1812	1631	3487.79	5233	1743	0.333	-1.586	2.74798918181497e-23	8.66884894971016e-21	0.0171	0.0233
FBgn0040091	2714	899	1211	1002	388	416	1555	1579	1947	586	614	577	1142.89	1694	592	0.35	-1.514	6.30223703949422e-23	1.84610529278327e-20	0.0151	0.0166
FBgn0040099	3002	785	942	952	221	268	1719	1378	1514	557	350	372	981.78	1537	426	0.279	-1.841	2.54784176914902e-21	7.20599937605525e-19	0.0241	0.0166
FBgn0026562	102439	47109	59862	18039	10108	12172	58674	82725	96234	10547	15998	16895	46845.44	79211	14480	0.183	-2.452	7.69042163028641e-19	2.1025612737203e-16	0.0495	0.0365
FBgn0034010	1604	488	610	634	205	226	919	857	981	371	324	314	627.52	919	336	0.368	-1.443	9.1605443611259e-19	2.42370273709531e-16	0.0163	0.0184
FBgn0052407	574	170	189	152	38	49	329	299	304	89	60	68	191.36	311	72	0.238	-2.069	1.27486512881292e-18	3.26763868328861e-16	0.0295	0.0368
FBgn0016715	489	144	169	85	42	50	280	253	272	50	66	69	165.03	268	62	0.226	-2.148	1.90861798218542e-18	4.60426020290729e-16	0.0306	0.0405
FBgn0039419	4979	1572	1589	2245	743	850	2852	2760	2554	1313	1176	1180	1972.53	2722	1223	0.45	-1.153	2.19522661986691e-17	4.86628344220226e-15	0.0123	0.0188
FBgn0036985	6756	1661	1732	1965	769	825	3870	2917	2784	1149	1217	1145	2180.31	3190	1170	0.366	-1.449	2.27960609957428e-17	4.92034979702848e-15	0.0196	0.0195
FBgn0024315	247	89	94	48	15	23	141	156	151	28	24	32	88.77	149	28	0.189	-2.407	3.21493325982981e-17	6.76125194798055e-15	0.0357	0.0546
FBgn0023549	632	217	238	177	79	91	362	381	383	103	125	126	246.75	375	118	0.312	-1.678	4.6098030118342e-17	9.45240107576602e-15	0.0216	0.0313
FBgn0040827	723	189	192	192	44	57	414	332	309	112	70	79	219.28	352	87	0.252	-1.987	2.88078293149086e-16	5.7629711229483e-14	0.0334	0.0336
FBgn0265512	252	80	81	53	16	17	144	140	130	31	25	24	82.49	138	27	0.198	-2.339	7.49647139339851e-16	1.39741041746942e-13	0.0374	0.0556
FBgn0261584	482	140	152	133	42	39	276	246	244	78	66	54	160.77	255	66	0.263	-1.929	1.36661172392873e-15	2.49087763548076e-13	0.0307	0.041
FBgn0001137	1154	377	462	492	158	207	661	662	743	288	250	287	481.79	689	275	0.401	-1.318	1.68526099935857e-15	3.0048936340737e-13	0.0164	0.0207
FBgn0063649	1712	598	525	717	247	279	981	1050	844	419	391	387	678.68	958	399	0.417	-1.261	1.8517346652099e-15	3.23147398384076e-13	0.0157	0.0179
FBgn0039109	1226	413	417	505	169	218	702	725	670	295	267	303	493.86	699	288	0.413	-1.274	2.2144959301641e-15	3.7840199206679e-13	0.0154	0.0204
FBgn0034389	390	127	103	88	25	37	223	223	166	51	40	51	125.73	204	47	0.235	-2.089	5.146938994153e-15	8.61534563878427e-13	0.0362	0.0469
FBgn0027279	8234	2595	2639	3505	1242	1379	4716	4557	4242	2049	1966	1914	3240.77	4505	1976	0.439	-1.189	7.50758247840941e-15	1.23154382975828e-12	0.016	0.0227
FBgn0031703	273	93	106	73	25	28	156	163	170	43	40	39	101.87	163	41	0.25	-1.999	2.35097368932663e-14	3.70820888458789e-12	0.0322	0.0518
FBgn0261552	22518	5916	5184	6734	1604	1703	12898	10389	8334	3937	2539	2364	6743.31	10540	2947	0.28	-1.838	2.92899772209609e-14	4.53276213521361e-12	0.0394	0.0281
FBgn0036576	5973	1958	1716	2212	873	1067	3421	3438	2759	1293	1382	1481	2295.69	3206	1385	0.432	-1.212	5.00233636649622e-14	7.41694799780988e-12	0.0176	0.0199
FBgn0037646	161	32	47	15	5	10	92	56	76	9	8	14	42.42	75	10	0.133	-2.915	5.06399765761221e-14	7.41694799780988e-12	0.0554	0.062
FBgn0283658	3020	1219	1308	1361	599	719	1730	2141	2103	796	948	998	1452.48	1991	914	0.459	-1.125	7.85705450004773e-14	1.11109587947227e-11	0.015	0.0172
FBgn0053307	3608	742	989	1277	301	374	2067	1303	1590	747	476	519	1116.93	1653	581	0.352	-1.505	3.04736195695151e-13	3.90538480795567e-11	0.0283	0.0166
FBgn0261015	5147	1605	1511	2335	885	1008	2948	2818	2429	1365	1401	1399	2060.1	2732	1388	0.508	-0.978	8.81186659538441e-13	1.03249899736204e-10	0.0126	0.0191
FBgn0031322	1036	346	438	303	137	215	593	608	704	177	217	298	432.92	635	231	0.361	-1.471	9.07874396337195e-13	1.04878673221939e-10	0.0261	0.0219
FBgn0035542	1785	591	516	762	258	330	1022	1038	830	446	408	458	700.27	963	437	0.454	-1.139	1.05356485409752e-12	1.20018596295942e-10	0.0161	0.0177
FBgn0050147	2422	792	900	1190	449	546	1387	1391	1447	696	711	758	1064.85	1408	722	0.512	-0.966	7.66371650849811e-12	8.49429767604074e-10	0.0129	0.0166
FBgn0032004	2019	725	867	1117	359	459	1156	1273	1394	653	568	637	946.95	1274	619	0.488	-1.036	1.26294994421287e-11	1.36298887400447e-09	0.0151	0.0167
FBgn0039640	226	73	82	64	24	22	129	128	132	37	38	31	82.57	130	35	0.274	-1.866	1.75952549857905e-11	1.80395351741817e-09	0.0355	0.0557
FBgn0051337	2497	732	1014	1106	410	574	1430	1285	1630	647	649	797	1073	1448	698	0.481	-1.056	2.19912593942821e-11	2.19966231160856e-09	0.0164	0.0166
FBgn0026376	4377	1257	1096	2000	589	687	2507	2207	1762	1169	932	954	1588.57	2159	1018	0.472	-1.082	2.48392714250225e-11	2.4545988461209e-09	0.0177	0.0176
FBgn0039257	1641	475	476	694	247	309	940	834	765	406	391	429	627.47	846	409	0.482	-1.054	7.62804748509219e-11	7.27502854334025e-09	0.0165	0.0184
FBgn0033913	13209	4465	4508	5371	2328	2614	7566	7841	7247	3140	3684	3628	5517.76	7551	3484	0.461	-1.116	8.33272349341644e-11	7.76647705602292e-09	0.0205	0.0268
FBgn0063498	812	271	263	377	100	136	465	476	423	220	158	189	321.87	455	189	0.42	-1.25	8.33157959908628e-11	7.76647705602292e-09	0.022	0.0261
FBgn0263873	2187	778	701	1071	429	393	1253	1366	1127	626	679	545	932.74	1249	617	0.494	-1.017	8.53904666798309e-11	7.86935514278621e-09	0.016	0.0167
FBgn0002868	393	73	91	86	21	27	225	128	146	50	33	37	103.43	166	40	0.245	-2.026	9.62695116742547e-11	8.77336149724708e-09	0.0526	0.0508
FBgn0038237	134	37	24	20	5	6	77	65	39	12	8	8	34.71	60	9	0.161	-2.631	1.02018110900009e-10	9.19508291870188e-09	0.0642	0.0625
FBgn0262057	1981	566	664	1005	319	394	1135	994	1067	588	505	547	805.9	1065	547	0.514	-0.961	1.22472207059069e-10	1.08655074264805e-08	0.0142	0.0171
FBgn0033782	485	155	181	145	59	90	278	272	291	85	93	125	190.67	280	101	0.357	-1.486	1.28281874068765e-10	1.11932758628937e-08	0.0298	0.0371
FBgn0040388	3504	1183	1095	1864	680	744	2007	2077	1760	1090	1076	1033	1507.24	1948	1066	0.547	-0.869	1.36775582747795e-10	1.18087718915517e-08	0.0122	0.0174
FBgn0027596	1934	744	699	981	423	422	1108	1306	1124	574	669	586	894.46	1179	610	0.517	-0.953	3.53871484125492e-10	2.84554305176204e-08	0.0149	0.0168
FBgn0261560	5324	1278	1600	2285	834	1054	3049	2244	2572	1336	1320	1463	1997.46	2622	1373	0.523	-0.936	3.60431811641558e-10	2.87015700881947e-08	0.0151	0.0189
FBgn0037239	1886	603	712	976	385	421	1080	1059	1145	571	609	584	841.35	1095	588	0.537	-0.897	5.44225448969741e-10	4.21107276646209e-08	0.0133	0.0169
FBgn0000567	676	262	232	338	108	108	387	460	373	198	171	150	289.78	407	173	0.43	-1.219	5.59979665832629e-10	4.29247964407404e-08	0.0227	0.028
FBgn0031359	1680	569	572	879	330	369	962	999	920	514	522	512	738.23	960	516	0.537	-0.896	6.90029181436699e-10	5.24038828346649e-08	0.0133	0.0174
FBgn0036684	2599	852	820	1349	498	556	1489	1496	1318	789	788	772	1108.61	1434	783	0.546	-0.874	7.46980688244173e-10	5.62085835319147e-08	0.0132	0.0166
FBgn0031449	2310	789	824	1188	463	558	1323	1386	1325	695	733	774	1039.2	1345	734	0.545	-0.875	7.66488847439481e-10	5.71521956972602e-08	0.0131	0.0166
FBgn0029801	4096	1221	1193	1958	735	900	2346	2144	1918	1145	1163	1249	1660.89	2136	1186	0.554	-0.851	7.82320282103831e-10	5.78071257100506e-08	0.0129	0.0178
FBgn0036896	1771	557	527	908	295	346	1014	978	847	531	467	480	719.62	946	493	0.521	-0.94	1.24473166338064e-09	9.03476911774162e-08	0.0152	0.0176
FBgn0037223	89	22	22	12	4	7	51	39	35	7	6	10	24.67	42	8	0.18	-2.477	1.28323129512837e-09	9.23251147600252e-08	0.0513	0.0625
FBgn0043364	4460	906	977	1689	412	514	2555	1591	1571	988	652	713	1344.87	1906	784	0.412	-1.279	1.64995454176537e-09	1.16663165099651e-07	0.0305	0.017
FBgn0033426	977	287	355	464	157	212	560	504	571	271	248	294	408.05	545	271	0.498	-1.006	1.80896350508676e-09	1.26812980074543e-07	0.0167	0.0226
FBgn0035344	213	78	74	59	30	27	122	137	119	34	47	37	82.9	126	39	0.311	-1.683	2.29279624872885e-09	1.56712623600617e-07	0.0377	0.0558
FBgn0022160	3028	1336	1372	1347	718	827	1734	2346	2206	788	1136	1148	1559.64	2095	1024	0.488	-1.035	3.63946434939259e-09	2.46701542096843e-07	0.0209	0.0175
FBgn0015371	1012	349	295	487	180	180	580	613	474	285	285	250	414.37	556	273	0.492	-1.023	4.59516484386803e-09	3.03947919753271e-07	0.0185	0.0224
FBgn0034638	3781	1358	1668	2114	822	1068	2166	2385	2681	1236	1301	1482	1875.2	2411	1340	0.556	-0.847	5.20854544128592e-09	3.41763917675417e-07	0.0143	0.0185
FBgn0036373	10187	3949	3662	3750	2046	2277	5835	6935	5887	2193	3238	3160	4541.28	6219	2864	0.46	-1.12	7.02361034610151e-09	4.46570946191664e-07	0.026	0.0254
FBgn0051038	1618	693	636	799	383	404	927	1217	1022	467	606	561	800.03	1055	545	0.515	-0.957	9.8883790047097e-09	6.09808154861872e-07	0.0181	0.0171
FBgn0028939	50	21	34	11	3	6	29	37	55	6	5	8	23.28	40	6	0.171	-2.552	1.08235114598625e-08	6.62495828311885e-07	0.0629	0.0622
FBgn0052521	7543	2803	2702	3964	1629	1766	4320	4922	4344	2318	2578	2451	3488.9	4529	2449	0.541	-0.887	1.50147554723133e-08	9.12229810251214e-07	0.0171	0.0233
FBgn0031805	7503	2761	2970	3408	1613	1908	4298	4848	4775	1993	2553	2648	3519.05	4640	2398	0.516	-0.953	1.69061716009787e-08	1.01959131964138e-06	0.0198	0.0234
FBgn0053516	1880	602	552	963	361	405	1077	1057	887	563	571	562	786.31	1007	565	0.561	-0.835	2.65465480287715e-08	1.57778831110133e-06	0.0144	0.0172
FBgn0004369	2167	777	733	1266	437	508	1241	1364	1178	740	692	705	986.83	1261	712	0.566	-0.822	2.89540633353902e-08	1.69629448197764e-06	0.0143	0.0166
FBgn0039809	1476	453	568	874	241	319	845	795	913	511	381	443	648.2	851	445	0.526	-0.928	2.89433681685531e-08	1.69629448197764e-06	0.0179	0.0181
FBgn0004893	1127	425	410	633	233	281	646	746	659	370	369	390	529.97	684	376	0.551	-0.859	3.10291733719003e-08	1.7922625351854e-06	0.0147	0.0197
FBgn0261596	46352	12878	17184	18532	7650	8921	26549	22614	27625	10836	12108	12382	18685.61	25596	11775	0.46	-1.12	3.08507960026926e-08	1.7922625351854e-06	0.0287	0.0329
FBgn0037683	3255	1078	1581	1857	686	919	1864	1893	2542	1086	1086	1276	1624.34	2100	1149	0.547	-0.869	3.3430212689439e-08	1.91744478656488e-06	0.0168	0.0177
FBgn0085376	886	328	294	497	163	186	507	576	473	291	258	258	393.8	519	269	0.521	-0.94	4.61712944136799e-08	2.59381477247262e-06	0.0178	0.0231
FBgn0030237	5807	1538	2033	3170	915	1224	3326	2701	3268	1853	1448	1699	2382.61	3098	1667	0.538	-0.893	4.95777440506978e-08	2.76623575988996e-06	0.0185	0.0202
FBgn0000079	763	395	389	263	150	217	437	694	625	154	237	301	408.06	585	231	0.392	-1.35	5.04946082014659e-08	2.79835659775962e-06	0.0392	0.0227
FBgn0034636	60	22	17	15	1	5	34	39	27	9	2	7	19.6	33	6	0.199	-2.332	6.57309518704517e-08	3.50081342364575e-06	0.0554	0.0619
