Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
FBgn0013687	1	0	0	7	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0005088	10274	3376	3547	10798	3489	3754	6020	5699	5596	6347	5410	5207	5713.17	5772	5655	0.98	-0.03	0.921215983049507	0.999843063305165	0.0642	0.0886
FBtr0006151	3	0	1	3	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070000	6	3	4	6	3	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070002	11	1	1	7	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070003	56	14	13	62	30	35	33	24	21	36	47	49	34.74	26	44	1.656	0.728	0.125871547076348	0.835624862211136	0.1278	0.1738
FBtr0070006	184	157	108	171	116	121	108	265	170	101	180	168	165.24	181	150	0.826	-0.276	0.549471145334152	0.999843063305165	0.1445	0.1522
FBtr0070007	1120	352	402	1054	412	435	656	594	634	620	639	603	624.41	628	621	0.987	-0.018	0.953324614614544	0.999843063305165	0.0691	0.0979
FBtr0070008	379	130	151	434	174	211	222	219	238	255	270	293	249.55	226	273	1.202	0.266	0.473392468368481	0.999843063305165	0.0939	0.1338
FBtr0070025	1807	1107	1134	1643	1150	1068	1059	1869	1789	966	1783	1481	1491.15	1572	1410	0.897	-0.157	0.6531943987967	0.999843063305165	0.0871	0.0856
FBtr0070026	673	271	304	681	350	382	394	457	480	400	543	530	467.38	444	491	1.106	0.145	0.672087822534401	0.999843063305165	0.0819	0.1072
FBtr0070027	640	239	263	817	325	295	375	403	415	480	504	409	431.12	398	464	1.168	0.224	0.515525534701021	0.999843063305165	0.0829	0.1102
FBtr0070028	124	27	40	226	22	26	73	46	63	133	34	36	64.06	61	68	1.133	0.181	0.749496418805024	0.999843063305165	0.2148	0.1774
FBtr0070029	4	3	2	3	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070032	8	5	2	8	6	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070034	1	1	0	2	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070035	0	1	0	4	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070036	2163	839	1079	2259	1056	1290	1267	1416	1702	1328	1637	1789	1523.42	1462	1585	1.084	0.116	0.705049691922633	0.999843063305165	0.0672	0.0855
FBtr0070038	3378	967	923	4638	980	927	1979	1632	1456	2726	1520	1286	1766.58	1689	1844	1.092	0.127	0.714244337297785	0.999843063305165	0.0859	0.085
FBtr0070040	13	28	9	49	23	33	8	47	14	29	36	46	29.89	23	37	1.652	0.724	0.24479099849779	0.999843063305165	0.2308	0.1703
FBtr0070041	1669	296	385	1545	323	374	978	500	607	908	501	519	668.8	695	643	0.924	-0.113	0.764872971972578	0.999843063305165	0.1021	0.0961
FBtr0070042	691	112	20	427	43	161	405	189	32	251	67	223	194.41	209	180	0.863	-0.213	0.752225711842005	0.999843063305165	0.322	0.1447
FBtr0070043	76	16	25	38	23	15	45	27	39	22	36	21	31.63	37	26	0.693	-0.529	0.276177601401067	0.999843063305165	0.1329	0.1721
FBtr0070044	667	284	382	1324	364	269	391	479	603	778	564	373	531.45	491	572	1.168	0.224	0.552133207532468	0.999843063305165	0.1003	0.1028
FBtr0070045	165	43	65	518	66	67	97	73	103	304	102	93	128.59	91	166	1.848	0.886	0.0916026267444543	0.73955285712937	0.1869	0.1612
FBtr0070046	458	111	119	681	94	110	268	187	188	400	146	153	223.68	214	233	1.089	0.123	0.792340564201616	0.999843063305165	0.1527	0.1386
FBtr0070050	5	2	2	3	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070052	1465	348	551	1408	499	764	858	587	869	828	774	1060	829.37	771	887	1.148	0.199	0.540980318927726	0.999843063305165	0.0752	0.0916
FBtr0070053	10	4	4	6	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070054	5	3	2	2	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070055	671	263	415	971	343	564	393	444	655	571	532	782	562.79	497	628	1.265	0.339	0.34069873117854	0.999843063305165	0.0887	0.101
FBtr0070056	5	1	1	4	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070057	6	1	2	6	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070058	8652	2961	3041	6300	3070	3579	5070	4998	4798	3703	4760	4964	4715.57	4955	4476	0.903	-0.147	0.622947719006532	0.999843063305165	0.0643	0.0874
FBtr0070059	383	83	116	137	112	99	224	140	183	81	174	137	156.51	182	131	0.708	-0.498	0.266653179493888	0.999843063305165	0.1361	0.1542
FBtr0070060	265	89	101	353	139	186	155	150	159	207	216	258	190.98	155	227	1.463	0.549	0.156937343576596	0.90898296114388	0.1013	0.1458
FBtr0070061	401	123	173	365	114	152	235	208	273	215	177	211	219.61	239	201	0.843	-0.247	0.521290782753395	0.999843063305165	0.1015	0.1396
FBtr0070062	193	199	428	496	182	235	113	336	675	292	282	326	337.33	375	300	0.803	-0.317	0.536512242167269	0.999843063305165	0.1852	0.1204
FBtr0070063	1131	358	341	978	321	371	663	604	538	575	498	515	565.37	602	529	0.879	-0.186	0.570866255060639	0.999843063305165	0.0752	0.1008
FBtr0070064	570	120	151	606	159	199	334	203	238	356	247	276	275.59	258	293	1.132	0.179	0.646372124308707	0.999843063305165	0.1058	0.1292
FBtr0070065	51	34	37	79	64	39	30	57	58	46	99	54	57.57	48	66	1.379	0.464	0.359215984091931	0.999843063305165	0.1608	0.1781
FBtr0070066	2	0	0	2	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070067	2	0	0	2	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070068	2	0	0	2	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070069	0	0	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070070	149	57	51	291	77	90	87	96	80	171	119	125	113.21	88	138	1.579	0.659	0.131563467337073	0.851983158320473	0.1259	0.1657
FBtr0070071	489	111	171	702	202	229	287	187	270	413	313	318	297.86	248	348	1.402	0.487	0.200611777128341	0.982322967743289	0.1	0.1257
FBtr0070072	2	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070073	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070074	0	0	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070075	0	1	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070076	9	1	0	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070077	7	0	0	0	9	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070078	96	19	22	107	35	40	56	32	35	63	54	55	49.28	41	57	1.379	0.464	0.321849160432596	0.999843063305165	0.135	0.1779
FBtr0070079	141	57	56	161	73	68	83	96	88	95	113	94	94.89	89	101	1.131	0.178	0.68051156603762	0.999843063305165	0.1217	0.1709
FBtr0070080	2	3	0	2	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070081	33	20	21	48	25	20	19	34	33	28	39	28	30.16	29	32	1.117	0.16	0.742986375223761	0.999843063305165	0.1301	0.1707
FBtr0070084	47	36	32	103	40	38	28	61	50	61	62	53	52.34	46	59	1.288	0.365	0.448183631346245	0.999843063305165	0.1426	0.1781
FBtr0070085	523	118	122	550	203	232	306	199	192	323	315	322	276.33	232	320	1.369	0.453	0.237355208491208	0.999843063305165	0.1012	0.1291
FBtr0070086	29	13	16	22	17	12	17	22	25	13	26	17	20.02	21	19	0.861	-0.215	0.671960929418181	0.999843063305165	0.1256	0.1604
FBtr0070087	37	32	28	58	33	32	22	54	44	34	51	44	41.59	40	43	1.097	0.134	0.791813030480685	0.999843063305165	0.155	0.1763
FBtr0070088	322	104	99	304	141	198	189	176	156	179	219	275	198.73	174	224	1.286	0.363	0.357051869489121	0.999843063305165	0.1056	0.1441
FBtr0070089	44	42	48	139	83	18	26	71	76	82	129	25	67.96	58	79	1.381	0.465	0.439114551524137	0.999843063305165	0.2406	0.1771
FBtr0070090	107	16	22	49	33	25	63	27	35	29	51	35	39.84	42	38	0.89	-0.168	0.740657745476482	0.999843063305165	0.1591	0.176
FBtr0070091	235	77	60	246	114	117	138	130	95	145	177	162	141	121	161	1.328	0.41	0.333685147603482	0.999843063305165	0.1206	0.1582
FBtr0070092	3415	1108	1440	2412	1129	1315	2001	1870	2272	1418	1751	1824	1855.94	2048	1664	0.812	-0.3	0.313272475837795	0.999843063305165	0.063	0.085
FBtr0070093	122	54	81	147	87	42	71	91	128	86	135	58	95	97	93	0.965	-0.051	0.915237518687277	0.999843063305165	0.1546	0.171
FBtr0070094	683	236	248	695	259	287	400	398	391	409	402	398	399.68	396	403	1.015	0.022	0.949162089249875	0.999843063305165	0.083	0.1132
FBtr0070095	15	6	6	14	8	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070097	37	13	13	64	25	24	22	22	21	38	39	33	28.97	22	37	1.705	0.77	0.0957118600316873	0.752045755852314	0.1115	0.1702
FBtr0070098	832	317	256	665	292	444	488	535	404	391	453	616	481	476	487	1.022	0.031	0.929449773380158	0.999843063305165	0.0864	0.1062
FBtr0070099	0	0	0	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070100	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070101	1	1	0	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070102	1	1	0	2	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
