Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
FBtr0342811	14657	4679	4084	697	184	220	8589	7898	6444	410	285	305	3988.47	7644	333	0.044	-4.514	3.54331895927485e-36	3.17251063018674e-32	0.0688	0.0865
FBtr0084549	2490	751	893	81	37	54	1459	1268	1409	48	57	75	719.27	1379	60	0.043	-4.535	1.42663315381766e-31	6.3866799713532e-28	0.0762	0.0944
FBtr0300190	2405	797	746	111	24	47	1409	1345	1177	65	37	65	683.22	1310	56	0.043	-4.533	1.68148662371353e-30	6.02207619416763e-27	0.0793	0.0956
FBtr0073421	11202	3237	3837	126	32	151	6564	5464	6054	74	50	209	3069.23	6027	111	0.018	-5.767	1.85982185690272e-28	5.55063833192618e-25	0.1278	0.0855
FBtr0074337	2035	1505	1137	148	85	70	1192	2541	1794	87	132	97	973.8	1842	105	0.057	-4.135	2.10297953862493e-24	4.70725682476959e-21	0.0888	0.0892
FBtr0100457	3087	886	832	236	55	53	1809	1496	1313	139	85	74	819.12	1539	99	0.065	-3.937	7.99503159116062e-24	1.43167030702913e-20	0.0842	0.0918
FBtr0077645	5327	1953	2038	666	157	166	3121	3297	3216	391	243	230	1749.82	3211	288	0.09	-3.47	3.41051236267755e-23	5.55200407986063e-20	0.0715	0.0851
FBtr0085755	767	320	331	46	14	28	449	540	522	27	22	39	266.57	504	29	0.058	-4.106	7.21666194683929e-20	8.61525103213674e-17	0.1033	0.1309
FBtr0085156	1670	905	987	223	29	44	979	1528	1557	131	45	61	716.77	1355	79	0.06	-4.069	1.00553800007436e-18	1.12538556045822e-15	0.1159	0.0945
FBtr0078144	10951	3766	2397	1164	483	449	6417	6357	3782	684	749	623	3102	5519	685	0.124	-3.01	1.34808612950568e-18	1.42001048947402e-15	0.0717	0.0855
FBtr0070985	1416	399	365	105	37	37	830	674	576	62	57	51	374.93	693	57	0.082	-3.602	2.05659970079074e-18	2.01920908974278e-15	0.0934	0.1158
FBtr0113470	1730	560	550	123	76	61	1014	945	868	72	118	85	516.93	942	92	0.096	-3.374	2.14245673228976e-18	2.01920908974278e-15	0.0848	0.1037
FBtr0071835	712	282	257	51	25	28	417	476	405	30	39	39	234.39	433	36	0.082	-3.604	1.22614605028712e-16	1.04555225345197e-13	0.1013	0.1368
