Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
FBtr0112994	60	23	61	8888	4998	5277	35	39	96	5224	7750	7319	3410.52	57	6764	121.115	6.92	1.81256908786498e-45	3.24576746563982e-41	0.0994	0.0859
FBtr0337020	105	24	35	2749	1051	969	62	41	55	1616	1630	1344	791.11	53	1530	28.738	4.845	1.06671530055055e-35	6.36722362898624e-32	0.074	0.0925
FBtr0342806	149	80	82	2611	2444	2073	87	135	129	1535	3790	2875	1425.2	117	2733	23.448	4.551	4.86988731352221e-26	1.24578674461775e-22	0.0971	0.0858
FBtr0342810	333	94	91	4643	1452	1093	195	159	144	2729	2251	1516	1165.64	166	2165	13	3.7	4.33550799944283e-24	8.62621574955808e-21	0.0756	0.0872
FBtr0080263	221	50	45	1679	1225	1527	129	84	71	987	1899	2118	881.52	95	1668	17.325	4.115	7.12755880618664e-22	1.0636099628532e-18	0.0994	0.0906
FBtr0073426	549	268	262	4784	2222	2631	322	452	413	2812	3445	3649	1848.98	396	3302	8.359	3.063	1.68617858971382e-20	2.3226461543081e-17	0.0659	0.085
FBtr0347567	196	93	160	3728	1160	1341	115	157	252	2191	1799	1860	1062.35	175	1950	11.233	3.49	4.66304005198211e-20	5.96436130077455e-17	0.0834	0.0881
FBtr0087258	963	265	242	5327	2285	2110	564	447	382	3131	3543	2926	1832.35	464	3200	6.872	2.781	1.23671567464497e-17	1.10729337929338e-14	0.0657	0.085
FBtr0340240	529	102	102	5508	1146	1067	310	172	161	3238	1777	1480	1189.57	214	2165	10.033	3.327	1.76305957236962e-15	1.26284431049691e-12	0.1035	0.087
FBtr0305073	191	92	67	1608	583	696	112	155	106	945	904	965	531.23	124	938	7.569	2.92	2.72878578633018e-15	1.87939873368517e-12	0.0813	0.1028
FBtr0342814	677	213	248	2927	1631	1739	397	360	391	1720	2529	2412	1301.48	383	2220	5.797	2.535	5.03116509025124e-15	3.33678049152329e-12	0.0662	0.0863
FBtr0088136	74	21	49	1084	309	399	43	35	77	637	479	553	304.3	52	556	10.753	3.427	1.45959353174577e-14	8.16779417905357e-12	0.1106	0.1248
FBtr0089349	1500	393	451	6426	2612	2788	879	663	712	3777	4050	3867	2324.66	751	3898	5.181	2.373	4.74878624587149e-14	2.36212542513391e-11	0.0639	0.0849
FBtr0081619	132	39	60	945	391	516	77	66	95	555	606	716	352.54	79	626	7.881	2.978	1.08799719822025e-13	4.99558098167438e-11	0.094	0.1184
FBtr0301487	818	500	372	4779	3392	3781	479	844	587	2809	5260	5244	2537.15	637	4438	6.977	2.803	1.37539112519712e-13	6.15728221972621e-11	0.0895	0.0851
FBtr0081614	153	41	33	875	333	479	90	69	52	514	516	664	317.66	70	565	7.93	2.987	5.19668392547118e-13	2.16411672217238e-10	0.1002	0.1229
FBtr0346714	149	13	13	1173	453	513	87	22	21	689	702	712	372.19	43	701	15.51	3.955	5.16644456766755e-13	2.16411672217238e-10	0.1646	0.1161
FBtr0075699	733	89	205	3655	1245	1463	430	150	323	2148	1930	2029	1168.52	301	2036	6.725	2.749	1.8045447692674e-12	7.18088515183808e-10	0.0948	0.0871
FBtr0089581	538	391	334	4772	1933	1811	315	660	527	2805	2997	2512	1636.03	501	2771	5.552	2.473	2.14234682925914e-12	8.33978362424857e-10	0.079	0.0852
