Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0000008	191	75	64	173	85	69	96	117	91	88	119	84	99.4	101	97	0.953	-0.07	-0.3	0.763970475418793	0.901487155434785	0.0149	0.0332	0.0283	0.0283	TRUE	NA
FBgn0000014	9	2	2	36	3	1	5	3	3	18	4	1	5.72	4	8	1.833	0.874	0.867	0.38606891051873	NA	0.2986	0.5061	0.4386	0.4386	TRUE	NA
FBgn0000015	12	3	4	11	0	1	6	5	6	6	0	1	3.88	6	2	0.346	-1.532	-1.292	0.196437492636067	NA	0	0.7442	0.6168	0.6168	TRUE	NA
FBgn0000017	282104	67791	49300	274004	36348	38520	141901	106029	70261	139924	50884	47148	92691.12	106064	79319	0.672	-0.573	-2.175	0.0296428396200762	0.12815021618827	0.05	0.0043	0.0206	0.05	TRUE	NA
FBgn0000018	787	240	294	795	284	302	396	375	419	406	398	370	393.91	397	391	0.987	-0.018	-0.15	0.880867187577979	0.95251667173504	0	0.0116	0.008	0.008	TRUE	NA
FBgn0000022	2	0	0	0	0	0	1	0	0	0	0	0	0.17	0	0	0.379	-1.398	-0.345	0.729827836991394	NA	0	17.1178	10	10	TRUE	NA
FBgn0000024	14	4	3	21	8	6	7	6	4	11	11	7	7.81	6	10	1.654	0.726	0.986	0.323946421327228	0.609083953576985	0	0.3719	0.2442	0.2442	TRUE	NA
FBgn0000028	104	6	3	111	9	3	52	9	4	57	13	4	23.15	22	25	1.126	0.171	0.313	0.754278032138103	0.897311937166529	0.0803	0.1282	0.1233	0.1233	TRUE	NA
FBgn0000032	1918	611	638	1980	672	757	965	956	909	1011	941	927	951.35	943	960	1.019	0.027	0.303	0.762057645311511	0.900405321345714	0	0.0073	0.0045	0.0045	TRUE	NA
FBgn0000036	24	4	11	20	5	5	12	6	16	10	7	6	9.56	11	8	0.688	-0.54	-0.785	0.432698304890535	0.7010022717223	0	0.3046	0.2264	0.2264	TRUE	NA
