Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0025111	704	282	289	5109	2299	2684	354	441	412	2609	3218	3285	1719.94	402	3037	7.529	2.912	33.982	4.1340841998244e-253	1.86860605832063e-249	1e-04	0.006	0.0038	0.0038	TRUE	NA
FBgn0000071	204	72	83	1126	476	584	103	113	118	575	666	715	381.62	111	652	5.822	2.541	18.449	5.35048566464244e-76	4.39712640076069e-73	6e-04	0.0118	0.0082	0.0082	TRUE	NA
FBgn0001226	1490	469	653	4559	1688	2075	749	734	931	2328	2363	2540	1607.44	805	2410	3	1.585	15.371	2.56558465289679e-53	1.28849362567705e-50	0.0086	0.0061	0.0068	0.0068	TRUE	NA
FBgn0283437	7087	2313	2571	17565	7571	7041	3565	3618	3664	8970	10599	8618	6505.54	3616	9396	2.596	1.376	15.134	9.61959691737494e-52	4.57690295437207e-49	0.0085	0.0048	0.0057	0.0057	TRUE	NA
FBgn0262733	382	113	97	1501	472	478	192	177	138	767	661	585	419.91	169	671	3.974	1.991	14.589	3.32231991836251e-48	1.3651714573635e-45	0.0036	0.0111	0.0093	0.0093	TRUE	NA
FBgn0029002	2371	620	787	5527	1742	2098	1193	970	1122	2822	2439	2568	1852.16	1095	2610	2.383	1.253	14.539	6.87031881425832e-48	2.70033400351718e-45	0.0021	0.0059	0.0046	0.0046	TRUE	NA
FBgn0051363	11790	3222	3163	23004	6644	7885	5930	5039	4508	11747	9301	9651	7696.2	5159	10233	1.984	0.988	13.805	2.36639608208036e-43	7.37662778689876e-41	0.0019	0.0047	0.0035	0.0035	TRUE	NA
FBgn0035189	123	48	34	660	379	334	62	75	48	337	531	409	243.64	62	426	6.678	2.739	13.168	1.33716204664434e-39	3.77748278177026e-37	0.0387	0.0161	0.0215	0.0215	TRUE	NA
FBgn0003748	1515	447	493	3132	1135	1239	762	699	703	1599	1589	1517	1144.77	721	1568	2.17	1.118	12.976	1.67064295410146e-38	4.57654918335674e-36	0	0.0068	0.0042	0.0042	TRUE	NA
FBgn0011260	171	50	52	816	243	256	86	78	74	417	340	313	218.09	79	357	4.523	2.177	12.848	8.81550420536656e-38	2.27691880047182e-35	0.0015	0.0175	0.0124	0.0124	TRUE	NA
