Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0013687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0005088	10851	2734	2890	11405	2880	2829	5454	4203	4084	5745	3982	3438	4484.6	4580	4388	0.946	-0.079	-0.806	0.420250568508068	0.734941396152637	0.0056	0.0078	0.0067	0.0067	TRUE	NA
FBtr0006151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070000	0	0	4	0	0	4	0	0	6	0	0	5	1.75	2	2	0.902	-0.149	-0.038	0.969510227745502	NA	10	4.9113	10	10	TRUE	NA
FBtr0070002	19	1	1	12	1	0	10	2	1	6	1	0	3.32	4	2	0.544	-0.878	-0.611	0.541480625899585	NA	0	3.9486	0.8251	0.8251	TRUE	NA
FBtr0070003	60	17	15	65	31	37	30	26	21	33	43	45	33.01	26	40	1.518	0.603	1.293	0.195941091498535	0.50062802871101	0	0.7567	0.1229	0.1229	TRUE	NA
FBtr0070006	288	199	174	241	166	172	145	306	246	121	230	209	209.43	232	187	0.81	-0.304	-1.742	0.081443066508436	0.294135229033206	0.0041	0.0681	0.0169	0.0169	TRUE	NA
FBtr0070007	1118	352	401	1049	412	435	562	541	567	528	570	529	549.44	557	542	0.97	-0.043	-0.465	0.641851650104074	0.87482326986989	0	0.0228	0.0044	0.0044	TRUE	NA
FBtr0070008	373	130	150	431	174	210	187	200	212	217	241	255	218.71	200	238	1.186	0.246	1.737	0.0823543189030509	0.296364912526008	0	0.0643	0.0097	0.0097	TRUE	NA
FBtr0070025	1801	1084	1108	1628	1106	1055	905	1667	1566	820	1529	1282	1294.9	1379	1210	0.882	-0.182	-1.801	0.0717637808778285	0.27141369057346	0.005	0.0115	0.0065	0.0065	TRUE	NA
FBtr0070026	676	270	304	679	348	382	340	415	430	342	481	464	412.01	395	429	1.075	0.104	0.974	0.329899087530685	0.657038796076447	0	0.0305	0.0057	0.0057	TRUE	NA
FBtr0070027	671	264	284	851	344	313	337	406	401	429	476	380	404.88	381	428	1.131	0.178	1.158	0.24672575697466	0.566640301248812	0.0095	0.0311	0.0144	0.0144	TRUE	NA
FBtr0070028	121	22	38	221	14	19	61	34	54	111	19	23	50.35	50	51	0.777	-0.363	-0.572	0.567108944612096	0.838220169534423	0.2107	0.4744	0.2601	0.2601	TRUE	NA
FBtr0070029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070032	8	5	2	8	6	6	4	8	3	4	8	7	5.69	5	6	1.287	0.364	0.399	0.690076872085802	NA	0	3.016	0.4174	0.4174	TRUE	NA
FBtr0070034	0	1	0	0	0	2	0	2	0	0	0	2	0.66	1	1	1.377	0.461	0.117	0.90661389532731	NA	0	5.8083	9.509	9.509	TRUE	NA
FBtr0070035	0	1	0	4	0	1	0	2	0	2	0	1	0.79	1	1	2.836	1.504	0.559	0.575946403290975	NA	0	5.721	3.9066	3.9066	TRUE	NA
FBtr0070036	2157	837	1075	2246	1053	1285	1084	1287	1519	1131	1456	1562	1339.92	1297	1383	1.064	0.09	0.928	0.353582012946392	0.679928423849171	0.0041	0.0113	0.0059	0.0059	TRUE	NA
FBtr0070038	3389	970	929	4639	987	920	1703	1491	1313	2337	1365	1118	1554.58	1502	1607	1.027	0.039	0.212	0.832326403586872	0.949756106958795	0.0322	0.0104	0.0235	0.0235	TRUE	NA
FBtr0070040	14	30	11	50	25	33	7	46	16	25	35	40	28.1	23	33	1.729	0.79	1.066	0.286516650484104	0.613009042293708	0.2455	0.8927	0.355	0.355	TRUE	NA
FBtr0070041	1666	295	382	1541	322	374	837	454	540	776	445	455	584.48	610	559	0.914	-0.13	-1.185	0.235835678964051	0.552949518621403	0.0015	0.0215	0.0067	0.0067	TRUE	NA
FBtr0070042	692	104	30	415	56	200	348	160	42	209	77	243	179.95	183	176	1.148	0.199	0.281	0.779084830324029	0.93038662099994	0.493	0.0837	0.3567	0.3567	TRUE	NA
FBtr0070043	61	0	0	21	0	0	31	0	0	11	0	0	6.87	10	4	0.599	-0.74	-0.262	0.793175493408118	NA	10	2.7011	4.5593	4.5593	TRUE	NA
FBtr0070044	676	324	410	1350	381	263	340	498	579	680	527	320	490.65	472	509	1.071	0.1	0.271	0.786468339942893	0.933531974329236	0.1335	0.0255	0.0952	0.0952	TRUE	NA
FBtr0070045	165	42	65	520	69	70	83	65	92	262	95	85	113.63	80	147	1.636	0.71	1.585	0.112930678279843	0.362698304314281	0.124	0.1608	0.1325	0.1325	TRUE	NA
FBtr0070046	458	111	118	680	93	110	230	171	167	343	129	134	195.41	189	202	0.983	-0.025	-0.089	0.929343554561213	0.979376639890145	0.0466	0.0748	0.0517	0.0517	TRUE	NA
FBtr0070050	0	0	0	0	10	0	0	0	0	0	14	0	2.3	0	5	10.432	3.383	0.853	0.39355816445778	NA	10	4.5354	10	10	TRUE	NA
FBtr0070051	0	5	1	0	0	0	0	8	1	0	0	0	1.52	3	0	0.125	-3.002	-0.806	0.420116671899886	NA	10	5.0958	8.5395	8.5395	TRUE	NA
FBtr0070052	1816	499	776	1935	669	1053	913	767	1097	975	925	1280	992.71	926	1060	1.143	0.192	0.928	0.353561745871567	0.679928423849171	0.0377	0.0137	0.0299	0.0299	TRUE	NA
FBtr0070053	17	4	8	4	0	0	9	6	11	2	0	0	4.67	9	1	0.069	-3.847	-2.396	0.0165551893760209	NA	0	3.3578	1.1478	1.1478	TRUE	NA
FBtr0070054	0	5	1	0	0	0	0	8	1	0	0	0	1.52	3	0	0.125	-3.002	-0.806	0.420116671899886	NA	10	5.0958	8.5395	8.5395	TRUE	NA
FBtr0070055	330	116	199	448	179	288	166	178	281	226	248	350	241.45	208	275	1.321	0.401	1.466	0.142600142242038	0.419049852347876	0.047	0.0566	0.0495	0.0495	TRUE	NA
FBtr0070056	14	0	1	0	0	6	7	0	1	0	0	7	2.62	3	2	1.488	0.574	0.177	0.859405964438462	NA	8.9813	4.3371	7.0481	7.0481	TRUE	NA
FBtr0070057	4	0	0	11	1	4	2	0	0	6	1	5	2.3	1	4	6.185	2.629	1.508	0.131494686119726	NA	0	4.5388	1.4074	1.4074	TRUE	NA
FBtr0070058	8910	3233	3388	6555	3379	3792	4478	4970	4788	3302	4672	4609	4470.04	4745	4194	0.873	-0.196	-1.903	0.057083679623618	0.233065635500668	0.0073	0.0078	0.0074	0.0074	TRUE	NA
FBtr0070059	344	41	55	89	65	59	173	63	78	45	90	72	86.68	105	69	0.701	-0.513	-0.879	0.379654270389433	0.702212802407887	0.2309	0.2361	0.2321	0.2321	TRUE	NA
FBtr0070060	210	23	66	307	99	160	106	35	93	155	137	194	120.03	78	162	2.117	1.082	2.197	0.0280236618041686	0.142294621918458	0.1695	0.1487	0.1638	0.1638	TRUE	NA
FBtr0070061	366	86	133	329	73	117	184	132	188	166	101	142	152.17	168	136	0.808	-0.307	-1.103	0.270169433407541	0.594047039417581	0.0318	0.1059	0.0485	0.0485	TRUE	NA
FBtr0070062	60	65	211	349	0	118	30	100	298	176	0	143	124.58	143	106	0.803	-0.317	-0.196	0.844435104025098	0.953229770443979	3.072	0.1409	1.8664	1.8664	TRUE	NA
FBtr0070063	1164	378	347	998	345	398	585	581	490	503	477	484	520.02	552	488	0.883	-0.18	-1.594	0.110936775798717	0.358279151232208	0.0019	0.024	0.0071	0.0071	TRUE	NA
FBtr0070064	619	154	187	674	188	238	311	237	264	340	260	289	283.49	271	296	1.094	0.13	0.968	0.332998908380184	0.659907794634532	0	0.0465	0.0092	0.0092	TRUE	NA
FBtr0070065	0	0	0	6	35	0	0	0	0	3	48	0	8.57	0	17	65.405	6.031	1.662	0.0965132024019338	NA	10	2.3523	8.451	8.451	TRUE	NA
FBtr0070066	7	2	1	0	4	2	4	3	1	0	6	2	2.66	3	3	0.613	-0.706	-0.412	0.680167698585644	NA	1.0616	4.3145	1.7132	1.7132	TRUE	NA
FBtr0070067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070069	0	0	1	1	1	1	0	0	1	1	1	1	0.75	0	1	2.579	1.367	0.654	0.51294226479672	NA	0	5.7521	1.6403	1.6403	TRUE	NA
FBtr0070070	149	57	51	291	77	90	75	88	72	147	106	109	99.51	78	121	1.555	0.637	2.308	0.0209774870096244	0.115825454844767	0.0122	0.1944	0.0434	0.0434	TRUE	NA
FBtr0070071	489	111	171	701	202	229	246	171	242	353	279	278	261.48	220	303	1.382	0.466	2.472	0.0134213378855682	0.0842223340813254	0.0108	0.0513	0.0213	0.0213	TRUE	NA
FBtr0070072	2	0	0	0	0	0	1	0	0	0	0	0	0.17	0	0	0.378	-1.402	-0.346	0.728979899997168	NA	0	5.9355	10	10	TRUE	NA
FBtr0070073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070074	0	0	0	1	0	0	0	0	0	1	0	0	0.08	0	0	1.707	0.772	0.19	0.849600909649089	NA	0	7.068	10	10	TRUE	NA
FBtr0070075	0	1	0	1	0	0	0	2	0	1	0	0	0.34	1	0	0.895	-0.16	-0.042	0.966711194860382	NA	0	5.7012	8.6282	8.6282	TRUE	NA
FBtr0070076	17	0	0	6	0	0	9	0	0	3	0	0	1.93	3	1	0.622	-0.685	-0.201	0.840962523935147	NA	0	4.7845	7.1448	7.1448	TRUE	NA
FBtr0070077	6	0	0	0	10	7	3	0	0	0	14	9	4.23	1	8	13.829	3.79	1.279	0.20088570037472	NA	7.1009	3.5321	5.57	5.57	TRUE	NA
FBtr0070078	94	19	21	105	35	39	47	29	30	53	48	47	42.47	35	49	1.404	0.489	1.255	0.209594087170302	0.520463648674343	0	0.576	0.0828	0.0828	TRUE	NA
FBtr0070079	141	57	55	161	73	68	71	88	78	81	101	83	83.49	79	88	1.122	0.167	0.642	0.521023285321508	0.807195445841639	0	0.2487	0.0361	0.0361	TRUE	NA
FBtr0070080	3	5	0	2	5	2	2	8	0	1	7	2	3.26	3	3	1.004	0.006	0.004	0.996906913706485	NA	0.001	3.9814	1.4354	1.4354	TRUE	NA
FBtr0070081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070085	718	209	224	564	306	341	361	321	317	284	423	414	353.41	333	374	1.099	0.136	0.641	0.52168350562414	0.807926108439047	0.0275	0.0361	0.0296	0.0296	TRUE	NA
FBtr0070086	21	6	0	0	7	0	11	9	0	0	10	0	4.91	7	3	0.352	-1.507	-0.477	0.633212012391279	NA	9.8264	3.2705	6.9344	6.9344	TRUE	NA
FBtr0070087	4	0	0	0	4	0	2	0	0	0	6	0	1.26	1	2	3.676	1.878	0.481	0.630587373311367	NA	10	5.3172	10	10	TRUE	NA
FBtr0070088	322	103	99	305	137	196	162	158	140	154	189	238	173.57	153	194	1.239	0.309	1.238	0.215547628906032	0.528435371080368	0.026	0.088	0.0387	0.0387	TRUE	NA
FBtr0070089	0	63	97	184	103	0	0	97	137	93	142	0	78.18	78	78	1.818	0.863	0.373	0.709417100766825	0.903125001719252	6.964	0.2721	3.8486	3.8486	TRUE	NA
FBtr0070090	103	19	42	41	70	45	52	29	59	21	97	55	52.08	47	58	1.061	0.086	0.121	0.903734888608838	0.971753068885469	0.3119	0.4561	0.3409	0.3409	TRUE	NA
FBtr0070091	257	96	77	282	136	144	129	148	109	142	188	175	148.45	129	168	1.292	0.37	1.567	0.117120527867661	0.371423294443798	0.0132	0.1097	0.0329	0.0329	TRUE	NA
FBtr0070092	3416	1113	1447	2417	1136	1321	1717	1711	2045	1218	1571	1606	1644.51	1824	1465	0.796	-0.329	-2.907	0.00365200396238655	0.0312500387775166	0.0081	0.0101	0.0086	0.0086	TRUE	NA
FBtr0070093	115	47	73	139	80	35	58	72	103	70	111	43	76.07	78	75	0.975	-0.037	-0.07	0.94387315620189	0.983978336205115	0.1527	0.2824	0.1801	0.1801	TRUE	NA
FBtr0070094	680	236	247	695	259	287	342	363	349	350	358	349	351.79	351	352	1.006	0.008	0.074	0.940740435070206	0.982792306127181	0	0.0363	0.0055	0.0055	TRUE	NA
FBtr0070095	0	0	8	0	0	0	0	0	11	0	0	0	1.88	4	0	0.102	-3.287	-0.827	0.408205338930709	NA	10	4.8152	10	10	TRUE	NA
FBtr0070097	35	15	13	62	29	27	18	23	18	31	40	33	27.2	20	35	1.766	0.821	1.8	0.0718280932678082	0.271460502474832	0	0.9221	0.1082	0.1082	TRUE	NA
FBtr0070098	1279	444	340	928	372	551	643	683	480	467	514	670	576.26	602	550	0.908	-0.139	-0.608	0.54324579921572	0.822801790497302	0.0419	0.0217	0.0358	0.0358	TRUE	NA
FBtr0070099	0	0	0	1	1	0	0	0	0	1	1	0	0.31	0	1	3.323	1.733	0.453	0.650503001982274	NA	0	5.6872	8.7826	8.7826	TRUE	NA
FBtr0070100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070102	0	0	0	3	0	0	0	0	0	2	0	0	0.25	0	1	2.479	1.31	0.325	0.745045748587268	NA	0	5.7009	10	10	TRUE	NA
FBtr0070103	0	2	2	1	4	5	0	3	3	1	6	6	3	2	4	2.385	1.254	0.95	0.34235590577029	NA	0	4.1185	0.6408	0.6408	TRUE	NA
FBtr0070106	66	15	23	22	15	0	33	23	33	11	21	0	20.09	30	11	0.358	-1.483	-1.093	0.274467481087903	0.599176554210328	1.2689	1.2278	1.2569	1.2569	TRUE	NA
FBtr0070107	0	0	0	0	17	16	0	0	0	0	24	19	7.16	0	14	29.362	4.876	1.668	0.0952318807601244	NA	10	2.6349	5.0219	5.0219	TRUE	NA
FBtr0070108	105	46	42	227	51	46	53	71	59	114	71	56	70.61	61	80	1.292	0.37	0.862	0.388497146438801	0.709858165567112	0.0747	0.312	0.1163	0.1163	TRUE	NA
FBtr0070109	0	0	26	0	0	0	0	0	37	0	0	0	6.12	12	0	0.034	-4.885	-1.243	0.213902394508184	NA	10	2.8924	10	10	TRUE	NA
FBtr0070110	0	2	2	10	2	1	0	3	3	5	3	1	2.49	2	3	2.083	1.058	0.596	0.551155085402006	NA	0	4.4208	1.8052	1.8052	TRUE	NA
FBtr0070115	686	252	271	669	274	313	345	387	383	337	379	380	368.59	372	365	0.982	-0.026	-0.248	0.804025491685442	0.940516718712829	0	0.0344	0.0049	0.0049	TRUE	NA
FBtr0070116	29	41	100	130	71	13	15	63	141	65	98	16	66.4	73	60	1.059	0.083	0.083	0.93386361527497	0.980774186490694	0.8223	0.3381	0.7042	0.7042	TRUE	NA
FBtr0070117	0	0	0	0	0	3	0	0	0	0	0	4	0.61	0	1	3.742	1.904	0.474	0.635625001080671	NA	10	5.8311	10	10	TRUE	NA
FBtr0070118	181	46	1	98	30	91	91	71	1	49	41	111	60.76	54	67	1.355	0.439	0.351	0.725944004611373	0.90815445406181	1.3812	0.3785	1.1089	1.1089	TRUE	NA
FBtr0070119	677	206	218	673	262	254	340	317	308	339	362	309	329.18	322	337	1.042	0.06	0.453	0.650288871370803	0.878599764424387	0	0.0391	0.0094	0.0094	TRUE	NA
FBtr0070120	1417	426	176	1120	215	232	712	655	249	564	297	282	459.89	539	381	0.689	-0.537	-1.404	0.160220920335693	0.447095111686727	0.1451	0.0272	0.1027	0.1027	TRUE	NA
FBtr0070121	537	164	221	372	185	203	270	252	312	187	256	247	254.05	278	230	0.813	-0.298	-1.646	0.0998370744022894	0.336275166487017	0.0104	0.0531	0.0196	0.0196	TRUE	NA
FBtr0070122	968	266	364	1132	391	474	487	409	514	570	541	576	516.16	470	562	1.195	0.257	1.965	0.049454204946699	0.210813657614743	0.0055	0.0242	0.0102	0.0102	TRUE	NA
FBtr0070123	92	38	30	146	29	71	46	58	42	74	40	86	57.83	49	67	1.368	0.452	0.936	0.349487614081076	0.6759494196532	0.0916	0.4024	0.1487	0.1487	TRUE	NA
FBtr0070124	0	0	13	12	2	0	0	0	18	6	3	0	4.53	6	3	0.475	-1.074	-0.327	0.74399129646688	NA	10	3.4104	7.528	7.528	TRUE	NA
FBtr0070125	652	184	166	574	319	168	328	283	235	289	441	204	296.61	282	311	1.108	0.148	0.414	0.67889846180308	0.891538508552432	0.1076	0.0441	0.088	0.088	TRUE	NA
FBtr0070126	903	224	288	1169	251	289	454	344	407	589	347	351	415.41	402	429	1.049	0.069	0.396	0.691891365728527	0.89736406707881	0.0149	0.0303	0.0188	0.0188	TRUE	NA
