Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0085094	101362	46855	59455	17884	10027	12123	50947	72035	84024	9009	13865	14735	40769.13	69002	12536	0.181	-2.465	-27.46	5.21312649621149e-166	4.46869203255249e-162	0.0047	0.0103	0.0058	0.0058	TRUE	NA
FBtr0084549	2488	751	890	81	37	54	1251	1155	1258	41	51	66	636.75	1221	53	0.042	-4.581	-22.805	4.10302363460673e-115	1.40684474383396e-111	0.0188	0.0198	0.0191	0.0191	TRUE	NA
FBtr0290077	1502	823	798	205	133	126	755	1265	1128	103	184	153	598.05	1049	147	0.139	-2.846	-22.15	1.03619668926908e-108	2.96075934013818e-105	0.0034	0.021	0.008	0.008	TRUE	NA
FBtr0072393	1893	669	784	264	131	150	951	1029	1108	133	181	182	597.4	1029	165	0.158	-2.663	-21.319	7.60018109005828e-101	1.86139292297084e-97	0.0038	0.021	0.0077	0.0077	TRUE	NA
FBtr0290019	6664	2356	2613	1916	623	828	3350	3622	3693	965	861	1006	2249.57	3555	944	0.267	-1.907	-20.721	2.24525403576234e-95	4.81157939863869e-92	0.0042	0.0089	0.0054	0.0054	TRUE	NA
FBtr0089348	4029	1080	1043	791	184	200	2025	1660	1474	398	254	243	1009.24	1720	298	0.172	-2.537	-20.435	8.15307229807671e-93	1.55306968309141e-89	0.0075	0.0136	0.009	0.009	TRUE	NA
FBtr0074916	822	484	638	57	33	42	413	744	902	29	46	51	364.05	686	42	0.063	-3.998	-19.799	3.02725234722409e-87	4.71811038552817e-84	0.0111	0.0349	0.017	0.017	TRUE	NA
FBtr0335178	8980	4708	5102	4049	2618	2807	4514	7238	7210	2040	3620	3412	4672.25	6321	3024	0.474	-1.076	-19.272	9.31142394463109e-83	1.33029210088963e-79	9e-04	0.0078	0.002	0.002	TRUE	NA
FBtr0077645	5609	1806	1914	584	109	178	2819	2777	2705	294	151	216	1493.66	2767	220	0.078	-3.672	-18.166	9.61667599814743e-74	1.26821764086338e-70	0.0371	0.0106	0.0268	0.0268	TRUE	NA
FBtr0332260	2370	1154	1231	618	389	469	1191	1774	1740	311	538	570	1020.72	1568	473	0.295	-1.76	-17.642	1.17682444761321e-69	1.44110559499149e-66	0.0036	0.0135	0.0058	0.0058	TRUE	NA
FBtr0085755	765	320	330	46	14	28	385	492	466	23	19	34	236.57	448	25	0.058	-4.108	-17.439	4.20971291841848e-68	4.81142121822443e-65	7e-04	0.0581	0.0204	0.0204	TRUE	NA
FBtr0302694	3194	1062	1118	603	302	284	1605	1633	1580	304	418	345	980.77	1606	356	0.219	-2.192	-16.912	3.65241564259927e-64	3.68335375157188e-61	0.0089	0.0139	0.0103	0.0103	TRUE	NA
FBtr0073269	6696	1365	1405	2490	456	517	3366	2099	1986	1254	631	628	1660.5	2484	838	0.331	-1.596	-16.703	1.23734470131784e-62	1.17850208663295e-59	0.0044	0.01	0.0056	0.0056	TRUE	NA
