Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0073426	643	282	265	4846	2247	2659	323	434	375	2441	3107	3232	1651.89	377	2927	7.738	2.952	36.038	2.12589346084373e-284	3.6446317492705e-280	6e-04	0.0101	0.0033	0.0033	TRUE	NA
FBtr0089349	1637	504	565	6516	2758	2959	823	775	798	3282	3814	3596	2181.45	799	3564	4.433	2.148	24.534	6.36785056096317e-133	3.63901433390509e-129	0.0035	0.009	0.0047	0.0047	TRUE	NA
FBtr0076772	1012	299	342	3183	1088	1266	509	460	483	1603	1504	1539	1016.38	484	1549	3.195	1.676	23.157	1.2386475443582e-118	5.30884337511927e-115	0	0.0135	0.0023	0.0023	TRUE	NA
FBtr0087258	955	458	379	5310	2793	2900	480	704	536	2675	3862	3525	1963.59	573	3354	5.825	2.542	19.942	1.77549389439451e-88	3.04390673254996e-85	0.0112	0.0093	0.0106	0.0106	TRUE	NA
FBtr0085155	970	382	490	3056	1350	1549	488	587	692	1539	1867	1883	1176.04	589	1763	3.009	1.589	17.155	5.73995044596696e-66	6.15035690285359e-63	0.0022	0.0122	0.005	0.005	TRUE	NA
FBtr0077247	913	239	259	2432	671	806	459	367	366	1225	928	980	720.83	397	1044	2.631	1.395	16.517	2.77312491679846e-61	2.37712267867964e-58	0	0.0177	0.0033	0.0033	TRUE	NA
FBtr0071537	1272	370	427	2704	928	1042	639	569	603	1362	1283	1266	953.91	604	1304	2.156	1.108	15.539	1.89692453771471e-54	1.25080285671466e-51	0	0.0142	0.0024	0.0024	TRUE	NA
FBtr0342810	488	169	108	5136	2735	2631	245	260	153	2587	3782	3198	1704.12	219	3189	14.391	3.847	15.153	7.2731627646905e-52	4.2996931875122e-49	0.0679	0.0099	0.0437	0.0437	TRUE	NA
FBtr0071849	286	129	155	934	483	557	144	198	219	470	668	677	396.08	187	605	3.24	1.696	14.999	7.47857756192004e-51	4.27375779071857e-48	0	0.0318	0.0056	0.0056	TRUE	NA
FBtr0082452	11155	3113	3020	22048	6454	7641	5607	4786	4268	11107	8925	9287	7329.82	4887	9773	2.001	1.001	14.826	9.95551121542824e-50	5.33366513366568e-47	0.0021	0.0075	0.0031	0.0031	TRUE	NA
FBtr0332202	644	244	173	4001	1267	1530	324	375	244	2015	1752	1860	1095.07	314	1876	5.973	2.578	14.812	1.21920066580262e-49	6.33393218621821e-47	0.0238	0.0128	0.0197	0.0197	TRUE	NA
FBtr0300889	384	126	105	1427	505	549	193	194	148	719	698	667	436.59	178	695	3.889	1.96	14.049	7.78997372595732e-45	3.60949485291385e-42	9e-04	0.0287	0.0102	0.0102	TRUE	NA
FBtr0081619	140	51	83	954	425	547	70	78	117	481	588	665	333.2	88	578	6.543	2.71	13.996	1.65381905004358e-44	7.46133520893345e-42	0.0099	0.0386	0.0201	0.0201	TRUE	NA
FBtr0089581	0	2	2	4851	2340	2482	0	3	3	2444	3236	3017	1450.33	2	2899	2123.14	11.052	13.689	1.18714681842947e-42	4.96401098906215e-40	0.2626	0.0107	0.1009	0.1009	TRUE	NA
FBtr0071249	16928	7608	8741	25469	12968	15013	8508	11697	12353	12830	17932	18247	13594.54	10853	16336	1.505	0.59	13.681	1.32648328000628e-42	5.41457841724467e-40	4e-04	0.0078	0.0013	0.0013	TRUE	NA
FBtr0081639	50760	22632	26047	77186	40297	45990	25513	34794	36810	38882	55723	55897	41270.05	32372	50167	1.547	0.629	13.672	1.49361500375617e-42	5.95500828474321e-40	5e-04	0.0104	0.0015	0.0015	TRUE	NA
FBtr0302291	7087	2313	2571	17565	7571	7041	3562	3556	3633	8848	10469	8558	6437.8	3584	9292	2.59	1.373	13.441	3.45748612675344e-41	1.34716232175139e-38	0.0087	0.0076	0.0073	0.0073	TRUE	NA
