Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0003360	14873	3930	4751	1488	575	639	7481	6147	6771	760	805	782	3790.98	6800	782	0.115	-3.122	-26.667	1.14147917848744e-156	1.02938592315997e-152	0.0055	0.0131	0.0091	0.0091	TRUE	0.069
FBgn0039155	2488	751	890	81	37	54	1251	1175	1268	41	52	66	642.29	1231	53	0.042	-4.587	-24.639	4.84180605267999e-134	2.18317034915341e-130	0.0032	0.0179	0.0152	0.0152	TRUE	0.5448
FBgn0029167	10389	3806	3801	2341	934	920	5226	5953	5417	1195	1308	1126	3370.78	5532	1210	0.219	-2.193	-19.339	2.53315681171054e-83	5.71100203200141e-80	0.0044	0.0133	0.0087	0.0087	TRUE	0.057
FBgn0035085	1893	669	784	313	131	150	952	1046	1117	160	183	184	607.12	1038	176	0.168	-2.573	-17.514	1.12095274026941e-68	2.02175036234991e-65	0.0053	0.0182	0.0122	0.0122	TRUE	0.0848
FBgn0039827	765	320	330	46	14	28	385	500	470	23	20	34	238.83	452	26	0.057	-4.139	-16.713	1.05589410038278e-62	1.58700883287532e-59	0.0183	0.0274	0.0245	0.0245	TRUE	0.3654
FBgn0034897	2876	961	981	722	273	263	1447	1503	1398	369	382	322	903.43	1449	358	0.247	-2.017	-16.096	2.70640949366294e-58	3.48662868769319e-55	7e-04	0.0162	0.0095	0.0095	TRUE	0.0798
FBgn0029896	1628	530	500	303	100	114	819	829	713	155	140	140	465.78	787	145	0.185	-2.434	-15.968	2.14428653761121e-57	2.41714699952223e-54	0	0.02	0.0126	0.0126	TRUE	0.0774
FBgn0034736	711	282	257	51	25	28	358	441	366	26	35	34	210.05	388	32	0.079	-3.655	-15.584	9.36074019945786e-55	9.37946167985678e-52	0	0.0295	0.0228	0.0228	TRUE	0.3117
FBgn0023479	9560	3082	2975	2993	1142	1169	4809	4820	4240	1528	1599	1431	3071.17	4623	1519	0.329	-1.606	-14.535	7.27661576636796e-48	5.9655019073733e-45	0.0035	0.0134	0.0083	0.0083	TRUE	0.0634
FBgn0038832	852	252	287	129	52	65	429	394	409	66	73	80	241.66	411	73	0.175	-2.517	-13.724	7.31985804256509e-43	5.50087331898766e-40	0	0.0273	0.0161	0.0161	TRUE	0.0949
FBgn0036821	1441	498	456	381	112	147	725	779	650	195	157	180	447.48	718	177	0.249	-2.006	-12.734	3.84244212150959e-37	2.66547254244411e-34	0.0062	0.0203	0.0143	0.0143	TRUE	0.0956
