Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0025111	704	282	289	5109	2299	2684	354	441	412	2609	3218	3285	1719.94	402	3037	7.591	2.924	19.905	3.65045619667547e-88	1.09732713272065e-84	0.0136	0.0143	0.014	0.014	TRUE	0.1885
FBgn0000071	204	72	83	1126	476	584	103	113	118	575	666	715	381.62	111	652	5.906	2.562	14.896	3.48682419033202e-50	3.14441805484142e-47	0.0084	0.0217	0.0156	0.0156	TRUE	0.1358
FBgn0001226	1490	469	653	4559	1688	2075	749	734	931	2328	2363	2540	1607.44	805	2410	3	1.585	12.093	1.15344280502011e-33	7.42981943976525e-31	0.0079	0.0144	0.0115	0.0115	TRUE	0.2144
FBgn0283437	7087	2313	2571	17565	7571	7041	3565	3618	3664	8970	10599	8618	6505.54	3616	9396	2.598	1.378	11.983	4.33703503492707e-33	2.60742546299815e-30	0.0061	0.0127	0.0093	0.0093	TRUE	0.1525
FBgn0035189	123	48	34	660	379	334	62	75	48	337	531	409	243.64	62	426	6.871	2.78	11.535	8.77547927530078e-31	4.16511958445592e-28	0.0397	0.0271	0.0318	0.0318	TRUE	0.1292
FBgn0051092	124	39	37	515	214	245	62	61	53	263	300	300	173.09	59	288	4.836	2.274	10.978	4.85067746297487e-28	2.08301949338607e-25	0	0.0332	0.0202	0.0202	TRUE	0.0709
FBgn0262733	382	113	97	1501	472	478	192	177	138	767	661	585	419.91	169	671	3.94	1.978	10.797	3.56991261466857e-27	1.46333963450369e-24	0.0192	0.0209	0.0202	0.0202	TRUE	0.1645
FBgn0011260	171	50	52	816	243	256	86	78	74	417	340	313	218.09	79	357	4.467	2.159	10.523	6.76116276247173e-26	2.54050690799875e-23	0.0139	0.0289	0.0222	0.0222	TRUE	0.2695
FBgn0003748	1515	447	493	3132	1135	1239	762	699	703	1599	1589	1517	1144.77	721	1568	2.169	1.117	10.045	9.63754151769827e-24	2.8970449802201e-21	9e-04	0.0154	0.0078	0.0078	TRUE	0.0323
FBgn0029002	2371	620	787	5527	1742	2098	1193	970	1122	2822	2439	2568	1852.16	1095	2610	2.38	1.251	9.859	6.29168623296118e-23	1.66877724849541e-20	0.0072	0.0142	0.0109	0.0109	TRUE	0.1152
FBgn0037290	28	10	12	308	91	104	14	16	17	157	127	127	76.47	16	137	9.047	3.178	9.751	1.82929203149235e-22	4.71330158285658e-20	0	0.0598	0.0397	0.0397	TRUE	0.1944
