Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0084549	2488	751	890	81	37	54	1251	1155	1258	41	51	66	636.75	1221	53	0.042	-4.576	-20.248	3.71149469885479e-91	3.45447369095909e-87	0.0072	0.1231	0.0269	0.0269	TRUE	0.5046
FBtr0290019	6664	2356	2613	1916	623	828	3350	3622	3693	965	861	1006	2249.57	3555	944	0.266	-1.91	-18.137	1.61215271369453e-73	1.00034075884746e-69	0.0034	0.0646	0.0073	0.0073	TRUE	0.0654
FBtr0342811	18266	6485	5997	4	0	0	9181	9970	8475	2	0	0	4604.7	9209	1	0	-13.001	-17.575	3.81809568132697e-69	1.77684627769754e-65	0.0065	0.0528	0.0144	0.0144	TRUE	1.8076
FBtr0071813	26746	8805	9537	19327	7008	8056	13443	13537	13478	9736	9691	9791	11612.68	13486	9739	0.722	-0.469	-14.652	1.31416272683403e-48	3.05789239500192e-45	0	0.046	6e-04	6e-04	TRUE	3e-04
FBtr0070985	1529	515	467	199	95	96	769	792	660	100	131	117	428.09	740	116	0.155	-2.691	-14.002	1.50570964321019e-44	3.11430944537307e-41	0.0092	0.1628	0.0215	0.0215	TRUE	0.1851
FBtr0071835	711	282	257	51	25	28	357	434	363	26	35	34	208.07	385	32	0.08	-3.65	-13.766	4.07256443296217e-43	6.89188971996279e-40	0	0.2911	0.0336	0.0336	TRUE	0.3021
FBtr0085755	765	320	330	46	14	28	385	492	466	23	19	34	236.57	448	25	0.057	-4.14	-13.772	3.76567390802322e-43	6.89188971996279e-40	0.0166	0.261	0.0449	0.0449	TRUE	0.4019
FBtr0083967	852	252	287	129	52	65	428	387	406	65	72	79	239.53	407	72	0.174	-2.521	-13.505	1.45670806941803e-41	2.08589390093974e-38	0	0.2583	0.017	0.017	TRUE	0.0995
FBtr0302694	3194	1062	1118	603	302	284	1605	1633	1580	304	418	345	980.77	1606	356	0.22	-2.185	-13.462	2.60790386298442e-41	3.4675807435325e-38	0.0096	0.0945	0.0172	0.0172	TRUE	0.2565
FBtr0072393	1893	669	784	264	131	150	951	1029	1108	133	181	182	597.4	1029	165	0.159	-2.651	-13.306	2.14426964401424e-40	2.66103862822167e-37	0.0145	0.1284	0.025	0.025	TRUE	0.3804
FBtr0077645	5609	1806	1914	584	109	178	2819	2777	2705	294	151	216	1493.66	2767	220	0.08	-3.639	-13.195	9.33644089273626e-40	1.08623654511428e-36	0.0496	0.0763	0.0523	0.0523	TRUE	1.0164
FBtr0306255	2567	916	911	1077	357	435	1290	1408	1287	543	494	529	925.14	1328	522	0.394	-1.343	-13.123	2.44009326794239e-39	2.67190212839692e-36	0.0013	0.0976	0.0062	0.0062	TRUE	0.0314
FBtr0085713	77867	25650	28090	58928	21886	24774	39138	39434	39698	29685	30264	30111	34721.6	39423	30020	0.761	-0.393	-12.976	1.66390679811173e-38	1.72075694704722e-35	0	0.043	6e-04	6e-04	TRUE	0.0012
