Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0089349	1637	504	565	6516	2758	2959	823	775	798	3282	3814	3596	2181.45	799	3564	4.451	2.154	21.001	6.47125705128947e-98	1.20462450009753e-93	0.0034	0.0653	0.0067	0.0067	TRUE	0.0597
FBtr0076772	1012	299	342	3183	1088	1266	509	460	483	1603	1504	1539	1016.38	484	1549	3.188	1.673	17.413	6.53060322736183e-68	2.43134358154681e-64	0	0.0926	0.0052	0.0052	TRUE	0.028
FBtr0073426	643	282	265	4846	2247	2659	323	434	375	2441	3107	3232	1651.89	377	2927	7.793	2.962	14.942	1.76009243338394e-50	5.46068677457368e-47	0.019	0.073	0.0266	0.0266	TRUE	0.259
FBtr0089581	0	2	2	4851	2340	2482	0	3	3	2444	3236	3017	1450.33	2	2899	2337.793	11.191	14.862	5.80145209355955e-50	1.54277186745159e-46	0.0246	0.0773	0.041	0.041	TRUE	3.6236
FBtr0342810	488	169	108	5136	2735	2631	245	260	153	2587	3782	3198	1704.12	219	3189	14.508	3.859	13.682	1.30760826096743e-42	2.02842731482573e-39	0.0491	0.072	0.0546	0.0546	TRUE	0.1366
FBtr0332202	644	244	173	4001	1267	1530	324	375	244	2015	1752	1860	1095.07	314	1876	5.967	2.577	12.765	2.57299494542856e-37	2.52085794258698e-34	0.0188	0.0889	0.0273	0.0273	TRUE	0.3944
FBtr0302291	7087	2313	2571	17565	7571	7041	3562	3556	3633	8848	10469	8558	6437.8	3584	9292	2.592	1.374	12.087	1.23738019550824e-33	1.09684915901837e-30	0.0059	0.0496	0.0091	0.0091	TRUE	0.1493
FBtr0300889	384	126	105	1427	505	549	193	194	148	719	698	667	436.59	178	695	3.875	1.954	11.662	1.98923425763941e-31	1.60998242199816e-28	0.0027	0.1604	0.0164	0.0164	TRUE	0.2023
FBtr0071537	1272	370	427	2704	928	1042	639	569	603	1362	1283	1266	953.91	604	1304	2.153	1.106	10.877	1.48424894407475e-27	1.06266515745967e-24	0.0016	0.096	0.0062	0.0062	TRUE	0.0356
FBtr0076454	1476	469	653	4475	1667	2061	742	721	923	2254	2305	2505	1575.02	795	2355	2.964	1.568	10.689	1.14015351768926e-26	7.57998490420916e-24	0.0101	0.0745	0.0146	0.0146	TRUE	0.2257
