Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
FBgn0000008	191	75	64	173	85	69	109	132	103	102	134	95	112.53	115	110	0.959	-0.06	0.749423167586666	0.860886633301386	0.0149	0.0156
FBgn0000014	9	2	2	36	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000015	12	3	4	11	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000017	282104	67791	49300	274004	36348	38520	160671	119234	79277	161408	57374	53302	105210.98	119727	90695	0.678	-0.561	0.00790508225508734	0.0353989669260945	0.0314	0.0199
FBgn0000018	787	240	294	795	284	302	448	422	473	468	448	418	446.27	448	445	0.997	-0.004	0.971307550301737	0.984927360970175	0.0047	0.0063
FBgn0000022	2	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000024	14	4	3	21	8	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000028	104	6	3	111	9	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000032	1918	611	638	1980	672	757	1092	1075	1026	1166	1061	1047	1077.93	1064	1091	1.028	0.04	0.626689065729279	0.776134827633015	0.0036	0.0046
FBgn0000036	24	4	11	20	5	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000037	40	11	8	44	16	24	23	19	13	26	25	33	23.23	18	28	1.436	0.522	0.0935079767751497	0.228544251566657	0.0228	0.0257
FBgn0000038	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000039	1	0	0	0	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000042	137826	45992	50736	155283	73363	83360	78498	80893	81586	91473	115802	115349	93933.37	80326	107541	1.331	0.413	0.00527699310620484	0.0259722574134643	0.0157	0.0192
FBgn0000043	44099	16039	17268	65414	29753	34377	25116	28210	27768	38534	46964	47569	35693.52	27031	44356	1.636	0.71	7.26025866676417e-09	1.41497807207574e-07	0.0107	0.0137
FBgn0000044	92	17	15	102	24	18	52	30	24	60	38	25	38.22	35	41	1.15	0.201	0.418037276478971	0.61224006169704	0.0156	0.0225
FBgn0000045	51	5	21	59	29	24	29	9	34	35	46	33	30.89	24	38	1.509	0.593	0.0847898170787151	0.212917225707258	0.0472	0.0242
FBgn0000046	79	11	14	129	25	18	45	19	23	76	39	25	37.87	29	47	1.615	0.691	0.00741005782748653	0.033683975237481	0.017	0.0223
