Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
FBgn0039155	2488	751	890	81	37	54	1417	1321	1431	48	58	75	724.99	1390	60	0.042	-4.588	1.33220412258923e-268	1.09826907866256e-264	0.0055	0.0051
FBgn0003360	14873	3930	4751	1488	575	639	8471	6912	7640	877	908	884	4281.89	7674	890	0.116	-3.111	2.58157554901453e-221	7.09416960869192e-218	0.0054	0.0057
FBgn0035085	1893	669	784	313	131	150	1078	1177	1261	184	207	208	685.71	1172	200	0.17	-2.552	5.52220128354793e-149	1.13812568453923e-145	0.0039	0.0052
FBgn0039827	765	320	330	46	14	28	436	563	531	27	22	39	269.52	510	29	0.059	-4.076	2.53105566374898e-135	4.17320457838931e-132	0.0073	0.0089
FBgn0029167	10389	3806	3801	2341	934	920	5917	6694	6112	1379	1474	1273	3808.29	6241	1375	0.221	-2.18	3.61707664600514e-124	4.96986331161107e-121	0.0052	0.0054
FBgn0029896	1628	530	500	303	100	114	927	932	804	178	158	158	526.25	888	165	0.187	-2.422	2.52809037639209e-106	2.60519713287205e-103	0.005	0.0058
FBgn0034897	2876	961	981	722	273	263	1638	1690	1577	425	431	364	1020.99	1635	407	0.249	-2.004	4.54763016527246e-102	4.16562923138957e-99	0.0044	0.0047
FBgn0034736	711	282	257	51	25	28	405	496	413	30	39	39	237.08	438	36	0.081	-3.627	1.6397361402462e-96	1.35179847401897e-93	0.0095	0.0097
FBgn0259715	2276	878	1073	487	292	283	1296	1544	1725	287	461	392	950.9	1522	380	0.245	-2.028	1.07627367598657e-89	8.06618198621205e-87	0.0053	0.0048
FBgn0038832	852	252	287	129	52	65	485	443	462	76	82	90	273	463	83	0.175	-2.515	2.30622980532449e-75	1.58437987625793e-72	0.0065	0.0087
FBgn0023479	9560	3082	2975	2993	1142	1169	5445	5421	4784	1763	1803	1618	3472.14	5217	1728	0.331	-1.595	1.59086975418118e-73	1.00885617334382e-70	0.0049	0.0053
FBgn0026562	102362	47057	59729	17982	10095	12157	58300	82766	96047	10593	15935	16822	46743.76	79038	14450	0.183	-2.453	1.05516331256358e-69	6.2134045348387e-67	0.0125	0.0152
FBgn0040099	2991	782	938	944	219	266	1704	1375	1508	556	346	368	976.19	1529	423	0.276	-1.857	2.21212361504934e-69	1.21578313883112e-66	0.006	0.0047
FBgn0036821	1441	498	456	381	112	147	821	876	733	224	177	203	505.75	810	201	0.252	-1.991	2.54938676836639e-65	1.23630261873015e-62	0.0063	0.0059
FBgn0261552	22562	5910	5178	6777	1604	1698	12850	10395	8326	3992	2532	2350	6740.82	10524	2958	0.277	-1.853	1.97545351364538e-62	9.04757709249582e-60	0.0081	0.0068
FBgn0037754	872	235	224	179	54	62	497	413	360	105	85	86	257.77	423	92	0.217	-2.202	5.12662903716336e-58	2.11319648911874e-55	0.0068	0.0089
FBgn0264753	353	130	146	45	11	19	201	229	235	27	17	26	122.44	222	23	0.112	-3.157	2.69607520377495e-54	9.66367129561769e-52	0.0117	0.015
FBgn0053307	3603	741	985	1274	301	375	2052	1303	1584	750	475	519	1113.97	1646	581	0.353	-1.504	7.61079842247208e-54	2.61430925811916e-51	0.0053	0.0046
FBgn0043364	4456	904	974	1685	412	512	2538	1590	1566	993	650	708	1340.92	1898	784	0.415	-1.269	4.27434086928522e-52	1.3552948510149e-49	0.0038	0.0046
FBgn0040091	2712	898	1208	997	387	414	1545	1579	1943	587	611	573	1139.6	1689	590	0.351	-1.509	2.17816402462976e-51	6.65066082186955e-49	0.0057	0.0046
FBgn0027279	8236	2595	2630	3503	1241	1376	4691	4564	4229	2064	1959	1904	3235.1	4495	1976	0.44	-1.186	1.28978996110634e-50	3.79751015691451e-48	0.004	0.0052
FBgn0039419	4971	1563	1581	2239	738	848	2831	2749	2542	1319	1165	1173	1963.31	2707	1219	0.451	-1.15	4.73658385708032e-47	1.30161324392567e-44	0.0038	0.0046
FBgn0283658	3015	1221	1307	1356	599	719	1717	2148	2102	799	946	995	1450.94	1989	913	0.46	-1.12	1.11026077507491e-46	2.95257736442502e-44	0.0034	0.0045
FBgn0024288	201	73	73	7	6	4	114	128	117	4	9	6	63.23	120	6	0.049	-4.354	1.38473901397081e-46	3.5674338847423e-44	0.0169	0.0202
FBgn0036985	6750	1660	1728	1962	768	824	3844	2920	2779	1156	1212	1140	2175.18	3181	1169	0.369	-1.438	2.33868910667212e-46	5.84247060466817e-44	0.0063	0.0047
FBgn0000406	787	261	384	166	60	96	448	459	617	98	95	133	308.35	508	109	0.215	-2.219	1.0663505566148e-45	2.58558646727423e-43	0.0114	0.0081
FBgn0034010	1604	488	609	633	206	226	914	858	979	373	325	313	626.99	917	337	0.37	-1.434	5.01661531473125e-44	1.08834149091169e-41	0.0053	0.0054
FBgn0040827	720	189	192	189	42	57	410	332	309	111	66	79	217.96	350	85	0.248	-2.014	5.97483496152591e-42	1.20137901031267e-39	0.0083	0.01
FBgn0030041	288	93	117	41	10	15	164	164	188	24	16	21	96.07	172	20	0.125	-3.004	1.56232990920797e-41	3.06663042178822e-39	0.014	0.0169
FBgn0085359	266	48	85	11	2	1	151	84	137	6	3	1	63.94	124	3	0.034	-4.892	2.54352937325454e-40	4.76564912570691e-38	0.0307	0.0196
FBgn0052407	573	170	189	151	38	49	326	299	304	89	60	68	191	310	72	0.239	-2.066	5.46691662971024e-40	1.00153912656292e-37	0.009	0.0111
FBgn0022160	3024	1334	1370	1343	716	827	1722	2346	2203	791	1130	1144	1556.22	2090	1022	0.485	-1.043	5.64287263999771e-39	1.01130091400307e-36	0.0037	0.0045
FBgn0023549	632	217	236	178	79	91	360	382	380	105	125	126	246.1	374	119	0.313	-1.675	1.61986903697994e-36	2.78212507101305e-34	0.0068	0.0094
FBgn0033913	13201	4464	4494	5352	2320	2609	7519	7851	7227	3153	3662	3610	5503.6	7532	3475	0.46	-1.121	1.0535571880547e-35	1.73710509166458e-33	0.0054	0.0062
FBgn0039109	1225	413	415	506	169	217	698	726	667	298	267	300	492.76	697	288	0.416	-1.266	2.75387843244486e-35	4.36595649943758e-33	0.0047	0.006
FBgn0063649	1708	598	525	716	247	278	973	1052	844	422	390	385	677.52	956	399	0.418	-1.257	9.44690998831308e-34	1.4422282582158e-31	0.0056	0.0052
FBgn0001137	1152	378	462	487	159	205	656	665	743	287	251	284	480.9	688	274	0.402	-1.313	1.05209059871228e-33	1.57698816286983e-31	0.0056	0.0061
FBgn0016715	488	144	169	85	42	52	278	253	272	50	66	72	165.22	268	63	0.226	-2.146	2.0501691991164e-33	3.0181419424135e-31	0.0124	0.0123
FBgn0261584	481	140	152	133	42	39	274	246	244	78	66	54	160.54	255	66	0.263	-1.927	6.80249376308691e-32	9.34662643048141e-30	0.0097	0.0124
FBgn0031805	7500	2761	2967	3399	1608	1904	4272	4856	4771	2002	2538	2635	3512.32	4633	2392	0.513	-0.964	1.12631239482657e-31	1.49763215854036e-29	0.0044	0.0053
FBgn0036576	6041	1985	1734	2282	894	1100	3441	3491	2788	1344	1411	1522	2332.97	3240	1426	0.439	-1.187	1.97943797023919e-31	2.59023597248443e-29	0.0067	0.0048
FBgn0024315	247	89	92	48	15	23	141	157	148	28	24	32	88.16	149	28	0.192	-2.377	2.77136174236384e-31	3.56986034438242e-29	0.0113	0.0177
FBgn0050147	2420	792	897	1189	449	546	1378	1393	1442	700	709	756	1063.07	1404	722	0.513	-0.962	1.84124890733685e-30	2.26556059583359e-28	0.0038	0.0047
FBgn0026376	4376	1257	1092	1995	589	687	2492	2211	1756	1175	930	951	1585.79	2153	1019	0.473	-1.079	2.93327078288015e-30	3.55615946089175e-28	0.0054	0.0046
FBgn0000079	764	394	388	263	151	218	435	693	624	155	238	302	407.83	584	232	0.391	-1.356	4.7372308356804e-29	5.42412930685406e-27	0.0071	0.0068
FBgn0262057	1977	566	663	1000	319	392	1126	996	1066	589	504	542	803.78	1063	545	0.514	-0.961	1.15245574879515e-28	1.28389799906314e-26	0.0037	0.0049
FBgn0261015	2965	897	873	1323	495	580	1689	1578	1404	779	781	803	1172.25	1557	788	0.504	-0.987	2.59995946698573e-28	2.85787544611072e-26	0.0046	0.0046
FBgn0031322	1036	346	439	303	137	215	590	609	706	178	216	298	432.8	635	231	0.356	-1.488	6.75679296189395e-28	7.23415599712386e-26	0.0097	0.0065
FBgn0036373	10171	3942	3654	3739	2045	2273	5793	6933	5876	2203	3228	3145	4529.63	6201	2859	0.454	-1.138	9.11342697878051e-28	9.39138650163331e-26	0.0073	0.0058
FBgn0002868	392	73	91	86	21	27	223	128	146	51	33	37	103.19	166	40	0.242	-2.05	3.85540863752588e-27	3.92394923552634e-25	0.0108	0.0157
FBgn0265512	252	80	81	57	16	17	144	141	130	34	25	24	82.81	138	28	0.206	-2.279	4.22653603138856e-27	4.24921500521552e-25	0.0127	0.018
FBgn0035542	1784	591	515	758	257	331	1016	1039	828	447	406	458	698.98	961	437	0.454	-1.138	4.42466085731973e-27	4.39480772382456e-25	0.006	0.0052
FBgn0034389	390	127	102	86	25	37	222	223	164	51	39	51	125.14	203	47	0.233	-2.102	1.07306168019065e-26	1.05313339184425e-24	0.0145	0.0145
FBgn0052521	7542	2796	2700	3949	1622	1764	4296	4918	4342	2326	2560	2441	3480.4	4519	2442	0.541	-0.887	1.38251806533865e-26	1.31005504950021e-24	0.0045	0.0053
FBgn0031703	273	93	106	73	25	28	155	164	170	43	39	39	101.79	163	40	0.254	-1.979	1.52341682936289e-26	1.42716458423496e-24	0.0102	0.0164
FBgn0031449	2309	788	824	1185	459	558	1315	1386	1325	698	725	772	1036.8	1342	732	0.544	-0.878	2.88558314272526e-26	2.6141480690799e-24	0.0037	0.0047
FBgn0039257	1638	474	473	688	247	307	933	834	761	405	390	425	624.53	843	407	0.48	-1.059	3.75583062265858e-26	3.36555083186928e-24	0.005	0.0054
