Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
FBgn0025111	704	282	289	5109	2299	2684	401	496	465	3010	3629	3714	1952.35	454	3451	7.592	2.924	2.78073646420696e-251	1.14621957054611e-247	0.0037	0.0046
FBgn0000071	204	72	83	1126	476	584	116	127	133	663	751	808	433.17	125	741	5.861	2.551	1.31603262131354e-111	1.54991041858698e-108	0.0047	0.0064
FBgn0262733	382	113	97	1501	472	478	218	199	156	884	745	661	477.16	191	763	4.012	2.004	2.00065586819167e-68	1.03083793608576e-65	0.0057	0.0061
FBgn0001226	1490	469	653	4559	1688	2075	849	825	1050	2686	2664	2871	1824.15	908	2740	3.024	1.597	5.69684209785647e-62	2.47182980288046e-59	0.0056	0.0046
FBgn0011260	171	50	52	816	243	256	97	88	84	481	384	354	247.91	90	406	4.587	2.198	3.45460476644424e-56	1.35617912831268e-53	0.0068	0.009
FBgn0035189	123	48	34	660	379	334	70	84	55	389	598	462	276.39	70	483	6.674	2.739	7.32341262218195e-56	2.74428243896673e-53	0.0129	0.0086
FBgn0029002	2371	620	787	5527	1742	2098	1350	1090	1266	3256	2750	2903	2102.5	1235	2970	2.402	1.264	3.30237419412472e-52	1.08899091425457e-49	0.0042	0.0047
FBgn0051092	124	39	37	515	214	245	71	69	59	303	338	339	196.48	66	327	4.799	2.263	7.68179588755645e-48	2.18374914817294e-45	0.0085	0.0108
FBgn0031150	1207	315	320	2870	751	907	687	554	515	1691	1185	1255	981.2	585	1377	2.354	1.235	2.17422696745277e-45	5.12123631990874e-43	0.0039	0.0047
FBgn0003748	1515	447	493	3132	1135	1239	863	786	793	1845	1792	1714	1298.81	814	1784	2.188	1.129	7.73883461159201e-45	1.77219312605457e-42	0.0035	0.0046
FBgn0037290	28	10	12	308	91	104	16	18	19	181	144	144	86.97	18	156	9.406	3.234	1.31671326122087e-44	2.9337794933797e-42	0.0124	0.0172
FBgn0041087	1581	518	625	3161	1329	1576	900	911	1005	1862	2098	2181	1492.87	939	2047	2.17	1.117	1.81407718218062e-42	3.83468007433257e-40	0.0038	0.0045
FBgn0283437	7087	2313	2571	17565	7571	7041	4036	4068	4134	10347	11951	9743	7379.92	4079	10680	2.617	1.388	3.13167010651807e-42	6.45437208953375e-40	0.007	0.0071
