Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
FBgn0013687	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0005088	10851	2734	2890	11405	2880	2829	6235	4751	4656	6670	4538	3934	5130.8	5214	5047	0.954	-0.068	0.726405567954612	0.999725925652327	0.0267	0.0345
FBtr0006151	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070000	0	0	4	0	0	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070002	19	1	1	12	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070003	60	17	15	65	31	37	34	30	24	38	49	51	37.75	29	46	1.558	0.64	0.522579880196996	0.999725925652327	0.6771	0.9885
FBtr0070006	288	199	174	241	166	172	165	346	280	141	262	239	238.89	264	214	0.817	-0.292	0.562655123159323	0.999725925652327	0.1778	0.2415
FBtr0070007	1118	352	401	1049	412	435	642	612	646	614	649	605	627.97	633	623	0.983	-0.025	0.932507706324968	0.999725925652327	0.0625	0.0826
FBtr0070008	373	130	150	431	174	210	214	226	242	252	274	292	250.03	227	273	1.199	0.262	0.589539562262663	0.999725925652327	0.1647	0.2292
FBtr0070025	1801	1084	1108	1628	1106	1055	1035	1884	1785	952	1743	1467	1477.64	1568	1387	0.89	-0.169	0.448871894435155	0.999725925652327	0.0349	0.0452
FBtr0070026	676	270	304	679	348	382	388	469	490	397	548	531	470.69	449	492	1.09	0.124	0.716744187968159	0.999725925652327	0.0815	0.1123
FBtr0070027	671	264	284	851	344	313	386	459	458	498	542	435	462.82	434	492	1.138	0.186	0.592718253966934	0.999725925652327	0.0842	0.1144
FBtr0070028	121	22	38	221	14	19	70	38	61	129	22	26	57.79	56	59	0.766	-0.385	0.704379876010265	0.999725925652327	0.6546	0.8121
FBtr0070029	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070032	8	5	2	8	6	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070034	0	1	0	0	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070035	0	1	0	4	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070036	2157	837	1075	2246	1053	1285	1239	1455	1732	1314	1659	1787	1530.96	1475	1587	1.074	0.103	0.639879821773818	0.999725925652327	0.0343	0.0446
FBtr0070038	3389	970	929	4639	987	920	1947	1686	1497	2713	1555	1279	1779.59	1710	1849	1.035	0.05	0.830770761138445	0.999725925652327	0.0387	0.0423
