Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
FBtr0342811	18266	6485	5997	4	0	0	10495	11270	9662	2	0	0	5238.2	10476	1	0	-12.893	1.28217749445654e-214	2.03738003869145e-210	0.0319	0.0344
FBtr0078144	14160	4737	3246	0	0	0	8136	8232	5230	0	0	0	3599.63	7199	0	0	-15.875	2.58373243830759e-165	2.05277542223538e-161	0.0419	0.0363
FBtr0074337	1901	1384	973	0	0	0	1092	2405	1568	0	0	0	844.17	1688	0	0	-13.54	1.32378796765971e-84	5.25874770152818e-81	0.0669	0.0632
FBtr0344981	3744	539	478	0	0	0	2151	937	770	0	0	0	643.01	1286	0	0	-13.613	1.29610922856732e-71	2.94216794884782e-68	0.0755	0.0806
FBtr0113470	2017	778	726	0	0	0	1159	1352	1170	0	0	0	613.44	1227	0	0	-13.234	4.88665444633039e-71	9.70611739402374e-68	0.0775	0.0846
FBtr0082094	2208	405	568	0	0	0	1269	704	915	0	0	0	481.27	963	0	0	-13.052	1.38709968521055e-55	2.00372854527233e-52	0.0995	0.1095
FBtr0310637	782	722	718	0	0	0	449	1255	1157	0	0	0	476.8	954	0	0	-12.614	7.36764036348822e-55	9.75598378131899e-52	0.0986	0.1109
FBtr0337056	2144	513	345	0	0	0	1232	891	556	0	0	0	446.54	893	0	0	-12.969	1.24343384929761e-49	1.51985875887223e-46	0.113	0.119
FBtr0077645	5609	1806	1914	584	109	178	3223	3138	3084	342	172	248	1700.97	3148	254	0.079	-3.663	1.58237743402735e-40	1.67626516177964e-37	0.0424	0.0429
FBtr0085094	101362	46855	59455	17884	10027	12123	58242	81424	95788	10460	15799	16860	46428.86	78485	14373	0.183	-2.452	1.5019509013123e-39	1.49162498886578e-36	0.0225	0.0289
FBtr0073421	11232	3253	3857	124	17	108	6454	5653	6214	73	27	150	3095.06	6107	83	0.014	-6.199	3.26001122290572e-39	3.04715166658658e-36	0.1004	0.0372
FBtr0302615	1548	272	438	0	0	0	889	473	706	0	0	0	344.63	689	0	0	-12.556	7.69428492991373e-38	6.43485197559628e-35	0.1516	0.1596
FBtr0084549	2488	751	890	81	37	54	1430	1305	1434	47	58	75	724.89	1390	60	0.043	-4.549	8.41125403687666e-38	6.68274133229851e-35	0.0626	0.072
FBtr0080514	2234	569	172	0	0	0	1284	989	277	0	0	0	424.92	850	0	0	-12.943	1.27713986822155e-34	9.22443295729114e-32	0.1799	0.1258
FBtr0111030	6442	1394	1160	680	177	240	3702	2422	1869	398	279	334	1500.54	2664	337	0.13	-2.948	2.19797599489122e-30	1.51851471994876e-27	0.0396	0.0449
FBtr0076459	679	264	282	0	0	0	390	459	454	0	0	0	217.21	434	0	0	-11.716	1.7603609066442e-25	1.11888539226305e-22	0.2283	0.2679
FBtr0343497	288	376	344	0	0	0	165	653	554	0	0	0	228.85	457	0	0	-11.482	5.22572785183457e-25	3.07543761354264e-22	0.2271	0.2538
FBtr0072956	13427	5785	5062	703	985	958	7715	10053	8155	411	1552	1332	4869.85	8641	1098	0.111	-3.17	1.46371883623275e-23	8.30660439562087e-21	0.0587	0.0347
FBtr0335024	12074	3136	2001	410	263	82	6938	5450	3224	240	414	114	2729.9	5204	256	0.05	-4.312	2.70152242876578e-23	1.48024797907201e-20	0.1012	0.0381
FBtr0089348	4029	1080	1043	791	184	200	2315	1877	1680	463	290	278	1150.49	1957	344	0.173	-2.535	8.8623952744984e-23	4.69411536372598e-20	0.0412	0.051
FBtr0100457	3115	725	691	181	3	13	1790	1260	1113	106	5	18	715.28	1388	43	0.02	-5.661	2.24625225941639e-22	1.11540463756645e-19	0.1468	0.0728
FBtr0075753	8626	3301	2964	1880	930	920	4956	5736	4775	1100	1465	1279	3218.77	5156	1281	0.247	-2.016	1.24526084504283e-21	5.65348423649446e-19	0.0293	0.037
FBtr0308562	1131	134	164	0	0	0	650	233	264	0	0	0	191.16	382	0	0	-11.847	1.23790384367141e-21	5.65348423649446e-19	0.2676	0.3057
FBtr0074916	822	484	638	57	33	42	472	841	1028	33	52	58	414.17	780	48	0.063	-3.989	1.77055424698465e-21	7.81502971794056e-19	0.0932	0.1298
