Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
FBtr0089581	0	2	2	4851	2340	2482	0	3	3	2837	3687	3452	1663.8	2	3325	2025.578	10.984	1.07793945567584e-134	5.70948598356302e-131	0.0407	0.0432
FBtr0346714	0	0	2	1312	1210	1365	0	0	3	767	1907	1898	762.59	1	1524	1523.817	10.573	1.19532519725322e-80	3.79874347687072e-77	0.0627	0.0688
FBtr0337020	0	0	0	2869	915	808	0	0	0	1678	1442	1124	707.24	0	1415	12117.426	13.565	4.50412701757469e-77	1.19284297182103e-73	0.0708	0.0736
FBtr0112994	49	0	23	8900	3710	3604	28	0	37	5205	5846	5012	2688.09	22	5354	238.486	7.898	7.50995216029589e-71	1.32592377585669e-67	0.0718	0.0383
FBtr0301964	0	0	0	1144	687	1193	0	0	0	669	1082	1659	568.46	0	1137	7652.274	12.902	4.03262529811867e-60	6.40784159871056e-57	0.0911	0.0915
FBtr0342810	488	169	108	5136	2735	2631	280	294	174	3004	4310	3659	1953.42	249	3658	14.527	3.861	3.86073480917711e-41	4.38193400841601e-38	0.0456	0.0412
FBtr0073426	643	282	265	4846	2247	2659	369	490	427	2834	3541	3698	1893.21	429	3358	7.817	2.967	3.66243547581306e-39	3.23311665059275e-36	0.0308	0.0415
FBtr0340405	0	0	0	1154	492	425	0	0	0	675	775	591	340.21	0	680	5427.594	12.406	1.17352582836624e-37	8.87967876797118e-35	0.1494	0.162
FBtr0087258	955	458	379	5310	2793	2900	549	796	611	3106	4401	4033	2249.16	652	3847	5.881	2.556	3.31578801532168e-30	2.1953279818109e-27	0.0314	0.0398
FBtr0089349	1637	504	565	6516	2758	2959	941	876	910	3811	4346	4115	2499.78	909	4091	4.492	2.167	3.76362952451326e-25	2.30015665940445e-22	0.0283	0.0388
FBtr0332202	644	244	173	4001	1267	1530	370	424	279	2340	1996	2128	1256.17	358	2155	6.022	2.59	1.80446751853865e-22	9.24935124825134e-20	0.0437	0.0487
FBtr0112879	0	0	0	1239	137	182	0	0	0	725	216	253	198.94	0	398	4080.087	11.994	5.70961334550717e-22	2.74926533515482e-19	0.2556	0.2925
FBtr0342814	494	63	232	4737	2067	2307	284	109	374	2770	3257	3208	1667.17	256	3078	12.004	3.585	4.66549522321536e-21	2.00364105667276e-18	0.0835	0.0432
FBtr0302863	0	0	0	1283	96	201	0	0	0	750	151	280	196.86	0	394	4113.691	12.006	1.39087288594188e-20	5.81604477832011e-18	0.2767	0.2956
FBtr0347567	247	137	227	3719	1230	1400	142	238	366	2175	1938	1947	1134.33	249	2020	8.578	3.101	4.54069525051765e-20	1.85004224437757e-17	0.0666	0.0515
FBtr0113323	0	0	0	538	261	229	0	0	0	315	411	318	174.07	0	348	2688.395	11.393	1.12620245846417e-19	4.4738392662489e-17	0.3001	0.3382
FBtr0087617	123	100	53	1334	1072	791	71	174	85	780	1689	1100	649.88	110	1190	10.854	3.44	5.3694370068731e-19	1.98419427998171e-16	0.0854	0.0798
FBtr0332406	0	417	338	53	2607	2482	0	725	545	31	4108	3452	1476.65	423	2530	7.508	2.908	9.55361039176238e-19	3.45015611647964e-16	0.056	0.0452
