Name	RNAi_1	RNAi_3	RNAi_4	Untreated_1	Untreated_3	Untreated_4
FBgn0053929	0	0	0	0	0	0
FBgn0283429	59.3897	2.83003	0	56.2322	0	6.31198
FBgn0267873	0	0	0	0	0	0
FBgn0267896	0.538055	0	0	0	0	0
FBgn0260225	0	0	0	1.89575	0	1
FBgn0262849	89.8214	44.9471	45.9574	120.469	30.3859	23.6376
FBgn0040928	117	21	29	99	26	21
FBgn0262789	4	1	2	3	2	0
FBgn0058461	3.9663	1.4923	1.25177	9.47363	0	2.21282
FBgn0042701	17.9854	2.61539	1.17371	17.7053	0	6.40975
FBgn0263493	161.948	0	0	50.3184	0	0
FBgn0265917	0	0	0	0	0	0
FBgn0262163	4	0	1	2	2	0
FBgn0085831	0	0	0	0	0	0
FBgn0267108	74.348	15.1093	3.16526	36.4926	3.27815	6.53482
FBgn0051032	103.341	57	70	89.2474	51	44
FBgn0266102	22.9482	5.7619	4.60177	14.4989	0	0
FBgn0053867	0	0	0	0	0	9.77229e-4
FBgn0267026	1.26459	0	0	1.07063	0	0
FBgn0267519	233516	46355.9	41146.3	212085	60126.1	44609.9
FBgn0058005	283.56	0	0	0	0	3.41221
FBgn0039979	131.201	39.8855	42.7035	89.6142	29.5165	37.1365
FBgn0053318	8.93932	3.16177	1.04087	6.40801	0	2
FBgn0053805	2.63133	1.88779	0	0	0	0
FBgn0267419	0	0	0	0	0	0
FBgn0267892	0	0	0	0	0	0
FBgn0267902	1.01721	0	0	0	0	0
FBgn0267867	5.20071	2	1.62638	6.60459	0.562418	1.21281
FBgn0262964	7.30639	4	1	5.00799	2	1
FBgn0085790	24.7081	0	3.59713	41.24	1.7606	0
FBgn0267879	0	0	0	0	0	0
FBgn0267886	0	0	0	0	0	0
FBgn0085291	0	0	0	0	0	0
FBgn0263093	765.128	287.572	305.812	547.59	182.08	156.665
FBgn0267885	0	0	0	0	0	0
FBgn0030117	3.48814	0	0	5.35968	0	0
FBgn0058182	0	0	0	0	0	1.04599
FBgn0052518	6	1	0	3	1	0
FBgn0027934	0	0	0	0	0	0
FBgn0085340	0	0	0	0	0	0
FBgn0263744	2	1	0	2	0	1
FBgn0263207	2.37645	0	1.2375	0	0.793621	1.27967
FBgn0263210	31.6709	2.50996	0	0	0	1.93195
FBgn0267427	0	0	0	0	0	0
FBgn0263975	83	20	21	76	23	20
FBgn0267869	0	0	0	0	0	0
FBgn0037560	1514	285	319	1160	250	325
FBgn0263212	0	0	0	0	0	0
FBgn0085732	3448.97	649.089	935.301	2222.54	584.713	583.589
FBgn0267593	0	0	0	0	0	0
FBgn0058100	81.9496	13.0052	9.87393	49.8753	11.0952	8.22385
FBgn0264888	0	0	0	1	2	1
FBgn0037143	4	0	1	0	2	0
FBgn0262510	145.155	5.53359	4.98183	519.516	11.2132	7.55328
FBgn0263771	1	0	0	0	0	0
FBgn0053315	0	1	0	0	1	0
FBgn0267051	0.604523	0	1.46203	2.90692	0	0
FBgn0050029	0	0	0	0	0	0
FBgn0085791	7.28662e-5	0	0	0	0	0
FBgn0085804	2	0	0	0	0	0
FBgn0267876	0	0	0	0	0	0
FBgn0267494	0	0	0	0	0	0
FBgn0085792	91.428	27.326	13.3917	43.4598	12.7873	18.7482
FBgn0053013	1	0	0	3	0	0
FBgn0266211	54	22	23	38	13	12
FBgn0267884	0	0	0	0	0	0
FBgn0265141	0	0	0	0	0	0
FBgn0051292	28.3634	0	3.2969	120.682	6.87064	0.898285
FBgn0053294	189	20	43	152	34	35
FBgn0000280	0	1	0	0	1	0
FBgn0262885	0	0	0	0	0	0
FBgn0262852	89.8214	44.9471	45.9574	120.469	30.3859	23.6376
