Name	RNAi_1	RNAi_3	RNAi_4	Untreated_1	Untreated_3	Untreated_4
FBtr0075502	0	0	0	0	0	0
FBtr0300738	0	0	0	28.0355	0	0
FBtr0300739	21.355	0	28.969	0	7.13572	40.9703
FBtr0300737	0.0103982	23	0.0309868	61.9645	0	0.0297284
FBtr0300736	0	0	0	0	3.03178	0
FBtr0078628	0	0	0	0	5.08927	0
FBtr0300740	0	0	0	0	0	0
FBtr0078627	18.8878	0	0	0	11.7432	0
FBtr0300741	0.0146719	0	0	0	0	0
FBtr0072762	986.426	414.451	443.911	1159.81	294.665	412.972
FBtr0346821	108.018	42.2149	40.7149	133.291	29.8435	33.7119
FBtr0331460	59.0325	0	14.6273	38.3788	8.896	0
FBtr0303848	440.055	213.687	190.929	412.561	162.837	129.4
FBtr0086122	18	6	7	26	4	9
FBtr0335147	0	0	0	0	0	0
FBtr0081459	1335.11	484.67	530.262	1580.35	471.78	518.197
FBtr0305321	66.6447	52.9694	59.3089	101.423	32.3211	0
FBtr0083716	2289.36	870.031	882.691	2197.58	798.679	713
FBtr0078184	10.0421	4	6	11.0248	1	3
FBtr0081691	0	0	0	0	0	0
FBtr0085263	1.5	0.5	0	2.5	0	1.5
FBtr0086342	0.999997	0	0	1	0	0
FBtr0086343	2.64766e-6	0	0	3.16225e-7	0	0
FBtr0091847	8.62862	4.20011	5.9069	9.55989	5.90535	5.35233
FBtr0072393	264.346	131.493	150	1893.36	668.928	783.59
FBtr0343502	48.4679	3.08807e-7	1.62855e-5	0	0	0
FBtr0343753	227.221	93.4355	98.9984	178.112	77.0084	114.805
FBtr0433525	0	0	0	0	0	0
FBtr0113895	71.949700000000007	170.303	168.513	41.1141	74.1431	149.486
FBtr0345179	2518.05	323.697	291.487	1888.89	318.857	296.514
FBtr0334135	0	0	0	0	0	0
FBtr0334137	67.725	12.4808	14.953	121.937	22.2732	21.4292
FBtr0334141	2.33606e-5	0	0	0	0	0
FBtr0334139	10.4033	0	0	0	0	0
FBtr0334140	0	0	0	0	0	0
FBtr0344148	5.61032	0	0	0	0	0
FBtr0334142	0	0	0	0	0	0
FBtr0334138	0	0	0	0	0	0
FBtr0334136	167.415	102.531	109.047	198.321	98.4196	122.571
FBtr0085105	186	70	66	76	18	29
FBtr0346720	1	0	0	0	0	0
FBtr0076089	2	0	0	0	0	0
FBtr0087500	350	122	125	384	103	91
FBtr0073094	604.84	70.6351	82.3045	270.622	126.744	70.0025
FBtr0073093	1501.16	786.365	950.696	1847.38	777.256	891.998
FBtr0343515	0	0	0	0	4.24382	0
FBtr0072451	279	58	73	267	64.7562	61
