"animal","mother","father","hatch.mass","week2.mass","week2.tarsus","week4.mass","week4.tarsus","adult.tarsus","egg.mass","maternal.line","paternal.line","sex","replicate","hatching.day","hatch.env","week2.env","week4.env","survive","exclude.surv"
"CY3334","A1487","A1608",8.13,61.1,31.5,157.5,41.3,41.6,11.54,"L","H","Female","1","17","1a 1","1a 1 5","1a 1 A",1,FALSE
"CY3362","A1493","A1555",8.73,54.3,29.9,146.3,39.9,40.9,13.34,"L","H","Female","1","18","1a 1","1a 1 5","1a 1 A",1,FALSE
"CR1374","A1515","A1596",9.09,66.1,31,166,38.6,NA,13.07,"H","L","Male","1","17","1a 1","1a 1 5","1a 1 A",1,FALSE
"CY3323","A1604","A1599",8.07,55.3,30.1,151.8,39.4,40.2,10.94,"L","H","Female","1","17","1a 1","1a 1 5","1a 1 A",1,FALSE
"CY3332","A1487","A1608",8.06,71.1,33,171.2,40.3,NA,11.67,"L","H","Male","1","17","1a 1","1a 1 5","1a 1 A",1,FALSE
"CG2717","A1625","A1549",7.24,53.2,28.8,132,37.4,NA,10.22,"L","H","Female","1","17","1a 1","1a 1 5","1a 1 A",1,FALSE
"CY3327","A1487","A1608",8.54,57.9,31.3,150.2,40.7,41.4,11.92,"L","H","Female","1","17","1a 1","1a 1 5","1a 1 A",1,FALSE
"CR1383","A1618","A1536",8.9,59.9,29.2,170.1,37.6,NA,12.99,"H","H","Male","1","17","1a 1","1a 1 5","1a 1 A",1,FALSE
"CY3325","A1604","A1599",8.75,57.6,29.2,168.2,37.9,NA,12.22,"L","H","Male","1","17","1a 1","1a 1 5","1a 1 A",1,FALSE
"CY3336","A1580","A1626",6.73,52.5,28.3,124.6,35.7,36,10.58,"L","H","Male","1","17","1a 1","1a 1 5","1a 1 A",1,FALSE
"CR1421","A1523","A1490",8.01,48.5,28,140.6,38.1,39.3,12.22,"H","H","Male","1","18","1a 1","1a 1 5","1a 1 A",1,FALSE
"CY3335","A1483","A1491",9.22,61,31.2,153.1,39.6,NA,13.43,"L","L","Male","1","17","1a 1","1a 1 5","1a 1 A",1,FALSE
"CY3330","A1493","A1555",9.39,56.8,30.7,151.5,39,39.9,13.16,"L","H","Male","1","17","1a 1","1a 1 5","1a 1 A",1,FALSE
"CY3326","A1493","A1555",8.31,59,30.8,158.2,39.1,NA,12.51,"L","H","Male","1","17","1a 1","1a 1 5","1a 1 A",1,FALSE
"CR1376","A1523","A1490",8.29,56.8,30.3,151.6,38.7,NA,12.28,"H","H","Male","1","17","1a 1","1a 1 5","1a 1 A",1,FALSE
"CR1382","A1532","A1583",8.51,52.3,30.2,147.1,39.8,40.7,11.88,"H","H","Female","1","17","1a 1","1a 1 5","1a 1 A",1,FALSE
"CR1416","A1515","A1596",9.49,59.3,29.9,172.1,41.1,42.8,13.36,"H","L","Female","1","18","1a 1","1a 1 5","1a 1 A",1,FALSE
"CG2718","A1507","A1598",8.16,55.1,30.5,157,39.3,39.5,11.9,"L","L","Female","1","17","1a 1","1a 1 5","1a 1 A",1,FALSE
"CR1385","A1537","A1649",8.88,49.6,29.6,147.4,39.3,40.2,12.07,"H","L","Female","1","17","1a 1","1a 1 6","1a 1 B",1,FALSE
"CY3346","A1614","A1632",8.14,56.5,29.6,144.7,38.1,38.8,11.84,"L","L","Male","1","17","1a 1","1a 1 6","1a 1 B",1,FALSE
"CY3349","A1614","A1632",8.58,61.6,30.3,152,37.8,NA,12.03,"L","L","Male","1","17","1a 1","1a 1 6","1a 1 B",1,FALSE
"CY3328","A1487","A1608",8.23,61.7,30.9,158.8,38.9,39.7,11.74,"L","H","Male","1","17","1a 1","1a 1 6","1a 1 B",1,FALSE
"CY3339","A1580","A1626",7.67,67,30.4,144.6,36.2,NA,10.83,"L","H","Male","1","17","1a 1","1a 1 6","1a 1 B",1,FALSE
"CR1386","A1537","A1649",9.14,50,28.7,145,37.9,39.3,12.31,"H","L","Female","1","17","1a 1","1a 1 6","1a 1 B",1,FALSE
"CY3366","A1568","A1565",7.45,62.2,30.1,160.8,38.6,39.3,11.54,"L","H","Female","1","18","1a 1","1a 1 6","1a 1 B",1,FALSE
"CY3338","A1580","A1626",7.51,57.5,29.4,146,37.1,38,10.62,"L","H","Female","1","17","1a 1","1a 1 6","1a 1 B",1,FALSE
"CR1414","A1648","A1597",8.54,56,29.8,140.4,38.5,39.2,11.92,"H","L","Female","1","18","1a 1","1a 1 6","1a 1 B",1,FALSE
"CY3345","A1582","A1588",6.68,54.4,29.5,146.4,38,38.3,10.4,"L","H","Male","1","17","1a 1","1a 1 6","1a 1 B",1,FALSE
"CR1390","A1618","A1536",8.72,58.6,29.9,162.4,38.1,38.7,12.43,"H","H","Female","1","17","1a 1","1a 1 6","1a 1 B",1,FALSE
"CR1401","A1648","A1597",8.72,39.8,26.6,117.9,35.9,NA,11.87,"H","L","Male","1","17","1a 1","1a 1 6","1a 1 B",1,FALSE
"CR1392","A1637","A1538",8.7,60.4,30.6,141.7,37.4,NA,12.42,"H","L","Male","1","17","1a 1","1a 1 6","1a 1 B",1,FALSE
"CR1397","A1546","A1527",8.71,61.2,29.9,161.8,38.6,40,12.17,"H","H","Female","1","17","1a 1","1a 1 6","1a 1 B",1,FALSE
"CY3342","A1568","A1565",7.71,61.4,30.8,170,38.9,39.3,11.14,"L","H","Female","1","17","1a 1","1a 1 6","1a 1 B",1,FALSE
"CR1388","A1564","A1545",8.47,62.8,31.5,151.6,39.1,39.7,12.08,"H","H","Male","1","17","1a 1","1a 1 6","1a 1 B",1,FALSE
"CY3361","A1614","A1632",7.28,44.2,27.4,137,37.8,39,11.21,"L","L","Female","1","18","1a 1","1a 1 6","1a 1 C",1,FALSE
"CR1395","A1546","A1527",9.21,53,28.5,140.1,37.5,39,12.94,"H","H","Male","1","17","1a 1","1a 1 6","1a 1 C",1,FALSE
"CR1424","A1556","A1621",8.52,54.8,30.6,159.1,40,40.9,12.43,"H","H","Male","1","18","1a 1","1a 1 5","1a 1 C",1,FALSE
"CY3347","A1524","A1516",7.67,52.5,28.7,131.7,37.4,38.6,11.04,"L","H","Male","1","17","1a 1","1a 1 6","1a 1 C",1,FALSE
"CR1389","A1564","A1545",8.84,69.1,33,176.3,41.2,NA,12.22,"H","H","Male","1","17","1a 1","1a 1 6","1a 1 C",1,FALSE
"CR1404","A1569","A1642",8.32,55,30.3,138.4,38.1,38.3,11.88,"H","L","Male","1","17","1a 1","1a 1 7","1a 1 C",1,FALSE
"CR1420","A1573","A1603",8.75,52.2,26.8,144.4,37,37.8,13.05,"H","L","Male","1","18","1a 1","1a 1 7","1a 1 C",1,FALSE
"CR1413","A1546","A1527",8.84,63,30,154.1,38.8,40.25,11.92,"H","H","Female","1","17","1a 1","1a 1 7","1a 1 C",1,FALSE
