Name	Length	EffectiveLength	TPM	NumReads
FBgn0053929	423	245.778	0	0
FBgn0267873	257	79.914	0	0
FBgn0267896	719	541.58	0.000307	0.001
FBgn0260225	1197	1019.19	0	0
FBgn0040928	1085	907.194	4.26182	26
FBgn0262789	532	354.688	0.838506	2
FBgn0058461	391	213.822	0.000916	0.001
FBgn0042701	620	442.641	0.006933	0.021
FBgn0263493	352	174.847	0.000767	0.001
FBgn0265917	359	181.843	0	0
FBgn0262163	610	432.649	0.687411	2
FBgn0085831	237	60.13	0	0
FBgn0267108	321	143.865	0.00093	0.001
FBgn0051032	770	592.556	13.0496	52
FBgn0266102	391	213.822	0.004179	0.006
FBgn0053867	526	348.693	0.986276	2.313
FBgn0267026	323	145.864	0	0
FBgn0267519	2689	2511.19	3551.53	59975.4
FBgn0058005	1227	1049.19	0.172773	1.219
FBgn0039979	803	625.538	7.01783	29.521
FBgn0053318	523	345.694	0	0
FBgn0053805	440	262.761	0.006367	0.011
FBgn0267419	780	602.551	0	0
FBgn0267892	760	582.559	0	0
FBgn0267902	582	404.661	0	0
FBgn0262964	777	599.553	0.49605	2
FBgn0085790	1041	863.194	0.332474	1.93
FBgn0267879	601	423.652	0	0
FBgn0085291	1130	952.194	0.14417	0.923
FBgn0263093	1195.9	1018.1	24.8876	170.392
FBgn0267952	1290	1112.19	0	0
FBgn0030117	636	458.622	0.088996	0.274
FBgn0058182	291	113.882	0	0
FBgn0052518	75	26.68	5.57353	1
FBgn0027934	1345	1167.19	0	0
FBgn0085340	423	245.778	0	0
FBgn0263744	845	667.508	0	0
FBgn0263210	221	45.611	0	0
FBtr0346869	123	58.532	3.09884	1.22
FBgn0267427	697	519.587	0	0
FBgn0263975	1131	953.194	3.58814	23
FBgn0267869	420	242.783	0.00022	0
FBgn0037560	956.768	779.22	47.9	251
FBgn0263212	220	44.784	0	0
FBgn0085732	1478.87	1301.07	71.7779	628.013
FBgn0267593	610	432.649	0	0
FBgn0058100	394	216.818	7.59126	11.068
FBgn0264888	465	287.738	1.03361	2
FBgn0037143	1446	1268.19	0.234513	2
FBgn0262510	501	323.711	5.0167	10.921
FBgn0263771	276	98.895	0	0
FBgn0053315	421	243.782	0.609988	1
FBgn0050029	480	302.737	0	0
FBgn0085791	1041	863.194	0.037647	0.219
FBgn0085804	252	74.925	0	0
FBgn0267876	766	588.557	0	0
FBgn0267494	656	478.604	0	0
FBgn0085792	1211	1033.19	1.78447	12.399
FBgn0053013	2636	2458.19	0	0
FBgn0266211	1668	1490.19	1.29725	13
FBgn0265141	1303	1125.19	0	0
FBgn0051292	451.92	274.669	2.77996	5.135
FBgn0053294	1947.98	1770.18	2.85617	34
FBgn0000280	166	25.802	5.76322	1
FBgn0262885	102	43.743	0	0
FBgn0011812	456	278.745	0	0
FBgn0265533	403.316	226.114	0.000516	0.001
FBgn0052496	778	600.552	1.04969	4.239
FBgn0052009	3001.05	2823.25	1.30556	24.787
FBtr0347033	1076	898.194	0	0
FBgn0262688	493	315.717	0.471003	1
FBgn0053222	548.608	371.287	1.538	3.84
FBgn0266940	581	403.662	0	0
FBgn0262565	802	624.538	0	0
FBgn0263002	361	183.842	0.808867	1
FBgn0084049	531	353.688	15.765	37.497
FBgn0263211	352	174.847	0.000739	0.001
FBgn0267872	775	597.553	0	0
FBgn0262031	330	152.86	30.514	31.367
FBgn0267014	274	96.897	6.17846	4.026
FBgn0039987	184	23.649	0	0
FBgn0261640	810	632.534	1.40812	5.99
FBgn0052761	71	24.283	0	0
FBgn0267863	274	96.897	0	0
FBgn0052034	74	26.079	0	0
FBgn0262795	735	557.572	0	0
FBgn0261856	450	272.75	1.0904	2
FBgn0051485	73	25.476	0	0
