Name	Length	EffectiveLength	TPM	NumReads
FBgn0053929	423	249.841	0	0
FBgn0267873	257	83.972	0	0
FBgn0267896	719	545.685	0.002016	0.008
FBgn0260225	1197	1023.42	0	0
FBgn0040928	1085	911.417	2.99632	21
FBgn0262789	532	358.769	0.362469	1
FBgn0058461	391	217.883	0.820951	1.375
FBgn0042701	620	446.736	0.756762	2.6
FBgn0263493	352	178.91	0.00052	0.001
FBgn0265917	359	185.907	0	0
FBgn0262163	610	436.745	0	0
FBgn0085831	237	63.996	0	0
FBgn0267108	321	147.924	12.8403	14.606
FBgn0051032	770	596.666	12.4231	57
FBgn0266102	391	217.883	2.97604	4.986
FBgn0053867	526	352.773	0.020101	0.055
FBgn0267026	323	149.924	0	0
FBgn0267519	2689	2515.42	2390.84	46246.1
FBgn0058005	1227	1053.42	0.196522	1.592
FBgn0039979	803	629.652	8.20184	39.712
FBgn0053318	523	349.776	1.17458	3.159
FBgn0053805	440	266.827	0.850904	1.746
FBgn0267419	780	606.658	0	0
FBgn0267892	760	586.67	0	0
FBgn0267902	582	408.754	0.000275	0.001
FBgn0262964	777	603.661	0.861694	4
FBgn0085790	1041	867.417	0.202666	1.352
FBgn0267879	601	427.749	0.000576	0.002
FBgn0085291	1130	956.417	0.251622	1.851
FBgn0263093	1186.68	1013.09	34.4514	268.392
FBgn0267952	1290	1116.42	0	0
FBgn0030117	636	462.713	0.035279	0.126
FBgn0058182	291	117.944	0	0
FBgn0052518	75	25.593	5.08126	1
FBgn0027934	1345	1171.42	0	0
FBgn0085340	423	249.841	0	0
FBgn0263744	845	671.626	0.193624	1
FBgn0263210	221	48.152	5.26	1.948
FBtr0346869	123	48.539	19.0222	7.1
FBgn0267427	697	523.692	0	0
FBgn0263975	1131	957.417	2.71653	20
FBgn0267869	420	246.844	0.00065	0.001
FBgn0037560	966.29	792.864	46.7447	285
FBgn0263212	220	47.192	0	0
FBgn0085732	1475.6	1302.02	68.9326	690.171
FBgn0267593	610	436.745	0	0
FBgn0058100	394	220.879	7.61515	12.934
FBgn0264888	465	291.815	0	0
FBgn0037143	1446	1272.42	0	0
FBgn0262510	501	327.788	2.12479	5.356
FBgn0263771	276	102.954	0	0
FBgn0053315	421	247.843	0.524699	1
FBgn0050029	480	306.81	0	0
FBgn0085791	1041	867.417	0.165583	1.104
FBgn0085804	252	78.976	0	0
FBgn0267876	766	592.667	0	0
FBgn0267494	656	482.701	0	0
FBgn0085792	1211	1037.42	3.20972	25.606
FBgn0053013	2636	2462.42	0	0
FBgn0266211	1668	1494.42	1.91442	22
FBgn0265141	1303	1129.42	0	0
FBgn0051292	435.524	262.362	0.018915	0.038
FBgn0053294	1991.38	1817.79	1.43078	20
FBgn0000280	166	13.089	19.8702	2
FBgn0262885	102	39.841	0	0
FBgn0011812	456	282.819	0.459809	1
FBgn0265533	384.5	211.378	0	0
FBgn0052496	778	604.66	1.62356	7.549
FBgn0052009	2997.49	2823.91	0.581668	12.632
FBtr0347033	1076	902.417	0	0
FBgn0262688	493	319.793	0.406647	1
FBgn0053222	544.032	370.798	0.097015	0.276
FBgn0266940	581	407.754	0	0
FBgn0262565	802	628.653	1.02798	4.969
FBgn0263002	361	187.906	0	0
FBgn0084049	531	357.77	19.6784	54.139
FBgn0263211	352	178.91	0.001278	0.002
FBgn0267872	775	601.663	0.001013	0.005
FBgn0262031	330	156.921	39.8179	48.048
FBgn0267014	274	100.957	14.4471	11.216
FBgn0039987	184	20.411	0	0
FBgn0261640	810	636.648	0.402338	1.97
FBgn0052761	71	23.895	0	0
FBgn0267863	274	100.957	0	0
FBgn0052034	74	25.103	0	0
FBgn0262795	735	561.679	0	0
FBgn0261856	450	276.822	0.93954	2
FBgn0051485	73	24.674	0	0
FBgn0267610	864	690.613	0	0
FBgn0262851	1188	1014.42	14.5543	113.533
FBgn0053416	143	43.527	26.8889	9
FBgn0267520	357	183.908	8.97379	12.691
FBgn0085765	30	9.797	13.2731	1
FBgn0267424	659	485.7	0	0
FBgn0030116	1305	1131.42	0	0
FBgn0031135	363	189.906	0	0
FBgn0263213	224	51.074	4.63346	1.82
FBgn0267878	266	92.963	0	0
FBgn0058441	177	16.898	0	0
FBgn0267864	485	311.797	0.000201	0
FBgn0085500	687	513.692	0	0
FBgn0085784	479	305.803	0.003519	0.008
FBgn0262848	1188	1014.42	2.87202	22.404
FBgn0063924	307	133.931	2.43391	2.507
FBgn0262616	554	380.763	0	0
