Name	Length	EffectiveLength	TPM	NumReads
FBtr0075502	509	327.688	0.000000	0.000
FBtr0300738	2350	2168.291	0.160035	3.065
FBtr0300739	2172	1990.291	0.267121	4.695
FBtr0300737	2184	2002.291	0.248218	4.389
FBtr0300736	2338	2156.291	0.168801	3.215
FBtr0078628	2467	2285.291	0.146496	2.957
FBtr0300740	2479	2297.291	0.139695	2.834
FBtr0078627	2301	2119.291	0.215801	4.039
FBtr0300741	2313	2131.291	0.203053	3.822
FBtr0072762	889	707.492	71.318673	445.622
FBtr0346821	1270	1088.291	4.047086	38.898
FBtr0331460	900	718.489	2.478212	15.725
FBtr0303848	5005	4823.291	8.304394	353.747
FBtr0086122	1465	1283.291	0.617634	7.000
FBtr0335147	3125	2943.291	2.213698	57.543
FBtr0081459	3019	2837.291	18.905010	473.721
FBtr0305321	6523	6341.291	1.272992	71.293
FBtr0083716	5665	5483.291	18.021289	872.707
FBtr0078184	1305	1123.291	0.604808	6.000
FBtr0081691	765	583.588	0.000000	0.000
FBtr0085263	1228	1046.291	0.000000	0.000
FBtr0086342	492	310.700	0.000000	0.000
FBtr0086343	495	313.698	0.000000	0.000
FBtr0091847	1023	841.291	1.424428	10.583
FBtr0072393	1393	1211.291	13.585758	145.336
FBtr0343502	867	685.508	0.770347	4.664
FBtr0343753	3569	3387.291	4.058574	121.414
FBtr0433525	3725	3543.291	0.164809	5.157
FBtr0113895	961	779.454	24.709152	170.094
FBtr0345179	887	705.492	46.528918	289.906
FBtr0334135	4703	4521.291	0.280138	11.186
FBtr0334137	4561	4379.291	0.444944	17.209
FBtr0334141	5321	5139.291	0.200371	9.094
FBtr0334139	4203	4021.291	0.500827	17.787
FBtr0334140	5704	5522.291	0.165392	8.066
FBtr0344148	4894	4712.291	0.263097	10.949
FBtr0334142	5071	4889.291	0.216237	9.337
FBtr0334138	5563	5381.291	0.176717	8.399
FBtr0334136	3862	3680.291	1.014446	32.973
FBtr0085105	995	813.423	9.465668	68.000
FBtr0346720	2745	2563.291	0.000000	0.000
FBtr0076089	442	260.739	0.000000	0.000
FBtr0087500	1417	1235.291	11.457749	125.000
FBtr0073094	1694	1512.291	6.595283	88.087
FBtr0073093	1577	1395.291	76.680645	944.913
FBtr0343515	1092	910.291	0.180712	1.453
FBtr0072451	975	793.436	10.210319	71.547
FBtr0071607	2252	2070.291	3.336238	61.000
FBtr0081516	4704	4522.291	0.150228	6.000
FBtr0300749	931	749.483	1.877310	12.426
FBtr0346532	1185	1003.291	0.502853	4.456
FBtr0073076	880	698.495	62.267321	384.118
FBtr0089289	4677	4495.291	0.850597	33.769
