Name	Length	EffectiveLength	TPM	NumReads
FBgn0053929	423	241.76	0	0
FBgn0267873	257	75.884	0	0
FBgn0267896	719	537.607	0.000253	0.001
FBgn0260225	1197	1015.29	0.029859	0.268
FBgn0040928	1085	903.291	3.63521	29
FBgn0262789	532	350.673	0.645783	2
FBgn0058461	391	209.796	0.643105	1.192
FBgn0042701	620	438.647	0.301749	1.169
FBgn0263493	352	170.818	0.000212	0
FBgn0265917	359	177.815	0	0
FBgn0262163	610	428.653	0.264151	1
FBgn0085831	237	55.974	0	0
FBgn0267108	321	139.832	0.000537	0.001
FBgn0051032	770	588.586	13.4662	70
FBgn0266102	391	209.796	2.2835	4.231
FBgn0053867	526	344.677	0.016131	0.049
FBgn0267026	323	141.831	0.000128	0
FBgn0267519	2689	2507.29	1852.91	41029.9
FBgn0058005	1227	1045.29	0.100371	0.927
FBgn0039979	803	621.561	7.77571	42.684
FBgn0053318	523	341.679	0.33139	1
FBgn0053805	440	258.741	0.003959	0.009
FBgn0267419	780	598.58	0	0
FBgn0267892	760	578.589	0.00026	0.001
FBgn0267902	582	400.662	0	0
FBgn0262964	777	595.581	0.190116	1
FBgn0085790	1041	859.291	0.486056	3.689
FBgn0267879	601	419.659	0	0
FBgn0085291	1130	948.291	0.08119	0.68
FBgn0263093	1194.61	1012.9	29.7613	266.231
FBgn0267952	1290	1108.29	0	0
FBgn0030117	636	454.628	0.067865	0.272
FBgn0058182	291	109.85	0	0
FBgn0052518	75	26.093	0	0
FBgn0027934	1345	1163.29	0	0
FBgn0085340	423	241.76	0	0
FBgn0263744	845	663.54	0	0
FBgn0263210	221	41.37	0	0
FBtr0346869	123	49.808	2.68223	1.18
FBgn0267427	697	515.613	0	0
FBgn0263975	1131	949.291	2.50483	21
FBgn0267869	420	238.765	0.000321	0.001
FBgn0037560	964.063	782.516	46.1589	319
FBgn0263212	220	40.556	0	0
FBgn0085732	1474.53	1292.82	80.619	920.484
FBgn0267593	610	428.653	0	0
FBgn0058100	394	212.793	5.17119	9.718
FBgn0264888	465	283.724	0	0
FBgn0037143	1446	1264.29	0.089559	1
FBgn0262510	501	319.694	1.71717	4.848
FBgn0263771	276	94.866	0	0
FBgn0053315	421	239.763	0	0
FBgn0050029	480	298.722	0	0
FBgn0085791	1041	859.291	0.036012	0.273
FBgn0085804	252	70.891	0	0
FBgn0267876	766	584.588	0.00026	0.001
FBgn0267494	656	474.619	0	0
FBgn0085792	1211	1029.29	1.42804	12.981
FBgn0053013	2636	2454.29	0	0
FBgn0266211	1668	1486.29	1.7522	23
FBgn0265141	1303	1121.29	0	0
FBgn0051292	440.629	259.371	0.01873	0.043
FBgn0053294	1989.75	1808.04	2.69289	43
FBgn0000280	166	13.153	0	0
FBgn0262885	102	39.518	0	0
FBgn0011812	456	274.728	0	0
FBgn0265533	384.5	203.291	0	0
FBgn0052496	778	596.58	1.73508	9.142
FBgn0052009	2998.19	2816.48	0.817091	20.324
FBtr0347033	1076	894.291	0	0
FBgn0262688	493	311.699	0	0
FBgn0053222	541.068	359.738	3.18067	10.106
FBgn0266940	581	399.662	0	0
FBgn0262565	802	620.561	0.182463	1
FBgn0263002	361	179.814	0	0
FBgn0084049	531	349.673	15.957	49.278
FBgn0263211	352	170.818	0.000931	0.001
FBgn0267872	775	593.582	0.000261	0.001
FBgn0262031	330	148.826	39.8891	52.43
FBgn0267014	274	92.868	7.50113	6.152
FBgn0039987	184	16.567	0	0
FBgn0261640	810	628.556	0.619276	3.438
FBgn0052761	71	24.171	0	0
FBgn0267863	274	92.868	0	0
FBgn0052034	74	25.6	0	0
FBgn0262795	735	553.598	0	0
FBgn0261856	450	268.731	0.007019	0.017
FBgn0051485	73	25.101	0	0
FBgn0267610	864	682.509	0	0
FBgn0262851	1188	1006.29	9.18472	81.626
FBgn0053416	143	54.473	0	0
FBgn0267520	357	175.816	1.60304	2.489
FBgn0085765	30	10.848	0	0
FBgn0267424	659	477.618	0	0
FBgn0030116	1305	1123.29	0	0
FBgn0031135	363	181.814	0	0
FBgn0263213	224	43.887	0	0
FBgn0267878	266	84.876	0	0
FBgn0058441	177	13.584	0	0
FBgn0267864	485	303.706	0.00015	0
FBgn0085500	687	505.617	0	0
FBgn0085784	479	297.713	0.003538	0.009
FBgn0262848	1188	1006.29	9.24293	82.144
FBgn0063924	307	125.838	1.52383	1.694
FBgn0262616	554	372.668	0	0
FBgn0267891	718	536.607	0.00051	0.002
FBgn0053491	369	187.811	0.002315	0.004
FBgn0050374	600	418.659	1.62274	6
FBtr0347034	740	558.593	0	0
FBgn0267898	414	232.771	0.000301	0.001
FBgn0260469	919.053	737.539	0.556849	3.627
FBgn0267874	253	71.889	0	0
FBgn0030243	4715.1	4533.39	34.6927	1389
FBgn0032269	1866.98	1685.27	0.067188	1
FBgn0266369	2930	2748.29	20.5999	500
FBgn0032596	776.497	595.078	186.851	982
FBgn0033770	673	491.62	0	0
FBgn0259237	2786	2604.29	0	0
FBgn0013685	525	343.678	1.97678	6
FBgn0031021	768	586.587	59.2604	307
FBgn0033491	3329	3147.29	6.02861	167.57
FBgn0051141	961	779.454	0	0
FBgn0284082	778	596.58	0	0
FBgn0036396	1352	1170.29	8.46828	87.525
FBgn0036641	882.806	701.297	39.0725	242
FBgn0027594	4471.84	4290.13	133.1	5043
FBgn0261954	7820.54	7638.83	48.1132	3245.88
FBgn0029987	639	457.627	0.989708	4
FBgn0031660	1138.35	956.644	151.502	1280
FBgn0038619	938.058	756.537	20.2051	135
FBgn0001341	3680	3498.29	8.22122	254
FBgn0037541	7050.09	6868.39	27.7832	1685.3
FBgn0016701	1149.01	967.373	61.8015	528
FBgn0039110	1769.52	1587.81	67.1756	942
FBgn0038839	2837.5	2655.79	0	0
FBgn0264307	3337.7	3155.99	9.39214	261.782
FBgn0263355	3558.21	3376.5	38.9579	1161.72
FBgn0032482	2176.61	1994.9	155.577	2741
FBgn0050082	843	661.541	0	0
FBgn0033698	5896	5714.29	20.1123	1015
FBgn0032240	530	348.674	141.855	436.822
FBgn0029925	1070	888.291	25.2388	198
FBgn0039017	1757	1575.29	7.97849	111
FBgn0259711	908	726.489	12.6245	81
FBgn0051140	5736.32	5554.61	7.60351	373
FBgn0036813	1221	1039.29	49.0268	450
FBgn0004379	2915.55	2733.84	24.8506	600
FBgn0036158	782	600.577	0	0
FBgn0031816	1999.29	1817.58	12.6462	203
FBgn0034923	1674.67	1492.96	30.9823	408.512
FBgn0039582	1151	969.291	0	0
FBgn0051635	6335.72	6154.01	9.862	536
FBgn0263117	5200.04	5018.33	0.05292	2.345
FBgn0030259	717	535.607	0.211403	1
FBgn0029858	2037.77	1856.06	12.5715	206.072
FBgn0260745	2912.76	2731.05	180.351	4350
FBgn0015791	1154.69	972.982	136.273	1171
FBgn0051453	1564.84	1383.13	67.8656	829
FBgn0025574	2069.45	1887.74	21.2934	355
FBgn0039637	3177.55	2995.84	77.8964	2061
FBgn0023095	4718.25	4536.54	1.49756	60
FBgn0014022	1444	1262.29	16.4154	183
FBgn0035134	1243	1061.29	1.17359	11
FBgn0044826	3595.89	3414.18	70.1759	2116
FBgn0030937	1405	1223.29	0	0
FBgn0085213	715	533.608	0.212195	1
FBgn0039875	2415.74	2234.03	69.8931	1379
FBgn0037736	4032.31	3850.6	0.235245	8
FBgn0024732	2153	1971.29	21.0227	366
FBgn0053700	1116	934.291	0	0
FBgn0260747	999.567	817.986	230.615	1666
FBgn0038011	1767	1585.29	0	0
FBgn0066365	2783.6	2601.89	0.043517	1
FBgn0039863	5863.4	5681.69	36.6092	1837
FBgn0037721	843.323	661.864	1.36861	8
FBgn0036459	2408	2226.29	0	0
FBgn0038291	1731	1549.29	14.9092	204
FBgn0001114	3262.38	3080.68	1023.65	27850.9
FBgn0262894	324	142.83	0	0
FBgn0015772	4933.21	4751.5	13.2973	558.001
FBgn0030873	1712.46	1530.75	96.4563	1304
FBgn0086675	7201.89	7020.18	0.126194	7.823
FBgn0038223	4231.16	4049.46	10.9279	390.817
FBgn0027081	2317.86	2136.15	233.068	4397
FBgn0043458	3245.12	3063.41	58.5661	1584.5
FBgn0262010	471	289.72	0	0
FBgn0259963	337	155.823	0	0
FBgn0010238	2156	1974.29	115.22	2009
FBgn0034184	3037.96	2856.25	34.9648	882
FBgn0000018	1794	1612.29	21.4198	305
FBgn0032809	910	728.489	1.24344	8
FBgn0036605	513	331.685	0.588323	1.723
FBgn0052280	1130.99	949.284	41.7475	350
FBgn0000055	1194.27	1012.56	0.178466	1.596
FBgn0033657	3918	3736.29	0.121221	4
FBgn0035421	1684	1502.29	21.6315	287
FBgn0030666	1632.47	1450.76	0.709473	9.09
FBgn0011202	4117.09	3935.38	37.0873	1289
FBgn0050091	1681	1499.29	0.075522	1
FBgn0033260	3382.63	3200.92	33.9944	961
FBgn0283427	8586.5	8404.79	838.092	62210
FBgn0033740	2221.35	2039.64	18.7638	338
FBgn0011725	2758.81	2577.1	27.6317	628.899
FBgn0034377	761	579.588	0.586085	3
FBgn0284248	680.993	499.611	810.22	3575
FBgn0040674	712.5	531.083	0	0
FBgn0036323	1637	1455.29	0	0
FBgn0038260	1973	1791.29	2.40202	38
FBgn0034617	1987	1805.29	11.9169	190
FBgn0262018	7567	7385.29	0	0
FBgn0031873	840	658.543	22.0082	128
FBgn0032366	866	684.508	0	0
FBgn0035241	4589.19	4407.48	0.720964	28.064
FBgn0260049	2272.13	2090.42	170.73	3152
FBgn0015558	4438.67	4256.96	0.664965	25
FBgn0267875	162	16.638	0	0
FBgn0003870	4166.42	3984.71	29.8936	1052
FBgn0053061	1277.9	1096.19	0.103293	1
FBgn0041181	4928	4746.29	0.023856	1
FBgn0039778	933	751.482	0	0
FBgn0014455	1600.81	1419.11	247.985	3108
FBgn0030462	936.667	755.136	0	0
FBgn0051832	762	580.588	0	0
FBgn0000259	1573.7	1392.06	124.19	1526.82
FBgn0261581	717.5	536.086	0	0
FBgn0039271	836	654.544	8.47649	49
FBgn0031463	1194	1012.29	0	0
FBgn0014006	4618.71	4437	32.6647	1280
FBgn0037150	1456	1274.29	15.1945	171
FBgn0030294	1628	1446.29	12.8395	164
FBgn0036039	2150.53	1968.82	13.9681	242.877
FBgn0029676	2017.34	1835.63	72.4811	1175.04
FBgn0037475	1444.5	1262.79	0	0
FBgn0052076	1529	1347.29	27.986	333
FBgn0058354	1400	1218.29	2.85016	30.666
FBgn0033738	3602.56	3420.85	41.474	1253
FBgn0064126	1580.04	1398.33	46.9151	579.38
FBgn0039115	970	788.443	18.1681	126.509
FBgn0010356	2362	2180.29	20.7213	399
FBgn0051100	2434.88	2253.17	0.100507	2
FBgn0263249	318	136.834	0	0
FBgn0039635	1174.91	993.272	186.726	1638
FBgn0050010	708.595	527.204	4.29546	20
FBgn0034495	1429	1247.29	16.1589	178
FBgn0005617	3840.15	3658.44	28.567	923
FBgn0030703	1448.25	1266.55	111.035	1242
FBgn0036574	4094.27	3912.56	15.1551	523.675
FBgn0038742	1418	1236.29	82.2459	898
FBgn0003162	1642.04	1460.33	5.81524	75
FBgn0046999	672	490.618	0.230789	1
FBgn0037345	831	649.545	18.6523	107
FBgn0037050	1511.9	1330.19	10.6403	125
FBgn0029783	1121.44	939.734	8.79583	72.999
FBgn0261269	3722.33	3540.62	5.30869	166
FBgn0264270	2291.44	2109.73	47.1746	878.972
FBgn0259822	5700.65	5518.94	0.022153	1.079
FBgn0034035	1562	1380.29	30.1061	367
FBgn0039270	868	686.507	12.865	78
FBgn0031626	1990	1808.29	0	0
FBgn0051324	1936.55	1754.84	54.1844	839.757
FBgn0260858	1469	1287.29	51.4562	585
FBgn0031874	1728.72	1547.01	5.9311	81.034
FBgn0262719	7923.37	7741.66	0.292726	20.014
FBgn0082831	6729.16	6547.45	31.3706	1814
FBgn0259239	3472.09	3290.38	0.103236	3
FBgn0036146	755	573.59	4.73255	23.974
FBgn0035073	3322	3140.29	15.7394	436.514
FBgn0020371	789	607.57	0	0
FBgn0032845	1542.66	1360.95	5.49111	66
FBgn0283651	4406.84	4225.14	0.669974	25
FBgn0267824	2632	2450.29	33.8714	732.979
FBgn0069973	900.181	718.668	16.3856	104
FBgn0036301	1709	1527.29	17.5705	237
FBgn0265048	4744	4562.29	163.058	6570
FBgn0261057	237.5	57.129	0	0
FBgn0052564	1448	1266.29	0.089418	1
FBgn0030797	1039.41	857.875	14.6153	110.731
FBgn0001296	2185.25	2003.54	4.06904	72
FBgn0259972	1093	911.291	0.152972	1.231
FBgn0053986	871	689.503	0	0
FBgn0032435	2743	2561.29	0.088416	2
FBgn0033905	1134.29	952.584	20.8014	175
FBgn0029539	639.555	458.182	0.000299	0.002
FBgn0030502	2962.96	2781.25	73.9413	1816.22
FBgn0032554	1230	1048.38	0	0
FBgn0036410	2288.73	2107.02	0.483651	9
FBgn0025390	6068.87	5887.16	3.77263	196.152
FBgn0038394	1047	865.291	1.0618	8.114
FBgn0029715	1083.41	901.702	69.9441	557
FBgn0034911	6361	6179.29	0.18324	10
FBgn0026063	2066	1884.29	1.09481	18.219
FBgn0032375	787.575	606.148	0.186801	1
FBgn0033665	1878	1696.29	10.4132	156
FBgn0085380	3223	3041.29	0	0
FBgn0037493	813	631.554	0	0
FBgn0053701	315	133.834	0	0
FBgn0032189	1259	1077.29	11.0361	105
FBgn0033726	683	501.617	0	0
FBgn0037526	2192.88	2011.17	7.31384	129.909
FBgn0028902	2092.59	1910.89	0.23702	4
FBgn0050289	1164	982.291	0.115271	1
FBgn0038131	1100	918.291	0	0
FBgn0004910	2728.17	2546.46	0.088931	2
FBgn0037715	1039.99	858.278	19.7889	149.999
FBgn0038151	1571	1389.29	0	0
FBgn0005391	1583.75	1402.04	0.080761	1
FBgn0265416	4441.86	4260.15	0.053607	2.017
FBgn0033115	1377.16	1195.45	16.2912	172
FBgn0029587	2943.17	2761.46	1.30036	31.713
FBgn0034300	5059.08	4877.37	13.9756	602
FBgn0265464	2788	2606.29	6.56013	151
FBgn0036112	761	579.588	0	0
FBgn0262730	8113.31	7931.6	26.4356	1851.79
FBgn0262512	659	477.618	90.0868	380
FBgn0015279	4412.89	4231.18	56.6791	2118
FBgn0039831	2818	2636.29	67.8136	1578.89
FBgn0261673	1856.89	1675.18	6.82683	100.999
FBgn0026570	1226.02	1044.31	47.3817	437
FBgn0031574	3462.1	3280.39	8.24957	239
FBgn0036761	1779.88	1598.17	52.7119	744
FBgn0085385	5875	5693.29	0.009771	0.491
FBgn0027296	2031.49	1849.78	9.97761	163
FBgn0033259	2863	2681.29	30.0251	711
FBgn0033616	1893	1711.29	9.59407	145
FBgn0030224	1034	852.291	0	0
FBgn0016685	915.996	734.483	358.734	2327
FBgn0003888	2516.66	2334.95	362.12	7467.45
FBgn0025381	2146.3	1964.6	350.611	6083.31
FBgn0052667	368	186.812	1.81834	3
FBgn0031771	1556.44	1374.73	125.521	1523.97
FBgn0042133	1168	986.291	4.82173	42
FBgn0028546	1068.35	886.64	86.84	680
FBgn0037620	1159	977.291	2.20135	19
FBgn0086710	477.181	295.895	3135.95	8195
FBgn0036028	1427	1245.29	10.5474	116
FBgn0000046	1641.84	1460.13	1.36346	17.583
FBgn0034568	3378.48	3196.78	0.495877	14
FBgn0035464	2240.06	2058.35	51.8192	942
FBgn0032331	1716	1534.29	0.221397	3
FBgn0261380	1356	1174.29	24.8773	258
FBgn0039196	1506	1324.29	0	0
FBgn0051683	1880.12	1698.41	5.11909	76.785
FBgn0011754	2931.14	2749.44	29.0584	705.597
FBgn0003250	1349	1167.29	0.097002	1
FBgn0028872	1850.33	1668.62	0	0
FBgn0003975	3463	3281.29	0.13803	4
FBgn0040751	379	197.806	24.3701	42.573
FBgn0039958	2074.09	1892.38	28.3444	473.714
FBgn0034201	544.481	363.199	0.311758	1
FBgn0032390	842.46	661.002	65.9503	385
FBgn0031144	1958.65	1776.94	45.5608	714.999
FBgn0037481	943	761.475	22.1559	149
FBgn0033457	1060.01	878.3	24.4945	190
FBgn0037974	1249.6	1067.89	26.13	246.438
FBgn0038033	1754	1572.29	0.042949	0.596
FBgn0029689	2699	2517.29	12.5046	278
FBgn0036784	2074	1892.29	0	0
FBgn0085458	750	568.59	0	0
FBgn0033787	1111.82	930.116	5.72163	47
FBgn0031955	5710.13	5528.42	0.368663	18
FBgn0054011	1090	908.291	0	0
FBgn0051092	4023.62	3841.91	7.20755	244.556
FBgn0003218	5091.29	4909.59	14.3912	624
FBgn0029687	2568.06	2386.35	79.4547	1674.54
FBgn0033460	4654.36	4472.65	51.5179	2035
FBgn0039664	1341.29	1159.58	9.28582	95.096
FBgn0037802	1114	932.291	6.80135	56
FBgn0014002	2080.18	1898.47	933.813	15656.9
FBgn0051454	1736	1554.29	0.218548	3
FBgn0046886	1227	1045.29	0	0
FBgn0261060	329	147.827	0	0
FBgn0039349	1857.78	1676.07	23.5096	348
FBgn0036230	922.5	740.984	0	0
FBgn0085599	1023	841.291	13.479	100.148
FBgn0030292	477	295.714	63.5616	166
FBgn0039132	1032.52	850.89	58.4184	439
FBgn0032790	1215	1033.29	14.136	129
FBgn0029996	2590.17	2408.47	40.7603	867
FBgn0264830	262	80.879	0	0
FBgn0083972	706	524.611	3.88502	18
FBgn0052221	1606	1424.29	11.7658	148
FBgn0061209	595	413.66	0.075693	0.277
FBgn0019938	5078	4896.29	27.6581	1196
FBgn0029920	757	575.589	0.002845	0.014
FBgn0259728	885	703.493	13.4747	83.718
FBgn0052732	2189	2007.29	16.3426	289.716
FBgn0030164	1289.75	1108.04	0	0
FBgn0033785	1901.63	1719.92	9.17577	139.377
FBgn0250839	1002.19	820.595	0.137984	1.001
FBgn0267887	453	271.73	0.000123	0
FBgn0267365	936	754.479	24.9126	166
FBgn0032150	1075.18	893.493	4.8156	38
FBgn0035360	1631.15	1449.44	1.4926	19.106
FBgn0035833	3722	3540.29	16.6312	520
FBgn0034849	774.367	592.949	70.6297	369.868
FBgn0035041	2875.1	2693.39	0.336318	8
FBgn0037067	876	694.497	0	0
FBgn0263197	5869.69	5687.98	70.6291	3548
FBgn0033724	652.796	471.415	53.3222	222
FBgn0265201	476	294.715	1.59045	4.14
FBgn0031690	1669.26	1487.55	0.761179	10
FBgn0035009	576	394.663	0	0
FBgn0052601	967	785.447	0	0
FBgn0033996	1957.75	1776.04	18.5524	290.999
FBgn0034437	2768	2586.29	0.087561	2
FBgn0031247	748	566.591	26.1624	130.915
FBgn0039552	649	467.62	0	0
FBgn0030990	2055.17	1873.46	118.278	1957
FBgn0015925	2002.27	1820.56	34.3936	553
FBgn0029959	1169.66	987.953	31.9762	279
FBgn0001276	727	545.604	24.9036	120
FBgn0036277	437	255.743	120.87	273
FBgn0052643	548	366.67	0	0
FBgn0263782	3818	3636.29	11.7081	376
FBgn0035695	4236.33	4054.62	0.055852	2
FBgn0034138	627.223	445.861	3666.36	14437
FBgn0035997	3198.42	3016.71	22.2952	594
FBgn0028541	2463.86	2282.15	70.9991	1431
FBgn0053666	666	484.618	0	0
FBgn0051860	2260.5	2078.79	0	0
FBgn0035312	1183	1001.29	16.8737	149.215
FBgn0036236	1075	893.291	0.127274	1.004
FBgn0259735	6324.89	6143.18	135.931	7374.88
FBgn0037094	3105	2923.29	44.8534	1158
FBgn0051953	715	533.608	3.31681	15.631
FBgn0029523	2309	2127.29	1.25861	23.646
FBgn0035374	1144	962.291	67.5405	574
FBgn0034514	440	258.741	0	0
FBgn0038934	4998.81	4817.1	0.094024	4
FBgn0036360	2534	2352.29	0	0
FBgn0014465	1051.86	870.382	0.130852	1.006
FBgn0038471	1102	920.291	21.1623	172
FBgn0038047	1623	1441.29	4.24229	54
FBgn0064237	1495	1313.29	0.172436	2
FBgn0032036	2398.95	2217.24	258.76	5067
FBgn0038207	740	558.593	0	0
FBgn0259821	4371.37	4189.66	4.51332	166.999
FBgn0032084	1431.76	1250.05	1.90218	21
FBgn0014427	1176	994.291	12.9822	114
FBgn0031257	2617.94	2436.23	55.7262	1199
FBgn0041094	2289.33	2107.62	75.0187	1396.38
FBgn0033988	2216	2034.29	35.5113	638
FBgn0001986	3585	3403.29	36.6974	1103
FBgn0032078	1985.21	1803.5	295.206	4702
FBgn0038551	1645	1463.29	26.696	345
FBgn0000808	1967.65	1785.94	6.97404	109.999
FBgn0036895	3746	3564.29	0.063535	2
FBgn0266455	280	98.861	0	0
FBgn0031575	2409.85	2228.15	13.4616	264.901
FBgn0033880	1145	963.291	3.64387	31
FBgn0051661	1341	1159.29	0	0
FBgn0283476	12442	12260.3	0.009235	1
FBgn0032882	1961	1779.29	46.0566	723.736
FBgn0025700	892.245	710.733	166.323	1044
FBgn0039811	514	332.685	0	0
FBgn0086447	408.11	226.887	43.7462	87.658
FBgn0000463	4781.36	4599.65	0.12504	5.08
FBgn0034748	1924	1742.29	19.0417	293
FBgn0042138	1252.27	1070.56	90.43	855
FBgn0017556	1211.5	1029.79	0	0
FBgn0267423	640	458.626	0	0
FBgn0052843	3276.48	3094.77	0.053749	1.469
FBgn0250827	860	678.512	0.333757	2
FBgn0023536	2345	2163.29	3.5592	68
FBgn0263236	3111.03	2929.32	1.12096	28.999
FBgn0039379	1894	1712.29	42.7844	647
FBgn0263842	318	136.834	0	0
FBgn0259676	1753	1571.29	19.6727	273
FBgn0050005	887	705.492	35.6926	222.388
FBgn0036842	2788.09	2606.38	39.5333	910
FBgn0026718	1519.08	1337.37	4.31795	51
FBgn0034061	656	474.619	49.1452	206
FBgn0038877	2124	1942.29	36.6114	628.017
FBgn0262588	777	595.581	18.8214	99
FBgn0264979	1381	1199.29	11.1408	118
FBgn0010772	3249.01	3067.3	31.0455	841
FBgn0034127	2103	1921.29	0.353604	6
FBgn0261850	2797	2615.29	25.7606	595
FBgn0037853	1642	1460.29	105.918	1366
FBgn0038851	978	796.432	2.13256	15
FBgn0083942	556	374.668	0	0
FBgn0004915	1412.3	1230.59	45.6505	496.136
FBgn0265630	6015.8	5834.09	26.1428	1347
FBgn0034870	870	688.504	0.164457	1
FBgn0036483	4063.1	3881.39	9.18928	315
FBgn0026869	6323.4	6141.69	30.9434	1678.4
