Name	Length	EffectiveLength	TPM	NumReads
FBtr0075502	509	338.319	0	0
FBtr0300738	2350	2179.06	0	0
FBtr0300739	2172	2001.06	2.45027	40.9703
FBtr0300737	2184	2013.06	0.00176733	0.0297284
FBtr0300736	2338	2167.06	0	0
FBtr0078628	2467	2296.06	0	0
FBtr0300740	2479	2308.06	0	0
FBtr0078627	2301	2130.06	0	0
FBtr0300741	2313	2142.06	0	0
FBtr0072762	889	718.142	68.8201	412.972
FBtr0346821	1270	1099.06	3.67085	33.7119
FBtr0331460	900	729.142	0	0
FBtr0303848	5005	4834.06	3.20351	129.4
FBtr0086122	1465	1294.06	0.832324	9
FBtr0335147	3125	2954.06	0	0
FBtr0081459	3019	2848.06	21.7746	518.197
FBtr0305321	6523	6352.06	0	0
FBtr0083716	5665	5494.06	15.531	713
FBtr0078184	1305	1134.06	0.316584	3
FBtr0081691	765	594.142	0	0
FBtr0085263	1228	1057.06	0.169823	1.5
FBtr0086342	492	321.385	0	0
FBtr0086343	495	324.352	0	0
FBtr0091847	1023	852.061	0.751755	5.35233
FBtr0072393	1393	1222.06	76.7363	783.59
FBtr0343502	867	696.142	0	0
FBtr0343753	3569	3398.06	4.04328	114.805
FBtr0433525	3725	3554.06	0	0
FBtr0113895	961	790.142	22.6413	149.486
FBtr0345179	887	716.142	49.5508	296.514
FBtr0334135	4703	4532.06	0	0
FBtr0334137	4561	4390.06	0.584171	21.4292
FBtr0334141	5321	5150.06	0	0
FBtr0334139	4203	4032.06	0	0
FBtr0334140	5704	5533.06	0	0
FBtr0344148	4894	4723.06	0	0
FBtr0334142	5071	4900.06	0	0
FBtr0334138	5563	5392.06	0	0
FBtr0334136	3862	3691.06	3.97412	122.571
FBtr0085105	995	824.061	4.21156	29
FBtr0346720	2745	2574.06	0	0
FBtr0076089	442	271.415	0	0
FBtr0087500	1417	1246.06	8.7399	91
FBtr0073094	1694	1523.06	5.50048	70.0025
FBtr0073093	1577	1406.06	75.9214	891.998
FBtr0343515	1092	921.061	0	0
FBtr0072451	975	804.061	9.07915	61
FBtr0071607	2252	2081.06	2.93285	51
FBtr0081516	4704	4533.06	0.105602	4
FBtr0300749	931	760.142	3.32506	21.1198
FBtr0346532	1185	1014.06	0	0
FBtr0073076	880	709.142	59.2148	350.88
FBtr0089289	4677	4506.06	0.726302	27.347
FBtr0100448	4590	4419.06	1.48023	54.6583
FBtr0089290	4681	4510.06	0.0109061	0.411007
FBtr0089288	4037	3866.06	9.38212	303.085
FBtr0100447	4417	4246.06	1.21838	43.2281
FBtr0329933	4663	4492.06	1.37773	51.7136
FBtr0336949	2826	2655.06	18.9865	421.225
FBtr0088786	1378	1207.06	68.6209	692.119
FBtr0088785	1869	1698.06	14.6048	207.226
FBtr0303077	607	436.249	0	0
FBtr0339716	615	444.249	0	0
FBtr0085459	600	429.249	69.7004	250
FBtr0070973	1218	1047.06	0.228593	2
FBtr0089252	2767	2596.06	0.506763	10.993
FBtr0334488	2840	2669.06	1.50633	33.5949
FBtr0334489	2902	2731.06	0.886484	20.2301
FBtr0100600	3804	3633.06	4.15652	126.182
FBtr0300305	309	138.556	0	0
FBtr0077162	567	396.249	0	0
FBtr0072277	713	542.142	48.564	220
FBtr0344898	1082	911.061	0	0
FBtr0086817	1175	1004.06	0	0
FBtr0333271	5146	4975.06	0.486787	20.2364
FBtr0072639	5149	4978.06	0.234723	9.76363
FBtr0340000	824	653.142	0.603315	3.29266
FBtr0087390	427	256.415	282.698	605.707
FBtr0070472	3021	2850.06	1.87341e-07	4.46152e-06
FBtr0331752	4499	4328.06	19.6659	711.219
FBtr0070475	3174	3003.06	6.43223	161.407
FBtr0070474	3218	3047.06	1.04931	26.7166
FBtr0302185	2166	1995.06	6.74662e-08	1.1247e-06
FBtr0070471	4805	4634.06	5.14394	199.183
FBtr0112828	2903	2732.06	5.51966	126.008
FBtr0301966	3182	3011.06	0	0
FBtr0070468	3055	2884.06	14.2189	342.663
FBtr0070476	2745	2574.06	0.293443	6.31158
FBtr0070470	3110	2939.06	0	0
FBtr0331751	4750	4579.06	0.58483	22.377
FBtr0070469	4244	4073.06	9.39821	319.861
FBtr0070467	2929	2758.06	0	0
FBtr0331753	5004	4833.06	0.49879	20.1435
FBtr0070466	2847	2676.06	5.77381	129.108
FBtr0070473	3091	2920.06	0	0
FBtr0076265	1575	1404.06	49.0954	576
FBtr0331935	1030	859.061	0	0
FBtr0088237	816	645.142	92.5657	499
FBtr0081705	1363	1192.06	0	0
FBtr0088524	1299	1128.06	69.0642	651
FBtr0074540	843	672.142	19.4075	109
FBtr0074494	1357	1186.06	0.302704	3
FBtr0085714	3349	3178.06	116.942	3105.46
FBtr0085713	3440	3269.06	1028.35	28090.5
FBtr0076256	334	163.541	2.9271	4
FBtr0339552	1718	1547.06	10.9972	142.162
FBtr0078950	1533	1362.06	23.621	268.838
FBtr0070990	1321	1150.06	0.705939	6.78397
FBtr0100409	805	634.142	0.503561	2.6683
FBtr0343330	706	535.196	105.453	471.591
FBtr0304902	1617	1446.06	0.0827595	1
FBtr0304901	2286	2115.06	0	0
FBtr0078872	1228	1057.06	0.113215	1
FBtr0077839	2112	1941.06	6.02713	97.7564
FBtr0077837	2331	2160.06	6.19662	111.845
FBtr0077838	2235	2064.06	1.70564	29.4175
FBtr0077836	2325	2154.06	18.4998	332.981
FBtr0075133	4018	3847.06	0.589211	18.9407
FBtr0332862	2190	2019.06	4.50825	76.0593
FBtr0087988	1754	1583.06	123.899	1638.94
FBtr0087987	1948	1777.06	384.935	5715.91
FBtr0074688	1633	1462.06	48.3756	591
FBtr0086864	3503	3332.06	11.0981	309
FBtr0083361	1283	1112.06	0	0
FBtr0392904	4164	3993.06	4.65219	155.224
FBtr0084588	2385	2214.06	43.03	796.08
FBtr0303161	2639	2468.06	38.5342	794.69
FBtr0079257	1918	1747.06	17.9472	262
FBtr0307341	906	735.142	0	0
FBtr0084989	527	356.249	0.295526	0.879719
FBtr0306309	750	579.142	0.826571	4
FBtr0344570	539	368.249	0	0
FBtr0078090	1219	1048.06	30.7164	269
FBtr0087439	546	375.249	22.0057	69
FBtr0070960	2096	1925.06	0	0
FBtr0302357	2296	2125.06	0	0
FBtr0302356	2428	2257.06	0.530226	10
FBtr0340571	3830	3659.06	0.0105104	0.321356
FBtr0340572	3825	3654.06	0.0549778	1.67864
FBtr0080267	3305	3134.06	0	0
FBtr0077141	787	616.142	0.194234	1
FBtr0306593	981	810.061	0	0
FBtr0081719	1938	1767.06	63.4589	937
FBtr0071549	1655	1484.06	33.4658	415
FBtr0308832	1068	897.061	12.3196	92.3448
FBtr0308833	2043	1872.06	26.4402	413.599
FBtr0074921	2263	2092.06	3.26387	57.0562
FBtr0073011	1996	1825.06	0	0
FBtr0112378	450	279.415	0	0
FBtr0342602	1596	1425.06	0	0
FBtr0080326	1217	1046.06	81.7215	714.314
FBtr0085405	675	504.249	183.696	774
FBtr0339295	331	160.541	0	0
FBtr0300316	205	35.2577	0	0
FBtr0300904	2130	1959.06	0	0
FBtr0081633	2196	2025.06	0	0
FBtr0300905	2052	1881.06	0	0
FBtr0335279	1234	1063.06	0	0
FBtr0335281	1199	1028.06	0	0
FBtr0290216	733	562.142	0	0
FBtr0335280	740	569.142	0	0
FBtr0077120	1711	1540.06	16.4095	211.168
FBtr0081676	887	716.142	0	0
FBtr0076639	2093	1922.06	0.186792	3
FBtr0079280	1148	977.061	0	0
FBtr0304827	5797	5626.06	0.0834579	3.92344
FBtr0433494	6405	6234.06	0	0
FBtr0333832	6581	6410.06	0.331854	17.7748
FBtr0433497	5654	5483.06	0	0
FBtr0333833	6118	5947.06	0	0
FBtr0433496	5848	5677.06	0	0
FBtr0304826	8410	8239.06	0	0
FBtr0433495	8302	8131.06	0	0
FBtr0433493	8251	8080.06	0.318299	21.4904
FBtr0300808	2019	1848.06	0	0
FBtr0300809	4061	3890.06	0.0172107	0.559435
FBtr0301700	4064	3893.06	0.00677163	0.220282
FBtr0072287	5108	4937.06	26.3733	1088
FBtr0343633	2816	2645.06	5.01896	110.929
FBtr0074281	2640	2469.06	63.844	1317.19
FBtr0343632	2730	2559.06	1.26646	27.0811
FBtr0074279	3898	3727.06	40.0095	1246.02
FBtr0074280	3895	3724.06	1.14035	35.4853
FBtr0072238	1035	864.061	0	0
FBtr0308073	1317	1146.06	1.00434	9.618
FBtr0082360	764	593.142	76.2271	377.801
FBtr0082361	1024	853.061	3.58877	25.5812
FBtr0079938	1428	1257.06	2.85607	30
FBtr0077227	1279	1108.06	80.5498	745.802
FBtr0091702	1278	1107.06	2.12943	19.6984
FBtr0074882	2425	2254.06	13.6295	256.708
FBtr0332153	3588	3417.06	1.85224	52.8866
FBtr0310476	2042	1871.06	5.87769	91.8945
FBtr0100666	2416	2245.06	8.34793	156.604
FBtr0332726	2033	1862.06	3.20753	49.9068
FBtr0080287	1089	918.061	15.8772	121.798
FBtr0309307	5887	5716.06	0.0418919	2.00089
FBtr0300898	5037	4866.06	0	0
FBtr0080024	1050	879.061	6.8315	50.18
FBtr0077389	2263	2092.06	84.2622	1473
FBtr0290204	1958	1787.06	0	0
FBtr0086689	848	677.142	22.3225	126.304
FBtr0306636	1574	1403.06	14.9512	175.286
FBtr0086687	1472	1301.06	13.7172	149.127
FBtr0086690	2195	2024.06	0	0
FBtr0086686	1532	1361.06	0	0
FBtr0340359	2225	2054.06	2.40501	41.2787
FBtr0301148	981	810.061	83.753	566.909
FBtr0086684	908	737.142	0	0
FBtr0306637	2237	2066.06	0.00208957	0.036074
FBtr0301149	1514	1343.06	0.896224	10.0579
FBtr0086600	1106	935.061	4.88193	38.1441
FBtr0331978	1118	947.061	16.7883	132.856
FBtr0078769	621	450.249	4383.54	16492
FBtr0070712	1878	1707.06	0.841273	12
FBtr0343263	1108	937.061	0	0
FBtr0343264	928	757.142	1.25486e-06	7.93905e-06
FBtr0072024	920	749.142	0.479249	2.99999
FBtr0113111	979	808.061	0	0
FBtr0333452	4664	4493.06	0.179155	6.72614
FBtr0333450	3996	3825.06	0.133717	4.27386
