Name	Length	EffectiveLength	TPM	NumReads
FBgn0053929	423	249.961	0	0
FBgn0283429	369	195.961	1.87815	2.83003
FBgn0267873	257	84.0511	0	0
FBgn0267896	719	545.765	0	0
FBgn0260225	1197	1023.65	0	0
FBgn0262849	1188	1014.65	5.76093	44.9471
FBgn0040928	1085	911.652	2.9957	21
FBgn0262789	532	358.813	0.362444	1
FBgn0058461	391	217.961	0.890406	1.4923
FBgn0042701	620	446.813	0.761236	2.61539
FBgn0263493	352	178.961	0	0
FBgn0265917	359	185.961	0	0
FBgn0262163	610	436.813	0	0
FBgn0085831	237	64.0586	0	0
FBgn0267108	321	147.977	13.2787	15.1093
FBgn0051032	770	596.652	12.424	57
FBgn0266102	391	217.961	3.43792	5.7619
FBgn0053867	526	352.813	0	0
FBgn0267026	323	149.977	0	0
FBgn0267519	2689	2515.65	2396.42	46355.9
FBgn0058005	1227	1053.65	0	0
FBgn0039979	803	629.652	8.23801	39.8855
FBgn0053318	523	349.813	1.17545	3.16177
FBgn0053805	440	266.935	0.919719	1.88779
FBgn0267419	780	606.652	0	0
FBgn0267892	760	586.652	0	0
FBgn0267902	582	408.813	0	0
FBgn0267867	274	101.024	2.57464	2
FBgn0262964	777	603.652	0.861751	4
FBgn0085790	1041	867.652	0	0
FBgn0267879	601	427.813	0	0
FBgn0267886	266	93.0426	0	0
FBgn0085291	1130	956.652	0	0
FBgn0263093	1182	1008.65	37.0778	287.572
FBgn0267885	690	516.765	0	0
FBgn0030117	636	462.813	0	0
FBgn0058182	291	117.99	0	0
FBgn0052518	75	20.7895	6.25554	1
FBgn0027934	1345	1171.65	0	0
FBgn0085340	423	249.961	0	0
FBgn0263744	845	671.652	0.193626	1
FBgn0263207	354	180.961	0	0
FBgn0263210	221	48.2328	6.76756	2.50996
FBgn0267427	697	523.765	0	0
FBgn0263975	1131	957.652	2.716	20
FBgn0267869	420	246.961	0	0
FBgn0037560	559.752	460.716	45.9612	285
FBgn0263212	220	47.2993	0	0
FBgn0085732	528.079	466.031	64.8337	649.089
FBgn0267593	610	436.813	0	0
FBgn0058100	394	220.961	7.65438	13.0052
FBgn0264888	465	291.906	0	0
FBgn0037143	1446	1272.65	0	0
FBgn0262510	501	327.846	2.19505	5.53359
FBgn0263771	276	103.024	0	0
FBgn0053315	421	247.961	0.524476	1
FBgn0267051	629	455.813	0	0
FBgn0050029	480	306.887	0	0
FBgn0085791	1041	867.652	0	0
FBgn0085804	252	79.0511	0	0
FBgn0267876	766	592.652	0	0
FBgn0267494	656	482.765	0	0
FBgn0085792	1211	1037.65	3.42478	27.326
FBgn0053013	2636	2462.65	0	0
FBgn0266211	1668	1494.65	1.91422	22
FBgn0267884	453	279.935	0	0
FBgn0265141	1303	1129.65	0	0
FBgn0051292	418	244.948	0	0
FBgn0053294	1610.36	1471.83	1.41224	20
FBgn0000280	166	12.8991	10.0821	1
FBgn0262885	102	36.9469	0	0
FBgn0262852	1188	1014.65	5.76093	44.9471
FBgn0011812	456	282.935	0.459644	1
FBgn0265533	384.5	211.461	0	0
FBgn0052496	778	604.652	1.74727	8.12377
FBgn0052009	2960	2786.65	0.162088	3.47316
FBgn0262688	493	319.846	0.4066	1
FBgn0053222	541	367.813	0.00365395	0.0103343
FBgn0266940	581	407.813	0	0
FBgn0051615	315	141.977	0	0
FBgn0262565	802	628.652	1.03435	5
FBgn0263002	361	187.961	0	0
FBgn0053498	369	195.961	0	0
FBgn0084049	531	357.813	19.3232	53.165
FBgn0263211	352	178.961	0	0
FBgn0267872	775	601.652	0	0
FBgn0262031	330	156.977	37.8949	45.7413
FBgn0267014	274	101.024	14.4499	11.2248
FBgn0039987	184	20.3846	0	0
FBgn0261640	810	636.652	0	0
FBgn0052761	71	19.2687	0	0
FBgn0267863	274	101.024	0	0
FBgn0052034	74	20.8889	0	0
FBgn0262795	735	561.71	0	0
FBgn0261856	450	276.935	0.939205	2
FBgn0051485	73	20.169	0	0
FBgn0267610	864	690.652	0	0
FBgn0262851	1188	1014.65	8.6414	67.4207
FBgn0053416	143	41.7197	28.055	9
FBgn0267520	357	183.961	10.3477	14.6373
FBgn0267054	629	455.813	0	0
FBgn0085765	30	31	1.39838	0.333333
FBgn0267424	659	485.765	0	0
FBgn0030116	1305	1131.65	0	0
FBgn0031135	363	189.961	0	0
FBgn0263213	224	51.1346	2.93984	1.15593
FBgn0267878	266	93.0426	0	0
FBgn0058441	177	16.7882	0	0
FBgn0267864	485	311.846	0	0
FBgn0085500	687	513.765	0	0
FBgn0085784	479	305.877	0	0
FBgn0262848	1188	1014.65	1.87049e-08	1.45937e-07
FBgn0063924	307	133.977	2.43114	2.50457
FBgn0262616	554	380.813	0	0
FBgn0267891	718	544.765	0	0
FBgn0053491	369	195.961	1.87815	2.83003
FBgn0050374	600	426.813	0.304699	1
