Name	Length	EffectiveLength	TPM	NumReads
FBtr0075502	509	335.813	0	0
FBtr0300738	2350	2176.65	0	0
FBtr0300739	2172	1998.65	0	0
FBtr0300737	2184	2010.65	1.48764	23
FBtr0300736	2338	2164.65	0	0
FBtr0078628	2467	2293.65	0	0
FBtr0300740	2479	2305.65	0	0
FBtr0078627	2301	2127.65	0	0
FBtr0300741	2313	2139.65	0	0
FBtr0072762	889	715.652	75.3147	414.451
FBtr0346821	1270	1096.65	5.00616	42.2149
FBtr0331460	900	726.652	0	0
FBtr0303848	5005	4831.65	5.75163	213.687
FBtr0086122	1465	1291.65	0.604107	6
FBtr0335147	3125	2951.65	0	0
FBtr0081459	3019	2845.65	22.1499	484.67
FBtr0305321	6523	6349.65	1.08488	52.9694
FBtr0083716	5665	5491.65	20.6034	870.031
FBtr0078184	1305	1131.65	0.45968	4
FBtr0081691	765	591.652	0	0
FBtr0085263	1228	1054.65	0.0616551	0.5
FBtr0086342	492	318.846	0	0
FBtr0086343	495	321.846	0	0
FBtr0091847	1023	849.652	0.642876	4.20011
FBtr0072393	1393	1219.65	14.0209	131.493
FBtr0343502	867	693.652	5.78967e-08	3.08807e-07
FBtr0343753	3569	3395.65	3.57847	93.4355
FBtr0433525	3725	3551.65	0	0
FBtr0113895	961	787.652	28.1188	170.303
FBtr0345179	887	713.652	58.9875	323.697
FBtr0334135	4703	4529.65	0	0
FBtr0334137	4561	4387.65	0.36993	12.4808
FBtr0334141	5321	5147.65	0	0
FBtr0334139	4203	4029.65	0	0
FBtr0334140	5704	5530.65	0	0
FBtr0344148	4894	4720.65	0	0
FBtr0334142	5071	4897.65	0	0
FBtr0334138	5563	5389.65	0	0
FBtr0334136	3862	3688.65	3.61489	102.531
FBtr0085105	995	821.652	11.0795	70
FBtr0346720	2745	2571.65	0	0
FBtr0076089	442	268.935	0	0
FBtr0087500	1417	1243.65	12.7576	122
FBtr0073094	1694	1520.65	6.04086	70.6351
FBtr0073093	1577	1403.65	72.8573	786.365
FBtr0343515	1092	918.652	0	0
FBtr0072451	975	801.652	9.40915	58
FBtr0071607	2252	2078.65	2.81539	45
FBtr0081516	4704	4530.65	0.114817	4
FBtr0300749	931	757.652	1.01599	5.91905
FBtr0346532	1185	1011.65	0.426391	3.31689
FBtr0073076	880	706.652	67.1297	364.764
FBtr0089289	4677	4503.65	3.88809	134.646
FBtr0100448	4590	4416.65	0.614265	20.8613
FBtr0089290	4681	4507.65	0.287519	9.9657
FBtr0089288	4037	3863.65	10.4312	309.903
FBtr0100447	4417	4243.65	1.44287	47.0826
FBtr0329933	4663	4489.65	0.0119268	0.411746
FBtr0336949	2826	2652.65	22.0191	449.13
FBtr0088786	1378	1204.65	75.5074	699.428
FBtr0088785	1869	1695.65	18.9812	247.486
FBtr0303077	607	433.813	0	0
FBtr0339716	615	441.813	0	0
FBtr0085459	600	426.813	78.003	256
FBtr0070973	1218	1044.65	0.622453	5
FBtr0089252	2767	2593.65	3.61023	72.001
FBtr0334488	2840	2666.65	1.00138	20.5332
FBtr0334489	2902	2728.65	0.963329	20.2122
FBtr0100600	3804	3630.65	3.44779	96.2536
FBtr0300305	309	135.977	0	0
FBtr0077162	567	393.813	0	0
FBtr0072277	713	539.765	57.5839	239
FBtr0344898	1082	908.652	0	0
FBtr0086817	1175	1001.65	0	0
FBtr0333271	5146	4972.65	1.76084e-08	6.73285e-07
FBtr0072639	5149	4975.65	1.67428	64.0573
FBtr0340000	824	650.652	2.29484	11.4814
FBtr0087390	427	253.961	99.6101	194.519
FBtr0070472	3021	2847.65	0.0804144	1.76081
FBtr0331752	4499	4325.65	20.018	665.831
FBtr0070475	3174	3000.65	7.1721	165.483
FBtr0070474	3218	3044.65	1.43777	33.6604
FBtr0302185	2166	1992.65	1.32457	20.2954
FBtr0070471	4805	4631.65	7.78581	277.288
FBtr0112828	2903	2729.65	4.69694	98.5857
FBtr0301966	3182	3008.65	1.42471	32.9602
