Name	Length	EffectiveLength	TPM	NumReads
FBtr0075502	509	331.704	0.000000	0.000
FBtr0300738	2350	2172.194	0.182679	2.668
FBtr0300739	2172	1994.194	0.305469	4.096
FBtr0300737	2184	2006.194	0.215883	2.913
FBtr0300736	2338	2160.194	0.245711	3.569
FBtr0078628	2467	2289.194	0.256914	3.955
FBtr0300740	2479	2301.194	0.193555	2.995
FBtr0078627	2301	2123.194	0.317184	4.529
FBtr0300741	2313	2135.194	0.228020	3.274
FBtr0072762	889	711.478	61.066495	292.174
FBtr0346821	1270	1092.194	4.215759	30.964
FBtr0331460	900	722.476	2.117642	10.289
FBtr0303848	5005	4827.194	7.687009	249.534
FBtr0086122	1465	1287.194	0.462103	4.000
FBtr0335147	3125	2947.194	2.862856	56.740
FBtr0081459	3019	2841.194	21.775064	416.043
FBtr0305321	6523	6345.194	1.220868	52.094
FBtr0083716	5665	5487.194	21.189778	781.906
FBtr0078184	1305	1127.194	0.131924	1.000
FBtr0081691	765	587.557	0.000000	0.000
FBtr0085263	1228	1050.194	0.000000	0.000
FBtr0086342	492	314.719	0.000000	0.000
FBtr0086343	495	317.714	0.000000	0.000
FBtr0091847	1023	845.194	1.962205	11.153
FBtr0072393	1393	1215.194	81.765641	668.181
FBtr0343502	867	689.487	0.592097	2.745
FBtr0343753	3569	3391.194	3.164385	72.164
FBtr0433525	3725	3547.194	0.249824	5.959
FBtr0113895	961	783.444	14.495207	76.368
FBtr0345179	887	709.478	66.364943	316.632
FBtr0334135	4703	4525.194	0.327701	9.972
FBtr0334137	4561	4383.194	0.991751	29.233
FBtr0334141	5321	5143.194	0.225534	7.800
FBtr0334139	4203	4025.194	0.523762	14.177
FBtr0334140	5704	5526.194	0.202890	7.540
FBtr0344148	4894	4716.194	0.287216	9.109
FBtr0334142	5071	4893.194	0.257874	8.486
FBtr0334138	5563	5385.194	0.201254	7.288
FBtr0334136	3862	3684.194	1.154289	28.598
FBtr0085105	995	817.412	3.274568	18.000
FBtr0346720	2745	2567.194	0.000000	0.000
FBtr0076089	442	264.759	0.000000	0.000
FBtr0087500	1417	1239.194	12.360052	103.000
