Name	Length	EffectiveLength	TPM	NumReads
FBgn0053929	423	246.018	0	0
FBgn0283429	369	192.018	0	0
FBgn0267873	257	80.103	0	0
FBgn0267896	719	541.798	0	0
FBgn0260225	1197	1019.8	0	0
FBgn0262849	1188	1010.8	4.47657	30.3859
FBgn0040928	1085	907.798	4.26503	26
FBgn0262789	532	354.891	0.839216	2
FBgn0058461	391	214.018	0	0
FBgn0042701	620	442.85	0	0
FBgn0263493	352	175.035	0	0
FBgn0265917	359	182.018	0	0
FBgn0262163	610	432.85	0.688068	2
FBgn0085831	237	60.2634	0	0
FBgn0267108	321	144.05	3.38885	3.27815
FBgn0051032	770	592.798	12.8116	51
FBgn0266102	391	214.018	0	0
FBgn0053867	526	348.926	0	0
FBgn0267026	323	146.05	0	0
FBgn0267519	2689	2511.8	3564.65	60126.1
FBgn0058005	1227	1049.8	0	0
FBgn0039979	803	625.798	7.02376	29.5165
FBgn0053318	523	345.926	0	0
FBgn0053805	440	263.018	0	0
FBgn0267419	780	602.798	0	0
FBgn0267892	760	582.798	0	0
FBgn0267902	582	404.891	0	0
FBgn0267867	274	97.0852	0.86267	0.562418
FBgn0262964	777	599.798	0.49655	2
FBgn0085790	1041	863.798	0.30352	1.7606
FBgn0267879	601	423.85	0	0
FBgn0267886	266	89.0943	0	0
FBgn0085291	1130	952.798	0	0
FBgn0263093	1182	1004.8	26.985	182.08
FBgn0267885	690	512.85	0	0
FBgn0030117	636	458.85	0	0
FBgn0058182	291	114.065	0	0
FBgn0052518	75	23.8074	6.25499	1
FBgn0027934	1345	1167.8	0	0
FBgn0085340	423	246.018	0	0
FBgn0263744	845	667.798	0	0
FBgn0263207	354	177.018	0.667629	0.793621
FBgn0263210	221	45.6235	0	0
FBgn0267427	697	519.798	0	0
FBgn0263975	1131	953.798	3.59095	23
FBgn0267869	420	243.018	0	0
FBgn0037560	692.259	564.757	47.4313	250
FBgn0263212	220	44.762	0	0
FBgn0085732	561.903	494.574	66.8949	584.713
FBgn0267593	610	432.85	0	0
FBgn0058100	394	217.018	7.61339	11.0952
FBgn0264888	465	288.018	1.03407	2
FBgn0037143	1446	1268.8	0.234734	2
FBgn0262510	501	323.959	5.15441	11.2132
FBgn0263771	276	99.0852	0	0
FBgn0053315	421	244.018	0.610263	1
FBgn0267051	629	451.85	0	0
FBgn0050029	480	302.954	0	0
FBgn0085791	1041	863.798	0	0
FBgn0085804	252	75.103	0	0
FBgn0267876	766	588.798	0	0
FBgn0267494	656	478.85	0	0
FBgn0085792	1211	1033.8	1.84196	12.7873
FBgn0053013	2636	2458.8	0	0
FBgn0266211	1668	1490.8	1.29856	13
FBgn0267884	453	276.018	0	0
FBgn0265141	1303	1125.8	0	0
FBgn0051292	452	275.018	3.72027	6.87064
FBgn0053294	1085.38	986.66	2.85887	34
FBgn0000280	166	25.3634	5.87125	1
FBgn0262885	102	40.9515	0	0
